sheet_name,rows,cols,classification,table_code,title_en,title_ko_guess,unit_text,period_text,sign_convention_text,cdid_row,notes
Cover_sheet,30,19,meta,(none),"Balance of Payments, Quarter 4 (Oct to Dec) 2025: Published 31 March 2026",표지/목차,n/a,Q4 2025,n/a,n/a,
Notes,51,8,meta,(none),Notes for all tables (10 sub-tables),주석 모음,n/a,n/a,reverse the sign of series prefixed with a minus,n/a,
Records,35,5,meta,(none),Summary of statistics for Quarter 4 (Oct to Dec) 2025,분기 신기록 요약,GBP billion,Q1=Jan-Mar to Q4=Oct-Dec,n/a,n/a,
Table_A,451,19,summary,A,"Summary of Balance of Payments, Balances (net transactions)",BoP 잔액 요약,GBP million,1997~2025 quarterly+annual,net transactions,8,
Table_B,600,12,CA-main,B,"Current account, seasonally adjusted (4 sub-tables)",경상수지 (전체),GBP million (1-3) / % of GDP (4),1997~2025,Credit (+) / Debit (-),8,4번째 부표는 % of GDP
Table_BX,600,12,CA-main,BX,"Current account excluding precious metals, seasonally adjusted",경상수지 (귀금속 제외),GBP million / % of GDP,1997~2025,Credit (+) / Debit (-),8,4번째 부표는 % of GDP
Table_C,898,20,CA-main,C,"Current account, EU and non-EU (6 sub-tables)",경상수지 (EU/non-EU),GBP million,1997~2025 (1997-1998 EU x),Credit (+) / Debit (-),8,1997-1998 EU 결측 x
Table_D1_3,451,13,IIP,D1.3,IIP / financial account / investment income - Investment abroad,IIP/FA/투자소득 (해외투자),GBP billion,1997~2025 quarter-end,assets positive,8,
Table_D4_6,451,11,IIP,D4.6,Same - Investment in the UK,IIP/FA/투자소득 (대내투자),GBP billion,1997~2025,liabilities positive,8,
Table_D7_9,451,13,IIP,D7.9,Same - Net investment,IIP/FA/투자소득 (순),GBP billion,1997~2025,net,8,
Table_E,451,9,CA-detail,E,Trade in goods (3 sub-tables),상품무역,GBP million,1997~2025,Exports (+) / Imports (-),8,
Table_F,451,13,CA-detail,F,Trade in services (EBOPS 2010 12 cat.),서비스무역,GBP million,1997~2025,Exports (+) / Imports (-),8,
Table_G,451,11,CA-detail,G,Primary income,1차소득,GBP million,1997~2025,Credit (+) / Debit (-),8,
Table_H,451,14,CA-detail,H,Secondary income,2차소득,GBP million,1997~2025,Credit (+) / Debit (-),8,
Table_I,451,14,KA-FA,I,Capital account,자본수지,GBP million,1997~2025,Credit (+) / Debit (-),8,
Table_J,451,14,KA-FA,J,"Financial account, NSA",금융계정,GBP million,1997~2025 NSA,CDID space+minus prefix -> reverse sign,8,부호 반전 prefix
Table_K,451,11,IIP,K,International investment position end-of-period,국제투자대조표,GBP billion,1997~2025 NSA,assets-liab = net IIP,8,
Table_R1,445,13,revision,R1,Revisions summary - balances,개정 요약 (잔액),GBP million,1997~2025,revision,8,
Table_R2,592,13,revision,R2,Current account revisions (4 sub-tables incl. %GDP),경상수지 개정,GBP million / % of GDP,1997~2025,revision,8,4번째 부표는 % of GDP
Table_R3,1327,7,revision,R3,International investment revisions (9 sub-tables),국제투자 개정,GBP billion,1997~2025 NSA,revision,8,9개 부표 단일 시트 적층
