sheet,sub_table,column_position,column_label,cdid,sign_prefix,unit,table_code,classification,notes
Table_A,1,2,Trade in goods,BOKI,false,GBP million,A,summary,
Table_A,1,3,Trade in services,IKBD,false,GBP million,A,summary,
Table_A,1,4,Total trade,IKBJ,false,GBP million,A,summary,
Table_A,1,5,"Primary income, Compensation of employees",IJAJ,false,GBP million,A,summary,
Table_A,1,6,"Primary income, Investment income",HBOM,false,GBP million,A,summary,
Table_A,1,7,"Primary income, Other primary income",MT5X,false,GBP million,A,summary,
Table_A,1,8,"Primary income, Total",HBOJ,false,GBP million,A,summary,
Table_A,1,9,"Secondary income, General government",FNSV,false,GBP million,A,summary,
Table_A,1,10,"Secondary income, Other sectors",FNTC,false,GBP million,A,summary,
Table_A,1,11,"Secondary income, Total",IKBP,false,GBP million,A,summary,
Table_A,1,12,Current balance,HBOP,false,GBP million,A,summary,
Table_A,1,13,Capital balance,FNVQ,false,GBP million,A,summary,
Table_A,2,2,Trade in goods,LQCT,false,GBP million,A,summary,
Table_A,2,3,Trade in services,KTMS,false,GBP million,A,summary,
Table_A,2,4,Total trade,KTMY,false,GBP million,A,summary,
Table_A,2,5,"Primary income, Compensation of employees",KTMP,false,GBP million,A,summary,
Table_A,2,6,"Primary income, Investment income",HMBM,false,GBP million,A,summary,
Table_A,2,7,"Primary income, Other primary income",MT5W,false,GBP million,A,summary,
Table_A,2,8,"Primary income, Total",HMBP,false,GBP million,A,summary,
Table_A,2,9,"Secondary income, General government",FJUQ,false,GBP million,A,summary,
Table_A,2,10,"Secondary income, Other sectors",FJUR,false,GBP million,A,summary,
Table_A,2,11,"Secondary income, Total",KTNF,false,GBP million,A,summary,
Table_A,2,12,Current balance,HBOG,false,GBP million,A,summary,
Table_A,2,13,Capital balance,FKMJ,false,GBP million,A,summary,
Table_A,3,2,Direct investment,MU7M,true,GBP million,A,summary,
Table_A,3,3,Portfolio investment,HHZD,true,GBP million,A,summary,
Table_A,3,4,Financial derivatives (net),ZPNN,true,GBP million,A,summary,
Table_A,3,5,Other investment,HHYR,true,GBP million,A,summary,
Table_A,3,6,Reserve assets,LTCV,true,GBP million,A,summary,
Table_A,3,7,Net financial transactions,HBNT,true,GBP million,A,summary,
Table_A,3,8,Net errors and omissions [note 2],HHDH,false,GBP million,A,summary,
Table_B,1,2,Exports of goods,BOKG,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,1,3,Exports of services,IKBB,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,1,4,Total exports,IKBH,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,1,5,"Primary income, Compensation of employees",IJAH,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,1,6,"Primary income, Investment income",HBOK,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,1,7,"Primary income, Other primary income",MT5T,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,1,8,"Primary income, Total",HBOH,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,1,9,"Secondary income, Central government",FHDM,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,1,10,"Secondary income, Other sectors",FHIB,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,1,11,"Secondary income, Total",IKBN,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,1,12,Total credits,HBON,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,2,2,Imports of goods,BOKH,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,2,3,Imports of services,IKBC,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,2,4,Total imports,IKBI,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,2,5,"Primary income, Compensation of employees",IJAI,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,2,6,"Primary income, Investment income",HBOL,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,2,7,"Primary income, Other primary income",MT5V,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,2,8,"Primary income, Total",HBOI,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,2,9,"Secondary income, Central government",FLUD,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,2,10,"Secondary income, Other sectors",FLUZ,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,2,11,"Secondary income, Total",IKBO,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,2,12,Total debits,HBOO,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,3,2,Trade in goods,BOKI,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,3,3,Trade in services,IKBD,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,3,4,Trade total,IKBJ,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,3,5,"Primary income, Compensation of employees",IJAJ,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,3,6,"Primary income, Investment income",HBOM,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,3,7,"Primary income, Other primary income",MT5X,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,3,8,"Primary income, Total",HBOJ,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,3,9,"Secondary income, Central government",FNSV,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,3,10,"Secondary income, Other sectors",FNTC,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,3,11,"Secondary income,  Total",IKBP,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,3,12,Current balance,HBOP,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,4,2,Trade in goods,D28J,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,4,3,Trade in services,D28K,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,4,4,"Trade, Total",D28L,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,4,5,"Primary income,  Total",D28M,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,4,6,"Secondary income, Total",D28N,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_B,4,7,Current balance,AA6H,false,GBP million (1-3) / % of GDP (4),B,CA-main,4번째 부표는 % of GDP
Table_BX,1,2,"Exports of goods, excl. precious metals",FUS7,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,1,3,Exports of services,IKBB,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,1,4,"Total exports, excl. precious metals",FUS8,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,1,5,"Primary income, Compensation of employees",IJAH,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,1,6,"Primary income, Investment income",HBOK,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,1,7,"Primary income, Other primary income",MT5T,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,1,8,"Primary income, Total",HBOH,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,1,9,"Secondary income, Central government",FHDM,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,1,10,"Secondary income, Other sectors",FHIB,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,1,11,"Secondary income, Total",IKBN,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,1,12,"Total credits, excl. precious metals",FUS9,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,2,2,"Imports of goods, excl. precious metals",FUT2,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,2,3,Imports of services,IKBC,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,2,4,"Total imports, excl. precious metals",FUT3,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,2,5,"Primary income, Compensation of employees",IJAI,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,2,6,"Primary income, Investment income",HBOL,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,2,7,"Primary income, Other primary income",MT5V,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,2,8,"Primary income, Total",HBOI,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,2,9,"Secondary income, Central government",FLUD,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,2,10,"Secondary income, Other sectors",FLUZ,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,2,11,"Secondary income, Total",IKBO,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,2,12,"Total debits, excl. precious metals",FUT4,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,3,2,"Trade in goods, excl. precious metals",FUT5,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,3,3,Trade in services,IKBD,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,3,4,"Trade total, excl. precious metals",FUT6,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,3,5,"Primary income, Compensation of employees",IJAJ,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,3,6,"Primary income, Investment income",HBOM,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,3,7,"Primary income, Other primary income",MT5X,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,3,8,"Primary income, Total",HBOJ,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,3,9,"Secondary income, Central government",FNSV,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,3,10,"Secondary income, Other sectors",FNTC,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,3,11,"Secondary income, Total",IKBP,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,3,12,"Current balance, excl. precious metals",FUT7,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,4,2,"Trade in goods, excl. precious metals",FUT8,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,4,3,Trade in services,D28K,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,4,4,"Total trade, excl. precious metals",FUT9,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,4,5,"Primary income,  Total",D28M,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,4,6,"Secondary income, Total",D28N,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_BX,4,7,"Current balance, excl. precious metals",FUU2,false,GBP million / % of GDP,BX,CA-main,4번째 부표는 % of GDP
Table_C,1,2,Exports of goods,L87S,false,GBP million,C,CA-main,1997-1998 EU 결측 x
Table_C,1,3,Exports of services,L854,false,GBP million,C,CA-main,1997-1998 EU 결측 x
Table_C,1,4,Total exports,L84Y,false,GBP million,C,CA-main,1997-1998 EU 결측 x
Table_C,1,5,"Primary income, credits",L872,false,GBP million,C,CA-main,1997-1998 EU 결측 x
Table_C,1,6,"Secondary income, credits",L84S,false,GBP million,C,CA-main,1997-1998 EU 결측 x
Table_C,1,7,Total credits,L873,false,GBP million,C,CA-main,1997-1998 EU 결측 x
Table_C,2,2,Imports of goods,L87U,false,GBP million,C,CA-main,1997-1998 EU 결측 x
Table_C,2,3,Imports of services,L868,false,GBP million,C,CA-main,1997-1998 EU 결측 x
Table_C,2,4,Total imports,L864,false,GBP million,C,CA-main,1997-1998 EU 결측 x
Table_C,2,5,"Primary income, debits",L874,false,GBP million,C,CA-main,1997-1998 EU 결측 x
Table_C,2,6,"Secondary income, debits",L85W,false,GBP million,C,CA-main,1997-1998 EU 결측 x
Table_C,2,7,Total debits,L875,false,GBP million,C,CA-main,1997-1998 EU 결측 x
Table_C,3,2,Trade in goods,L87Q,false,GBP million,C,CA-main,1997-1998 EU 결측 x
Table_C,3,3,Trade in services,L86M,false,GBP million,C,CA-main,1997-1998 EU 결측 x
Table_C,3,4,Total trade,L86I,false,GBP million,C,CA-main,1997-1998 EU 결측 x
Table_C,3,5,"Primary income, balance",L876,false,GBP million,C,CA-main,1997-1998 EU 결측 x
Table_C,3,6,"Secondary income, balance",L86E,false,GBP million,C,CA-main,1997-1998 EU 결측 x
Table_C,3,7,Total balance,L877,false,GBP million,C,CA-main,1997-1998 EU 결측 x
Table_C,4,2,Exports of goods,L87M,false,GBP million,C,CA-main,1997-1998 EU 결측 x
Table_C,4,3,Exports of services,L855,false,GBP million,C,CA-main,1997-1998 EU 결측 x
Table_C,4,4,Total exports,L84Z,false,GBP million,C,CA-main,1997-1998 EU 결측 x
Table_C,4,5,"Primary income, credits",L87D,false,GBP million,C,CA-main,1997-1998 EU 결측 x
Table_C,4,6,"Secondary income, credits",L84T,false,GBP million,C,CA-main,1997-1998 EU 결측 x
Table_C,4,7,Total credits,L87E,false,GBP million,C,CA-main,1997-1998 EU 결측 x
Table_C,5,2,Imports of goods,L87O,false,GBP million,C,CA-main,1997-1998 EU 결측 x
Table_C,5,3,Imports of services,L869,false,GBP million,C,CA-main,1997-1998 EU 결측 x
Table_C,5,4,Total imports,L865,false,GBP million,C,CA-main,1997-1998 EU 결측 x
Table_C,5,5,"Primary income, debits",L87F,false,GBP million,C,CA-main,1997-1998 EU 결측 x
Table_C,5,6,"Secondary income, debits",L85X,false,GBP million,C,CA-main,1997-1998 EU 결측 x
Table_C,5,7,Total debits,L87G,false,GBP million,C,CA-main,1997-1998 EU 결측 x
