sheet,sub_table,missing_marker,count,sample_position,suggested_meaning
Cover_sheet,0,(empty),515,B1,Empty cell - series start before/after data window or non-applicable
Cover_sheet,0,Notes for all tables,1,B4,Non-numeric token (inspect manually)
Cover_sheet,0,Summary of Statistics,1,B5,Non-numeric token (inspect manually)
Cover_sheet,0,Summary of Balance of Payments,1,B6,Non-numeric token (inspect manually)
Cover_sheet,0,Current account,1,B7,Non-numeric token (inspect manually)
Cover_sheet,0,Current account excluding precious metals,1,B8,Non-numeric token (inspect manually)
Cover_sheet,0,Current account: transaction with the EU and non-EU countries,1,B9,Non-numeric token (inspect manually)
Cover_sheet,0,"Summary of international investment position, financial account and investment account, investment abroad",1,B10,Non-numeric token (inspect manually)
Cover_sheet,0,"Summary of international investment position, financial account and investment account, investment in the UK",1,B11,Non-numeric token (inspect manually)
Cover_sheet,0,"Summary of international investment position, financial account and investment account, net",1,B12,Non-numeric token (inspect manually)
Cover_sheet,0,Trade in goods,1,B13,Non-numeric token (inspect manually)
Cover_sheet,0,Trade in services,1,B14,Non-numeric token (inspect manually)
Cover_sheet,0,Primary income,1,B15,Non-numeric token (inspect manually)
Cover_sheet,0,Secondary income,1,B16,Non-numeric token (inspect manually)
Cover_sheet,0,Capital account,1,B17,Non-numeric token (inspect manually)
Cover_sheet,0,Financial account,1,B18,Non-numeric token (inspect manually)
Cover_sheet,0,International investment position,1,B19,Non-numeric token (inspect manually)
Cover_sheet,0,Summary of revisions since last Balance of Payments Statistical Bulletin,1,B20,Non-numeric token (inspect manually)
Cover_sheet,0,Current account revisions since last Balance of Payments Statistical Bulletin,1,B21,Non-numeric token (inspect manually)
Cover_sheet,0,Revisions to international investment since last Balance of Payments Statistical Bulletin,1,B22,Non-numeric token (inspect manually)
Cover_sheet,0,"Balance of Payments Investment Income and Co-ordination
Government Buildings
Cardiff Road
Newport
Gwent
NP10 8XG",1,B25,Non-numeric token (inspect manually)
Cover_sheet,0,"Balance of Payments Team, Office for National Statistics",1,B26,Non-numeric token (inspect manually)
Cover_sheet,0,+44 (0)1633 456106,1,B27,Non-numeric token (inspect manually)
Cover_sheet,0,bop@ons.gov.uk,1,B28,Non-numeric token (inspect manually)
Cover_sheet,0,30 June 2026,1,B29,Non-numeric token (inspect manually)
Cover_sheet,0,Office for National Statistics   © Crown Copyright 2026,1,B30,Non-numeric token (inspect manually)
Notes,0,(empty),327,B1,Empty cell - series start before/after data window or non-applicable
Notes,0,Note text,9,B9,Non-numeric token (inspect manually)
Notes,0,When downloading data from the Pink Book dataset users should reverse the sign of series that have an identifier that is prefixed with a minus sign.,4,B5,Non-numeric token (inspect manually)
Notes,0,"This series represents net errors and omissions in the balance of payments accounts. It is the converse of the current and capital balances (HBOG and FKMJ) and net financial account transactions (HBNT) and is required to balance these three accounts, not seasonally adjusted.",2,B6,Non-numeric token (inspect manually)
Notes,0,"Using series YBHA, GDP at current market prices.",2,B10,Non-numeric token (inspect manually)
Notes,0,Note Text,1,B4,Non-numeric token (inspect manually)
Notes,0,"Precious metals includes: Non-Monetary Gold (NMG), Platinum, Palladium and Silver.",1,B14,Non-numeric token (inspect manually)
Notes,0,EU presented on an EU basis.,1,B19,Non-numeric token (inspect manually)
Notes,0,Includes transactions with European Union institutions.,1,B20,Non-numeric token (inspect manually)
Notes,0,A quarterly breakdown of the UK's current account with the Euro area (as a whole) is published in table B6 of United Kingdom Economic Accounts (UKEA) at http://www.ons.gov.uk/economy/nationalaccounts/uksectoraccounts,1,B21,Non-numeric token (inspect manually)
Notes,0,"These data are our best estimates of these bilateral UK trade flows. Users should note that alternative estimates are Available, in some cases, via the statistical agencies for bilateral countries or through the central databases such as UN Comtrade (www.comtrade.un.org).",1,B22,Non-numeric token (inspect manually)
Notes,0,'Cells containing 'x' represent unavailable data.,1,B23,Non-numeric token (inspect manually)
Notes,0,"A quarterly geographic breakdown of the UK's current account with the USA, Japan, Canada, Switzerland, Brazil, China, Hong Kong, India and Russia is also Available and is published in table B6B of UKEA (see [note 3])",1,B24,Non-numeric token (inspect manually)
Notes,0,Includes transactions with international organisations other than European Union institutions.,1,B25,Non-numeric token (inspect manually)
Notes,0,When downloading data from the Pink Book dataset users should reverse the sign of series that have an Identifier that is prefixed with a minus sign.,1,B29,Non-numeric token (inspect manually)
Notes,0,Further detail of the quarterly financial account is published in tables B8 to B13 of United Kingdom Economic Accounts at http://www.ons.gov.uk/ons/search/index.html?newquery=ukea,1,B34,Non-numeric token (inspect manually)
Notes,0,Further detail of the quarterly international investment position is published in tables B14 to B19 of United Kingdom Economic Accounts at http://www.ons.gov.uk/ons/search/index.html?newquery=ukea,1,B38,Non-numeric token (inspect manually)
Notes,0,"Using series YBHA, GDP at current market price.",1,B47,Non-numeric token (inspect manually)
Records,0,(empty),44,B1,Empty cell - series start before/after data window or non-applicable
Records,0,Latest quarter value,4,B6,Non-numeric token (inspect manually)
Records,0,Record since,4,C6,Non-numeric token (inspect manually)
Records,0,Record highest,4,D6,Non-numeric token (inspect manually)
Records,0,Record lowest,4,E6,Non-numeric token (inspect manually)
Records,0,Largest deficit since 2025 Q3,4,C8,Non-numeric token (inspect manually)
Records,0,Largest deficit since 2025 Q2,2,C10,Non-numeric token (inspect manually)
Records,0,-£65.5,1,B7,Non-numeric token (inspect manually)
Records,0,Largest deficit recorded,1,C7,Non-numeric token (inspect manually)
Records,0,"£1.6
(1981 Q1)",1,D7,Non-numeric token (inspect manually)
Records,0,"-£65.5
(2025 Q4)",1,E7,Non-numeric token (inspect manually)
Records,0,-£55.5,1,B8,Non-numeric token (inspect manually)
Records,0,"-£3.1
(1997 Q1)",1,D8,Non-numeric token (inspect manually)
Records,0,"-£57.6
(2025 Q3)",1,E8,Non-numeric token (inspect manually)
Records,0,£53.3,1,B9,Non-numeric token (inspect manually)
Records,0,Largest surplus since 2025 Q3,1,C9,Non-numeric token (inspect manually)
Records,0,"£53.5
(2025 Q3)",1,D9,Non-numeric token (inspect manually)
Records,0,"£0.0
(1965 Q3)",1,E9,Non-numeric token (inspect manually)
Records,0,-£2.7,1,B10,Non-numeric token (inspect manually)
Records,0,"£8.7
(2022 Q2)",1,D10,Non-numeric token (inspect manually)
Records,0,"-£21.7
(2020 Q2)",1,E10,Non-numeric token (inspect manually)
Records,0,-£3.6,1,B11,Non-numeric token (inspect manually)
Records,0,"£0.3
(1982 Q1)",1,D11,Non-numeric token (inspect manually)
Records,0,"-£9.0
(2020 Q2)",1,E11,Non-numeric token (inspect manually)
Records,0,-£18.4,1,B12,Non-numeric token (inspect manually)
Records,0,"£5.3
(2022 Q4)",1,D12,Non-numeric token (inspect manually)
Records,0,"-£36.5
(2022 Q1)",1,E12,Non-numeric token (inspect manually)
Records,0,-£8.4,1,B13,Non-numeric token (inspect manually)
Records,0,"£4.5
(2021 Q1)",1,D13,Non-numeric token (inspect manually)
Records,0,"-£38.8
(2023 Q2)",1,E13,Non-numeric token (inspect manually)
Records,0,-£0.8,1,B17,Non-numeric token (inspect manually)
Records,0,"£0.5
(2007 Q4)",1,D17,Non-numeric token (inspect manually)
Records,0,"-£8.4
(2017 Q3)",1,E17,Non-numeric token (inspect manually)
Records,0,-£1.6,1,B21,Non-numeric token (inspect manually)
Records,0,Largest net inflow since 2025 Q2,1,C21,Non-numeric token (inspect manually)
Records,0,"£98.5
(2000 Q1)",1,D21,Non-numeric token (inspect manually)
Records,0,"-£139.7
(2014 Q1)",1,E21,Non-numeric token (inspect manually)
Records,0,-£61.5,1,B22,Non-numeric token (inspect manually)
Records,0,Largest net inflow since 2024 Q4,1,C22,Non-numeric token (inspect manually)
Records,0,"£128.9
(2012 Q3)",1,D22,Non-numeric token (inspect manually)
Records,0,"-£193.2
(2008 Q4)",1,E22,Non-numeric token (inspect manually)
Records,0,-£1.3,1,B23,Non-numeric token (inspect manually)
Records,0,Largest net payments since 2025 Q2,1,C23,Non-numeric token (inspect manually)
Records,0,"£64.4
(2008 Q1)",1,D23,Non-numeric token (inspect manually)
Records,0,"-£100.9
(2015 Q1)",1,E23,Non-numeric token (inspect manually)
Records,0,£54.4,1,B24,Non-numeric token (inspect manually)
