sheet,sub_table,out_file,n_data_rows,n_data_cols,raw_cell_count,skipped_reason
Cover_sheet,,,0,0,0,meta_notes (한국어 메모로 별도 처리)
Notes,,,0,0,0,meta_notes (한국어 메모로 별도 처리)
Records,,,0,0,0,meta_notes (한국어 메모로 별도 처리)
Table_A,1,balanceofpayments2025q4_a_sub1.csv,145,12,1898,
Table_A,2,balanceofpayments2025q4_a_sub2.csv,145,12,1898,
Table_A,3,balanceofpayments2025q4_a_sub3.csv,145,7,1168,
Table_B,1,balanceofpayments2025q4_b_sub1.csv,145,11,1752,
Table_B,2,balanceofpayments2025q4_b_sub2.csv,145,11,1752,
Table_B,3,balanceofpayments2025q4_b_sub3.csv,145,11,1752,
Table_B,4,balanceofpayments2025q4_b_sub4.csv,145,6,1022,
Table_BX,1,balanceofpayments2025q4_bx_sub1.csv,145,11,1752,
Table_BX,2,balanceofpayments2025q4_bx_sub2.csv,145,11,1752,
Table_BX,3,balanceofpayments2025q4_bx_sub3.csv,145,11,1752,
Table_BX,4,balanceofpayments2025q4_bx_sub4.csv,145,6,1022,
Table_C,1,balanceofpayments2025q4_c_sub1.csv,145,6,1022,
Table_C,2,balanceofpayments2025q4_c_sub2.csv,145,6,1022,
Table_C,3,balanceofpayments2025q4_c_sub3.csv,145,6,1022,
Table_C,4,balanceofpayments2025q4_c_sub4.csv,145,6,1022,
Table_C,5,balanceofpayments2025q4_c_sub5.csv,145,6,1022,
Table_C,6,balanceofpayments2025q4_c_sub6.csv,145,6,1022,
Table_D1_3,1,balanceofpayments2025q4_d1_3_sub1.csv,145,6,1022,
Table_D1_3,2,balanceofpayments2025q4_d1_3_sub2.csv,145,6,1022,
Table_D1_3,3,balanceofpayments2025q4_d1_3_sub3.csv,145,5,876,
Table_D4_6,1,balanceofpayments2025q4_d4_6_sub1.csv,145,5,876,
Table_D4_6,2,balanceofpayments2025q4_d4_6_sub2.csv,145,4,730,
Table_D4_6,3,balanceofpayments2025q4_d4_6_sub3.csv,145,4,730,
Table_D7_9,1,balanceofpayments2025q4_d7_9_sub1.csv,145,6,1022,
Table_D7_9,2,balanceofpayments2025q4_d7_9_sub2.csv,145,6,1022,
Table_D7_9,3,balanceofpayments2025q4_d7_9_sub3.csv,145,5,876,
Table_E,1,balanceofpayments2025q4_e_sub1.csv,145,8,1314,
Table_E,2,balanceofpayments2025q4_e_sub2.csv,145,8,1314,
Table_E,3,balanceofpayments2025q4_e_sub3.csv,145,8,1314,
Table_F,1,balanceofpayments2025q4_f_sub1.csv,145,12,1898,
Table_F,2,balanceofpayments2025q4_f_sub2.csv,145,12,1898,
Table_F,3,balanceofpayments2025q4_f_sub3.csv,145,12,1898,
Table_G,1,balanceofpayments2025q4_g_sub1.csv,145,10,1606,
Table_G,2,balanceofpayments2025q4_g_sub2.csv,145,9,1460,
Table_G,3,balanceofpayments2025q4_g_sub3.csv,145,10,1606,
Table_H,1,balanceofpayments2025q4_h_sub1.csv,145,7,1168,
Table_H,2,balanceofpayments2025q4_h_sub2.csv,145,11,1752,
Table_H,3,balanceofpayments2025q4_h_sub3.csv,145,4,730,
Table_I,1,balanceofpayments2025q4_i_sub1.csv,145,12,1898,
Table_I,2,balanceofpayments2025q4_i_sub2.csv,145,11,1752,
Table_I,3,balanceofpayments2025q4_i_sub3.csv,145,9,1460,
Table_J,1,balanceofpayments2025q4_j_sub1.csv,145,11,1752,
Table_J,2,balanceofpayments2025q4_j_sub2.csv,145,9,1460,
Table_J,3,balanceofpayments2025q4_j_sub3.csv,145,11,1752,
Table_K,1,balanceofpayments2025q4_k_sub1.csv,145,10,1606,
Table_K,2,balanceofpayments2025q4_k_sub2.csv,145,9,1460,
Table_K,3,balanceofpayments2025q4_k_sub3.csv,145,10,1606,
Table_R1,1,balanceofpayments2025q4_r1_sub1.csv,143,12,1872,
Table_R1,2,balanceofpayments2025q4_r1_sub2.csv,143,12,1872,
Table_R1,3,balanceofpayments2025q4_r1_sub3.csv,143,7,1152,
Table_R2,1,balanceofpayments2025q4_r2_sub1.csv,143,11,1728,
Table_R2,2,balanceofpayments2025q4_r2_sub2.csv,143,11,1728,
Table_R2,3,balanceofpayments2025q4_r2_sub3.csv,143,11,1728,
Table_R2,4,balanceofpayments2025q4_r2_sub4.csv,143,6,1008,
Table_R3,1,balanceofpayments2025q4_r3_sub1.csv,143,6,1008,
Table_R3,2,balanceofpayments2025q4_r3_sub2.csv,143,6,1008,
Table_R3,3,balanceofpayments2025q4_r3_sub3.csv,143,5,864,
Table_R3,4,balanceofpayments2025q4_r3_sub4.csv,143,5,864,
Table_R3,5,balanceofpayments2025q4_r3_sub5.csv,143,4,720,
Table_R3,6,balanceofpayments2025q4_r3_sub6.csv,143,4,720,
Table_R3,7,balanceofpayments2025q4_r3_sub7.csv,143,6,1008,
Table_R3,8,balanceofpayments2025q4_r3_sub8.csv,143,6,1008,
Table_R3,9,balanceofpayments2025q4_r3_sub9.csv,143,5,864,
