DATE,XUDLBK67
03 Jan 2006,98.355
04 Jan 2006,98.8974
05 Jan 2006,98.6093
06 Jan 2006,99.1268
09 Jan 2006,99.0192
10 Jan 2006,99.1462
11 Jan 2006,98.7298
12 Jan 2006,99.0706
13 Jan 2006,99.3941
16 Jan 2006,99.0072
17 Jan 2006,98.9357
18 Jan 2006,98.9457
19 Jan 2006,98.8146
20 Jan 2006,98.9144
23 Jan 2006,99.1773
24 Jan 2006,99.1859
25 Jan 2006,99.409
26 Jan 2006,99.4966
27 Jan 2006,99.2996
30 Jan 2006,99.3641
31 Jan 2006,99.4962
01 Feb 2006,99.8698
02 Feb 2006,99.9543
03 Feb 2006,99.3796
06 Feb 2006,98.9204
07 Feb 2006,98.5036
08 Feb 2006,98.5837
09 Feb 2006,98.4216
10 Feb 2006,98.904
13 Feb 2006,98.8634
14 Feb 2006,98.2146
15 Feb 2006,98.9146
16 Feb 2006,98.5495
17 Feb 2006,98.67
20 Feb 2006,98.7394
21 Feb 2006,98.8798
22 Feb 2006,98.8883
23 Feb 2006,99.1943
24 Feb 2006,99.0715
27 Feb 2006,98.8303
28 Feb 2006,99.1308
01 Mar 2006,99.1671
02 Mar 2006,98.5376
03 Mar 2006,98.7215
06 Mar 2006,98.7805
07 Mar 2006,98.5743
08 Mar 2006,98.4719
09 Mar 2006,98.5511
10 Mar 2006,98.1864
13 Mar 2006,98.1336
14 Mar 2006,98.4765
15 Mar 2006,98.3393
16 Mar 2006,98.2991
17 Mar 2006,98.1218
20 Mar 2006,98.2506
21 Mar 2006,98.2914
22 Mar 2006,98.2719
23 Mar 2006,98.145
24 Mar 2006,98.3472
27 Mar 2006,98.6225
28 Mar 2006,98.4604
29 Mar 2006,98.1033
30 Mar 2006,97.9788
31 Mar 2006,97.5653
03 Apr 2006,97.6161
04 Apr 2006,97.8553
05 Apr 2006,97.4354
06 Apr 2006,97.7337
07 Apr 2006,97.7216
10 Apr 2006,97.9131
11 Apr 2006,98.0011
12 Apr 2006,98.3349
13 Apr 2006,98.5136
18 Apr 2006,98.8979
19 Apr 2006,99.2176
20 Apr 2006,98.7115
21 Apr 2006,98.8016
24 Apr 2006,98.5696
25 Apr 2006,98.6886
26 Apr 2006,98.4883
27 Apr 2006,98.8328
28 Apr 2006,99.3059
02 May 2006,100.1936
03 May 2006,100.3625
04 May 2006,100.4556
05 May 2006,100.7328
08 May 2006,100.7541
09 May 2006,100.9014
10 May 2006,100.6064
11 May 2006,101.3763
12 May 2006,101.7362
15 May 2006,101.7656
16 May 2006,101.8033
17 May 2006,102.0621
18 May 2006,102.3478
19 May 2006,101.921
22 May 2006,101.9873
23 May 2006,101.8036
24 May 2006,101.5772
25 May 2006,101.5944
26 May 2006,101.0496
30 May 2006,101.862
31 May 2006,101.3729
01 Jun 2006,101.3188
02 Jun 2006,101.7056
05 Jun 2006,101.1515
06 Jun 2006,100.9809
07 Jun 2006,100.9071
08 Jun 2006,100.768
09 Jun 2006,100.8236
12 Jun 2006,101.1259
13 Jun 2006,101.0607
14 Jun 2006,101.3311
15 Jun 2006,101.496
16 Jun 2006,101.4346
19 Jun 2006,101.2562
20 Jun 2006,101.3574
21 Jun 2006,101.1754
22 Jun 2006,100.8033
23 Jun 2006,100.6193
26 Jun 2006,100.3808
27 Jun 2006,100.4118
28 Jun 2006,100.3209
29 Jun 2006,100.047
30 Jun 2006,100.7012
03 Jul 2006,100.304
04 Jul 2006,100.4252
05 Jul 2006,100.244
06 Jul 2006,100.1619
07 Jul 2006,100.5133
10 Jul 2006,100.3953
11 Jul 2006,100.4589
12 Jul 2006,100.2711
13 Jul 2006,100.8102
14 Jul 2006,100.6963
17 Jul 2006,100.5305
18 Jul 2006,101.0071
19 Jul 2006,101.3961
20 Jul 2006,101.5553
21 Jul 2006,101.7688
24 Jul 2006,101.6445
25 Jul 2006,101.4423
26 Jul 2006,101.4577
27 Jul 2006,101.6768
28 Jul 2006,101.5475
31 Jul 2006,101.6373
01 Aug 2006,101.8358
02 Aug 2006,102.0374
03 Aug 2006,102.7227
04 Aug 2006,103.3437
07 Aug 2006,103.4598
08 Aug 2006,103.4525
09 Aug 2006,103.2634
10 Aug 2006,102.9078
11 Aug 2006,103.2456
14 Aug 2006,103.2119
15 Aug 2006,103.1561
16 Aug 2006,103.0164
17 Aug 2006,102.5632
18 Aug 2006,102.112
21 Aug 2006,102.568
22 Aug 2006,102.6707
23 Aug 2006,103.0371
24 Aug 2006,102.9595
25 Aug 2006,102.9797
29 Aug 2006,103.2316
30 Aug 2006,103.5693
31 Aug 2006,103.5295
01 Sep 2006,103.605
04 Sep 2006,103.251
05 Sep 2006,102.9004
