sheet,classification_ko,classification_code,table_code
Cover_sheet,메타·주석,meta_notes,(none)
Notes,메타·주석,meta_notes,(none)
Records,메타·주석,meta_notes,(none)
Table_A,전체 잔액 요약,summary,A
Table_B,경상수지 본표,current_main,B
Table_BX,경상수지 본표,current_main,BX
Table_C,경상수지 본표,current_main,C
Table_D1_3,국제투자대조표,iip,D1.3
Table_D4_6,국제투자대조표,iip,D4.6
Table_D7_9,국제투자대조표,iip,D7.9
Table_E,경상수지 세부,current_detail,E
Table_F,경상수지 세부,current_detail,F
Table_G,경상수지 세부,current_detail,G
Table_H,경상수지 세부,current_detail,H
Table_I,자본·금융계정,capital_financial,I
Table_J,자본·금융계정,capital_financial,J
Table_K,국제투자대조표,iip,K
Table_R1,직전 발표 대비 개정,revisions,R1
Table_R2,직전 발표 대비 개정,revisions,R2
Table_R3,직전 발표 대비 개정,revisions,R3
