sheet,first_cdid_row,first_data_row,all_cdid_rows,n_subtables,classification,table_code
Cover_sheet,,,,0,meta,(none)
Notes,,,,0,meta,(none)
Records,,,,0,meta,(none)
Table_A,8,9,8;157;306,3,summary,A
Table_B,8,9,8;157;306;455,4,CA-main,B
Table_BX,8,9,8;157;306;455,4,CA-main,BX
Table_C,8,9,8;157;306;455;604;753,6,CA-main,C
Table_D1_3,8,9,8;157;306,3,IIP,D1.3
Table_D4_6,8,9,8;157;306,3,IIP,D4.6
Table_D7_9,8,9,8;157;306,3,IIP,D7.9
Table_E,8,9,8;157;306,3,CA-detail,E
Table_F,8,9,8;157;306,3,CA-detail,F
Table_G,8,9,8;157;306,3,CA-detail,G
Table_H,8,9,8;157;306,3,CA-detail,H
Table_I,8,9,8;157;306,3,KA-FA,I
Table_J,8,9,8;157;306,3,KA-FA,J
Table_K,8,9,8;157;306,3,IIP,K
Table_R1,8,9,8;155;302,3,revision,R1
Table_R2,8,9,8;155;302;449,4,revision,R2
Table_R3,8,9,8;155;302;449;596;743;890;1037;1184,9,revision,R3
