sheet,total_rows,n_blank_rows,blank_row_positions
Cover_sheet,30,1,23
Notes,51,9,7;11;16;26;30;35;39;44;48
Records,35,3,14;18;27
Table_A,451,2,154;303
Table_B,600,3,154;303;452
Table_BX,600,3,154;303;452
Table_C,898,5,154;303;452;601;750
Table_D1_3,451,2,154;303
Table_D4_6,451,2,154;303
Table_D7_9,451,2,154;303
Table_E,451,2,154;303
Table_F,451,2,154;303
Table_G,451,2,154;303
Table_H,451,2,154;303
Table_I,451,2,154;303
Table_J,451,2,154;303
Table_K,451,2,154;303
Table_R1,445,2,152;299
Table_R2,592,3,152;299;446
Table_R3,1327,8,152;299;446;593;740;887;1034;1181
