sheet,classification_ko,classification_code,table_code,n_rows,n_cols,first_cdid_row,first_data_row,all_cdid_rows,n_subtables,blank_row_positions,time_format,annual_first,annual_last,quarter_first,quarter_last,unit_normalized,scale_factor,subtable_split_required,missing_markers,missing_total,missing_subtables
Cover_sheet,메타·주석,meta_notes,(none),30,19,,,,0,23,none / meta sheet,,,,,unknown,,no,,0,
Notes,메타·주석,meta_notes,(none),51,8,,,,0,7;11;16;26;30;35;39;44;48,none / meta sheet,,,,,unknown,,no,,0,
Records,메타·주석,meta_notes,(none),35,5,,,,0,14;18;27,none / meta sheet,,,,,GBP_billion,1e9,no,,0,
Table_A,전체 잔액 요약,summary,A,451,19,8,9,8;157;306,3,154;303,"YYYY (annual, 87 rows: 1997~2025) + YYYY Qn (quarterly, 348 rows: 1997 Q1~2025 Q4)",1997,2025,1997 Q1,2025 Q4,GBP_million,1e6,no,,0,
Table_B,경상수지 본표,current_main,B,600,12,8,9,8;157;306;455,4,154;303;452,"YYYY (annual, 116 rows: 1997~2025) + YYYY Qn (quarterly, 464 rows: 1997 Q1~2025 Q4)",1997,2025,1997 Q1,2025 Q4,MIXED (3×GBP_million + 1×pct_of_GDP),mixed,yes,,0,
Table_BX,경상수지 본표,current_main,BX,600,12,8,9,8;157;306;455,4,154;303;452,"YYYY (annual, 116 rows: 1997~2025) + YYYY Qn (quarterly, 464 rows: 1997 Q1~2025 Q4)",1997,2025,1997 Q1,2025 Q4,MIXED (3×GBP_million + 1×pct_of_GDP),mixed,yes,,0,
Table_C,경상수지 본표,current_main,C,898,20,8,9,8;157;306;455;604;753,6,154;303;452;601;750,"YYYY (annual, 174 rows: 1997~2025) + YYYY Qn (quarterly, 696 rows: 1997 Q1~2025 Q4)",1997,2025,1997 Q1,2025 Q4,GBP_million,1e6,no,x,360,1;2;3;4;5;6
Table_D1_3,국제투자대조표,iip,D1.3,451,13,8,9,8;157;306,3,154;303,"YYYY (annual, 87 rows: 1997~2025) + YYYY Qn (quarterly, 348 rows: 1997 Q1~2025 Q4)",1997,2025,1997 Q1,2025 Q4,GBP_billion,1e9,no,,0,
Table_D4_6,국제투자대조표,iip,D4.6,451,11,8,9,8;157;306,3,154;303,"YYYY (annual, 87 rows: 1997~2025) + YYYY Qn (quarterly, 348 rows: 1997 Q1~2025 Q4)",1997,2025,1997 Q1,2025 Q4,GBP_billion,1e9,no,,0,
Table_D7_9,국제투자대조표,iip,D7.9,451,13,8,9,8;157;306,3,154;303,"YYYY (annual, 87 rows: 1997~2025) + YYYY Qn (quarterly, 348 rows: 1997 Q1~2025 Q4)",1997,2025,1997 Q1,2025 Q4,GBP_billion,1e9,no,,0,
Table_E,경상수지 세부,current_detail,E,451,9,8,9,8;157;306,3,154;303,"YYYY (annual, 87 rows: 1997~2025) + YYYY Qn (quarterly, 348 rows: 1997 Q1~2025 Q4)",1997,2025,1997 Q1,2025 Q4,GBP_million,1e6,no,,0,
Table_F,경상수지 세부,current_detail,F,451,13,8,9,8;157;306,3,154;303,"YYYY (annual, 87 rows: 1997~2025) + YYYY Qn (quarterly, 348 rows: 1997 Q1~2025 Q4)",1997,2025,1997 Q1,2025 Q4,GBP_million,1e6,no,,0,
Table_G,경상수지 세부,current_detail,G,451,11,8,9,8;157;306,3,154;303,"YYYY (annual, 87 rows: 1997~2025) + YYYY Qn (quarterly, 348 rows: 1997 Q1~2025 Q4)",1997,2025,1997 Q1,2025 Q4,GBP_million,1e6,no,,0,
Table_H,경상수지 세부,current_detail,H,451,14,8,9,8;157;306,3,154;303,"YYYY (annual, 87 rows: 1997~2025) + YYYY Qn (quarterly, 348 rows: 1997 Q1~2025 Q4)",1997,2025,1997 Q1,2025 Q4,GBP_million,1e6,no,,0,
Table_I,자본·금융계정,capital_financial,I,451,14,8,9,8;157;306,3,154;303,"YYYY (annual, 87 rows: 1997~2025) + YYYY Qn (quarterly, 348 rows: 1997 Q1~2025 Q4)",1997,2025,1997 Q1,2025 Q4,GBP_million,1e6,no,,0,
Table_J,자본·금융계정,capital_financial,J,451,14,8,9,8;157;306,3,154;303,"YYYY (annual, 87 rows: 1997~2025) + YYYY Qn (quarterly, 348 rows: 1997 Q1~2025 Q4)",1997,2025,1997 Q1,2025 Q4,GBP_million,1e6,no,,0,
Table_K,국제투자대조표,iip,K,451,11,8,9,8;157;306,3,154;303,"YYYY (annual, 87 rows: 1997~2025) + YYYY Qn (quarterly, 348 rows: 1997 Q1~2025 Q4)",1997,2025,1997 Q1,2025 Q4,GBP_billion,1e9,no,,0,
Table_R1,직전 발표 대비 개정,revisions,R1,445,13,8,9,8;155;302,3,152;299,"YYYY (annual, 84 rows: 1997~2024) + YYYY Qn (quarterly, 345 rows: 1997 Q1~2025 Q3)",1997,2024,1997 Q1,2025 Q3,GBP_million,1e6,no,,0,
Table_R2,직전 발표 대비 개정,revisions,R2,592,13,8,9,8;155;302;449,4,152;299;446,"YYYY (annual, 112 rows: 1997~2024) + YYYY Qn (quarterly, 460 rows: 1997 Q1~2025 Q3)",1997,2024,1997 Q1,2025 Q3,MIXED (3×GBP_million + 1×pct_of_GDP),mixed,yes,,0,
Table_R3,직전 발표 대비 개정,revisions,R3,1327,7,8,9,8;155;302;449;596;743;890;1037;1184,9,152;299;446;593;740;887;1034;1181,"YYYY (annual, 252 rows: 1997~2024) + YYYY Qn (quarterly, 1035 rows: 1997 Q1~2025 Q3)",1997,2024,1997 Q1,2025 Q3,GBP_billion,1e9,no,,0,
