sheet,sub_table,column_position,column_label,cdid,sign_prefix,unit,table_code,classification,notes,item_code1,item_code2,item_code3,ko_name,ko_definition,source
Table_A,1,2,Trade in goods,BOKI,false,GBP million,A,summary,,BOKI,CA,CA.G.G_TOT,상품무역,상품수지 합계 — 재화의 수출입 차액(강의 슬라이드 5·21).,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_A,1,3,Trade in services,IKBD,false,GBP million,A,summary,,IKBD,CA,CA.S.S_TOT,서비스무역,서비스수지 합계 — EBOPS 12분류 서비스 거래의 합산(강의 슬라이드 5).,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_A,1,4,Total trade,IKBJ,false,GBP million,A,summary,,IKBJ,CA,,상품·서비스 합계,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·25·26·27·28(전체 잔액 요약 — 모든 분류 cross-reference)
Table_A,1,5,"Primary income, Compensation of employees",IJAJ,false,GBP million,A,summary,,IJAJ,CA,,1차소득 - 노동소득(보수),,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·25·26·27·28(전체 잔액 요약 — 모든 분류 cross-reference)
Table_A,1,6,"Primary income, Investment income",HBOM,false,GBP million,A,summary,,HBOM,CA,CA.PI.PI_INV_TOT,1차소득 - 투자소득,투자소득 합계 — 직접·증권·기타·준비자산 투자에서 발생한 소득 합산(강의 슬라이드 25).,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_A,1,7,"Primary income, Other primary income",MT5X,false,GBP million,A,summary,,MT5X,CA,,1차소득 - 기타,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·25·26·27·28(전체 잔액 요약 — 모든 분류 cross-reference)
Table_A,1,8,"Primary income, Total",HBOJ,false,GBP million,A,summary,,HBOJ,CA,CA.PI.PI_TOT,1차소득 합계,1차소득 합계 — 노동소득·투자소득·기타 1차소득 합산(강의 슬라이드 5·9).,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
Table_A,1,9,"Secondary income, General government",FNSV,false,GBP million,A,summary,,FNSV,CA,,2차소득 - 일반정부,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·25·26·27·28(전체 잔액 요약 — 모든 분류 cross-reference)
Table_A,1,10,"Secondary income, Other sectors",FNTC,false,GBP million,A,summary,,FNTC,CA,,2차소득 - 기타부문,,13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·25·26·27·28(전체 잔액 요약 — 모든 분류 cross-reference)
Table_A,1,11,"Secondary income, Total",IKBP,false,GBP million,A,summary,,IKBP,CA,CA.SI.SI_TOT,2차소득 합계,2차소득 합계 — 정부·기타부문의 이전소득 합산(강의 슬라이드 5·14).,강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
