STAT_CODE,STAT_NAME,ITEM_CODE1,ITEM_CODE2,ITEM_CODE3,ITEM_CODE4,ITEM_NAME_EN,ITEM_NAME_KO,DEFINITION,UNIT_NAME,CYCLE,START_TIME,END_TIME,MISSING_MEANING,SIGN_CONVENTION,SOURCE
UK_BoP_Table_A_sub1,영국 국제수지 잔액 요약 (부표 1),BOKI,CA,CA.G.G_TOT,,Trade in goods,상품무역,상품수지 합계 — 재화의 수출입 차액(강의 슬라이드 5·21).,GBP million,Q,1997,2025Q4,"`x` = 비공개·미가용(unavailable, ONS Notes 11번 명시) / 빈 셀 = 시리즈 시작 이전 또는 자료 없음 / GAF [c]/[x]/[z]/[low] 미사용 / legacy `..`·`-` 미사용",잔액(net) — + 흑자 / − 적자 (강의 슬라이드 10·11),강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
UK_BoP_Table_A_sub1,영국 국제수지 잔액 요약 (부표 1),IKBD,CA,CA.S.S_TOT,,Trade in services,서비스무역,서비스수지 합계 — EBOPS 12분류 서비스 거래의 합산(강의 슬라이드 5).,GBP million,Q,1997,2025Q4,"`x` = 비공개·미가용(unavailable, ONS Notes 11번 명시) / 빈 셀 = 시리즈 시작 이전 또는 자료 없음 / GAF [c]/[x]/[z]/[low] 미사용 / legacy `..`·`-` 미사용",잔액(net) — + 흑자 / − 적자 (강의 슬라이드 10·11),강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
UK_BoP_Table_A_sub1,영국 국제수지 잔액 요약 (부표 1),IKBJ,CA,,,Total trade,상품·서비스 합계,영국 국제수지 잔액 요약 시트의 한 항목 — 강의 슬라이드 13(복식부기 항등성) + 슬라이드 14(`CA = FA(broad)` 단순화 항등식) 근거. 잔액(net transactions) 표기. 본 항목의 BPM6 표준 정의는 background/note/24~28 분류별 보강 참조. (분류: summary; 원문 라벨: Total trade),GBP million,Q,1997,2025Q4,"`x` = 비공개·미가용(unavailable, ONS Notes 11번 명시) / 빈 셀 = 시리즈 시작 이전 또는 자료 없음 / GAF [c]/[x]/[z]/[low] 미사용 / legacy `..`·`-` 미사용",잔액(net) — + 흑자 / − 적자 (강의 슬라이드 10·11),13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·25·26·27·28(전체 잔액 요약 — 모든 분류 cross-reference)
UK_BoP_Table_A_sub1,영국 국제수지 잔액 요약 (부표 1),IJAJ,CA,,,"Primary income, Compensation of employees",1차소득 - 노동소득(보수),"영국 국제수지 잔액 요약 시트의 한 항목 — 강의 슬라이드 13(복식부기 항등성) + 슬라이드 14(`CA = FA(broad)` 단순화 항등식) 근거. 잔액(net transactions) 표기. 본 항목의 BPM6 표준 정의는 background/note/24~28 분류별 보강 참조. (분류: summary; 원문 라벨: Primary income, Compensation of employees)",GBP million,Q,1997,2025Q4,"`x` = 비공개·미가용(unavailable, ONS Notes 11번 명시) / 빈 셀 = 시리즈 시작 이전 또는 자료 없음 / GAF [c]/[x]/[z]/[low] 미사용 / legacy `..`·`-` 미사용",잔액(net) — + 흑자 / − 적자 (강의 슬라이드 10·11),13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·25·26·27·28(전체 잔액 요약 — 모든 분류 cross-reference)
UK_BoP_Table_A_sub1,영국 국제수지 잔액 요약 (부표 1),HBOM,CA,CA.PI.PI_INV_TOT,,"Primary income, Investment income",1차소득 - 투자소득,투자소득 합계 — 직접·증권·기타·준비자산 투자에서 발생한 소득 합산(강의 슬라이드 25).,GBP million,Q,1997,2025Q4,"`x` = 비공개·미가용(unavailable, ONS Notes 11번 명시) / 빈 셀 = 시리즈 시작 이전 또는 자료 없음 / GAF [c]/[x]/[z]/[low] 미사용 / legacy `..`·`-` 미사용",잔액(net) — + 흑자 / − 적자 (강의 슬라이드 10·11),강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
UK_BoP_Table_A_sub1,영국 국제수지 잔액 요약 (부표 1),MT5X,CA,,,"Primary income, Other primary income",1차소득 - 기타,"영국 국제수지 잔액 요약 시트의 한 항목 — 강의 슬라이드 13(복식부기 항등성) + 슬라이드 14(`CA = FA(broad)` 단순화 항등식) 근거. 잔액(net transactions) 표기. 본 항목의 BPM6 표준 정의는 background/note/24~28 분류별 보강 참조. (분류: summary; 원문 라벨: Primary income, Other primary income)",GBP million,Q,1997,2025Q4,"`x` = 비공개·미가용(unavailable, ONS Notes 11번 명시) / 빈 셀 = 시리즈 시작 이전 또는 자료 없음 / GAF [c]/[x]/[z]/[low] 미사용 / legacy `..`·`-` 미사용",잔액(net) — + 흑자 / − 적자 (강의 슬라이드 10·11),13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·25·26·27·28(전체 잔액 요약 — 모든 분류 cross-reference)
UK_BoP_Table_A_sub1,영국 국제수지 잔액 요약 (부표 1),HBOJ,CA,CA.PI.PI_TOT,,"Primary income, Total",1차소득 합계,1차소득 합계 — 노동소득·투자소득·기타 1차소득 합산(강의 슬라이드 5·9).,GBP million,Q,1997,2025Q4,"`x` = 비공개·미가용(unavailable, ONS Notes 11번 명시) / 빈 셀 = 시리즈 시작 이전 또는 자료 없음 / GAF [c]/[x]/[z]/[low] 미사용 / legacy `..`·`-` 미사용",잔액(net) — + 흑자 / − 적자 (강의 슬라이드 10·11),강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
UK_BoP_Table_A_sub1,영국 국제수지 잔액 요약 (부표 1),FNSV,CA,,,"Secondary income, General government",2차소득 - 일반정부,"영국 국제수지 잔액 요약 시트의 한 항목 — 강의 슬라이드 13(복식부기 항등성) + 슬라이드 14(`CA = FA(broad)` 단순화 항등식) 근거. 잔액(net transactions) 표기. 본 항목의 BPM6 표준 정의는 background/note/24~28 분류별 보강 참조. (분류: summary; 원문 라벨: Secondary income, General government)",GBP million,Q,1997,2025Q4,"`x` = 비공개·미가용(unavailable, ONS Notes 11번 명시) / 빈 셀 = 시리즈 시작 이전 또는 자료 없음 / GAF [c]/[x]/[z]/[low] 미사용 / legacy `..`·`-` 미사용",잔액(net) — + 흑자 / − 적자 (강의 슬라이드 10·11),13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·25·26·27·28(전체 잔액 요약 — 모든 분류 cross-reference)
UK_BoP_Table_A_sub1,영국 국제수지 잔액 요약 (부표 1),FNTC,CA,,,"Secondary income, Other sectors",2차소득 - 기타부문,"영국 국제수지 잔액 요약 시트의 한 항목 — 강의 슬라이드 13(복식부기 항등성) + 슬라이드 14(`CA = FA(broad)` 단순화 항등식) 근거. 잔액(net transactions) 표기. 본 항목의 BPM6 표준 정의는 background/note/24~28 분류별 보강 참조. (분류: summary; 원문 라벨: Secondary income, Other sectors)",GBP million,Q,1997,2025Q4,"`x` = 비공개·미가용(unavailable, ONS Notes 11번 명시) / 빈 셀 = 시리즈 시작 이전 또는 자료 없음 / GAF [c]/[x]/[z]/[low] 미사용 / legacy `..`·`-` 미사용",잔액(net) — + 흑자 / − 적자 (강의 슬라이드 10·11),13회차 CDID 사전(영문 column_label) + 21회차 LVL3 코드표 + background/note/24·25·26·27·28(전체 잔액 요약 — 모든 분류 cross-reference)
UK_BoP_Table_A_sub1,영국 국제수지 잔액 요약 (부표 1),IKBP,CA,CA.SI.SI_TOT,,"Secondary income, Total",2차소득 합계,2차소득 합계 — 정부·기타부문의 이전소득 합산(강의 슬라이드 5·14).,GBP million,Q,1997,2025Q4,"`x` = 비공개·미가용(unavailable, ONS Notes 11번 명시) / 빈 셀 = 시리즈 시작 이전 또는 자료 없음 / GAF [c]/[x]/[z]/[low] 미사용 / legacy `..`·`-` 미사용",잔액(net) — + 흑자 / − 적자 (강의 슬라이드 10·11),강의 슬라이드(21·22회차 검증) + 13회차 CDID 사전
