time_period,lqct,ktms,ktmy,ktmp,hmbm,mt5w,hmbp,fjuq,fjur,ktnf,hbog,fkmj
1997,-16191,21304,5113,83,-1387,685,-619,-5977,-117,-6094,-1600,509
1998,-26220,21225,-4995,-10,9999,818,10807,-8934,78,-8856,-3044,-261
1999,-33661,22698,-10963,201,-4466,709,-3556,-7371,-485,-7856,-22375,-258
2000,-40057,26520,-13537,150,2448,440,3038,-9354,-609,-9963,-20462,393
2001,-48808,28839,-19969,66,5549,576,6191,-6045,-673,-6718,-20496,73
2002,-54693,26342,-28351,67,12753,968,13788,-8304,-892,-9196,-23759,-675
2003,-57364,30463,-26901,59,13066,1271,14396,-9672,-906,-10578,-23083,-65
2004,-67522,36739,-30783,-494,10101,1278,10885,-9484,-1331,-10815,-30713,90
2005,-73961,44068,-29893,-610,13982,1143,14515,-11211,-1349,-12560,-27938,-843
2006,-82092,54318,-27774,-958,-5634,812,-5780,-11582,-745,-12327,-45881,-1527
2007,-93400,63399,-30001,-734,-13905,534,-14105,-11954,-1553,-13507,-57613,-250
2008,-95870,68990,-26880,-715,-20679,363,-21031,-11226,-2408,-13634,-61545,71
2009,-88967,69646,-19321,-259,-13507,754,-13012,-12974,-2308,-15282,-47615,59
2010,-99221,74039,-25182,-389,981,115,707,-17045,-2985,-20030,-44505,-909
2011,-104053,90790,-13263,-173,6887,227,6941,-18149,-2759,-20908,-27230,-991
2012,-112178,95481,-16697,-148,-15541,-271,-15960,-18249,-2751,-21000,-53657,-843
2013,-122573,99238,-23335,-326,-30769,-474,-31569,-22677,-3186,-25863,-80767,-1431
2014,-127671,94726,-32945,-469,-32149,-654,-33272,-20818,-3263,-24081,-90298,-2103
2015,-121401,95047,-26354,-90,-40548,-1131,-41769,-20635,-3448,-24083,-92206,-1854
2016,-133698,99288,-34410,-360,-45477,-896,-46733,-20099,-3909,-24008,-105151,-1599
2017,-134926,108873,-26053,-310,-20851,-1242,-22403,-18611,-3808,-22419,-70875,-9765
2018,-133579,107505,-26074,-386,-27736,-1132,-29254,-21833,-3681,-25514,-80842,-2716
2019,-135091,108104,-26987,-457,-647,-1155,-2259,-23220,-3396,-26616,-55862,-1322
2020,-117667,133335,15668,-249,-42406,-2311,-44966,-25034,-3468,-28502,-57800,-3016
2021,-151848,152787,939,-259,381,14,136,-14211,-4424,-18635,-17560,-2238
2022,-195396,167649,-27747,-769,2135,0,1366,-18181,-4885,-23066,-49447,-3405
2023,-192136,159995,-32141,-653,-45295,0,-45948,-15326,-4842,-20168,-98257,-4998
2024,-205022,184008,-21014,-610,-46795,0,-47405,-11796,-5451,-17247,-85666,-4545
2025,-242924,204518,-38406,-552,-18272,0,-18824,-11191,-5284,-16475,-73705,-4832
1997Q1,-3155,5731,2576,-32,-19,261,210,-2235,31,-2204,582,154
1997Q2,-5070,4771,-299,-18,493,153,628,-1322,190,-1132,-803,18
1997Q3,-4559,4887,328,78,152,143,373,-1492,-161,-1653,-952,121
1997Q4,-3407,5915,2508,55,-2013,128,-1830,-928,-177,-1105,-427,216
1998Q1,-5483,5590,107,-12,-996,243,-765,-3036,204,-2832,-3490,-159
1998Q2,-6991,5051,-1940,-23,1491,202,1670,-1298,-117,-1415,-1685,-191
1998Q3,-7425,4355,-3070,28,6148,169,6345,-1767,-26,-1793,1482,39
1998Q4,-6321,6229,-92,-3,3356,204,3557,-2833,17,-2816,649,50
1999Q1,-8943,5363,-3580,-36,-645,253,-428,-2374,-82,-2456,-6464,-102
1999Q2,-8326,5300,-3026,85,-2577,194,-2298,-1483,-23,-1506,-6830,17
1999Q3,-8497,4554,-3943,108,1261,135,1504,-1915,-221,-2136,-4575,-83
1999Q4,-7895,7481,-414,44,-2505,127,-2334,-1599,-159,-1758,-4506,-90
2000Q1,-8905,7100,-1805,-75,1467,184,1576,-2512,123,-2389,-2618,77
2000Q2,-9335,7078,-2257,86,-1100,116,-898,-1864,-211,-2075,-5230,434
2000Q3,-11376,5470,-5906,99,3590,72,3761,-2430,-336,-2766,-4911,18
2000Q4,-10441,6872,-3569,40,-1509,68,-1401,-2548,-185,-2733,-7703,-136
2001Q1,-11539,9051,-2488,-151,3167,114,3130,-2147,5,-2142,-1500,-85
2001Q2,-13302,7459,-5843,76,238,175,489,-2347,-210,-2557,-7911,277
2001Q3,-12658,4948,-7710,104,3653,139,3896,-56,-276,-332,-4146,-78
2001Q4,-11309,7381,-3928,37,-1509,148,-1324,-1495,-192,-1687,-6939,-41
2002Q1,-12509,6847,-5662,-99,4637,218,4756,-2271,-319,-2590,-3496,-109
2002Q2,-13347,5978,-7369,35,-408,253,-120,-2336,-190,-2526,-10015,-309
2002Q3,-13845,5736,-8109,104,5409,245,5758,-1488,-333,-1821,-4172,-241
2002Q4,-14992,7781,-7211,27,3115,252,3394,-2209,-50,-2259,-6076,-16
2003Q1,-13244,7949,-5295,-89,6729,302,6942,-2551,-180,-2731,-1084,-103
2003Q2,-13789,7532,-6257,39,641,354,1034,-2741,-308,-3049,-8272,-140
2003Q3,-15030,5545,-9485,91,4305,313,4709,-2745,-162,-2907,-7683,64
2003Q4,-15301,9437,-5864,18,1391,302,1711,-1635,-256,-1891,-6044,114
2004Q1,-16683,9488,-7195,-105,3688,368,3951,-2689,-403,-3092,-6336,283
2004Q2,-16723,9117,-7606,-114,27,350,263,-2064,-272,-2336,-9679,189
2004Q3,-17372,6884,-10488,-156,2153,309,2306,-2656,-283,-2939,-11121,-240
2004Q4,-16744,11250,-5494,-119,4233,251,4365,-2075,-373,-2448,-3577,-142
2005Q1,-18437,10921,-7516,-128,5453,350,5675,-3973,-349,-4322,-6163,274
2005Q2,-17529,11701,-5828,-117,5138,299,5320,-1990,-94,-2084,-2592,27
2005Q3,-19684,8785,-10899,-183,3759,251,3827,-3201,-494,-3695,-10767,-227
2005Q4,-18311,12661,-5650,-182,-368,243,-307,-2047,-412,-2459,-8416,-917
2006Q1,-20946,12641,-8305,-188,789,290,891,-3646,-356,-4002,-11416,176
2006Q2,-18875,12166,-6709,-251,-1853,155,-1949,-2079,-354,-2433,-11091,-1587
2006Q3,-21825,12811,-9014,-275,-1617,194,-1698,-2821,153,-2668,-13380,-92
2006Q4,-20446,16700,-3746,-244,-2953,173,-3024,-3036,-188,-3224,-9994,-24
2007Q1,-23533,15168,-8365,-187,-2036,237,-1986,-3567,-426,-3993,-14344,-164
2007Q2,-20630,16020,-4610,-150,-3803,138,-3815,-2143,-535,-2678,-11103,-611
2007Q3,-25638,14219,-11419,-223,-3496,76,-3643,-2627,-320,-2947,-18009,28
2007Q4,-23599,17992,-5607,-174,-4570,83,-4661,-3617,-272,-3889,-14157,497
2008Q1,-24617,15336,-9281,-140,1165,117,1142,-4479,-581,-5060,-13199,260
2008Q2,-24291,17281,-7010,-187,-6483,103,-6567,-2353,-670,-3023,-16600,-32
2008Q3,-24030,14262,-9768,-181,-2277,78,-2380,-2425,-750,-3175,-15323,-82
2008Q4,-22932,22111,-821,-207,-13084,65,-13226,-1969,-407,-2376,-16423,-75
2009Q1,-23120,18634,-4486,-28,-5886,132,-5782,-4180,-593,-4773,-15041,106
2009Q2,-21584,17929,-3655,-32,-7136,259,-6909,-3103,-633,-3736,-14300,-153
2009Q3,-22870,13398,-9472,-108,1689,182,1763,-2879,-601,-3480,-11189,114
2009Q4,-21393,19685,-1708,-91,-2174,181,-2084,-2812,-481,-3293,-7085,-8
2010Q1,-22904,17817,-5087,-45,954,199,1108,-5391,-700,-6091,-10070,289
2010Q2,-22349,18766,-3583,-87,-473,34,-526,-2863,-781,-3644,-7753,-141
2010Q3,-26641,15393,-11248,-100,761,-69,592,-3487,-823,-4310,-14966,-650
2010Q4,-27327,22063,-5264,-157,-261,-49,-467,-5304,-681,-5985,-11716,-407
2011Q1,-21481,22103,622,-59,2383,-19,2305,-6411,-529,-6940,-4013,-313
