time_period,_neg_mu7m,_neg_hhzd,_neg_zpnn,_neg_hhyr,_neg_ltcv,_neg_hbnt,hhdh
1997,16808,-19959,-1156,1128,-2380,-5559,-4468
1998,34873,3509,3043,-49134,-164,-7873,-4568
1999,70083,-118411,-2685,18701,-639,-32951,-10318
2000,77620,-118898,-1553,14989,3915,-23927,-3858
2001,14767,118034,-8417,-143121,-3085,-21822,-1399
2002,22765,-73258,-1001,13316,-459,-38637,-14203
2003,29162,-112046,5401,41177,-1559,-37865,-14717
2004,22931,-12901,8166,-34228,196,-15836,14787
2005,-51902,-44222,-5974,70204,656,-31238,-2457
2006,-36018,64785,-20826,-70438,-426,-62923,-15515
2007,79487,-92338,27793,-86504,1191,-70371,-12508
2008,57675,-434771,126329,182228,-1338,-69877,-8403
2009,-38993,-100745,-31944,121732,5763,-44187,3369
2010,-6542,-59779,-50819,50834,6070,-60236,-14822
2011,33321,-157215,7540,79408,4948,-31998,-3777
2012,-21996,181915,-37572,-174357,7642,-44368,10132
2013,-7158,-149787,39519,43657,4961,-68808,13390
2014,-106946,10748,13964,-12367,7113,-87488,4913
2015,-69387,-126009,-87173,156650,21079,-104840,-10780
2016,-219452,-112444,11514,201601,6511,-112270,-5520
2017,35756,-71738,15006,-64993,6799,-79170,1470
2018,-3655,-267824,7739,152255,18566,-92919,-9361
2019,-33062,28849,1937,-68429,-872,-71577,-14393
2020,-109414,30333,25818,-14351,-2582,-70196,-9380
2021,22825,-192277,-27223,144926,17701,-34048,-14250
2022,41409,-35958,-48378,-16209,-1075,-60211,-7359
2023,12054,180691,1020,-275249,-3710,-85194,18061
2024,-46161,-33971,-10586,-1018,-2311,-94047,-3836
2025,7255,-37032,-9827,-56508,9749,-86363,-7826
1997Q1,158,11614,-490,-2491,-1458,7333,6597
1997Q2,270,-10339,70,1314,225,-8460,-7675
1997Q3,15068,-13500,-232,-10650,336,-8978,-8147
1997Q4,1312,-7734,-504,12955,-1483,4546,4757
1998Q1,-2329,16010,-626,-15298,-998,-3241,408
1998Q2,-1116,9919,595,-15286,309,-5579,-3703
1998Q3,9146,2563,1531,-17178,313,-3625,-5146
1998Q4,29172,-24983,1543,-1372,212,4572,3873
1999Q1,-3799,-3062,-1519,1080,-837,-8137,-1571
1999Q2,79713,-103105,441,22525,202,-224,6589
1999Q3,-2384,5270,536,-19803,-759,-17140,-12482
1999Q4,-3447,-17514,-2143,14899,755,-7450,-2854
2000Q1,98541,-91010,491,-1040,-2465,4517,7058
2000Q2,11570,25788,-925,-39267,546,-2288,2508
2000Q3,-37488,-907,-525,33897,1530,-3493,1400
2000Q4,4997,-52769,-594,21399,4304,-22663,-14824
2001Q1,6330,44840,-2332,-50216,-2599,-3977,-2392
2001Q2,2543,33493,1474,-44259,37,-6712,922
2001Q3,5375,19149,-5842,-31911,-498,-13727,-9503
2001Q4,519,20552,-1717,-16735,-25,2594,9574
2002Q1,24074,-27287,-341,-12250,-528,-16332,-12727
2002Q2,9193,16023,-1967,-39141,22,-15870,-5546
2002Q3,7648,-37242,1856,28801,682,1745,6158
2002Q4,-18150,-24752,-549,35906,-635,-8180,-2088
2003Q1,17709,-2572,7677,-12384,-1626,8804,9991
2003Q2,10201,613,-2301,-29992,-647,-22126,-13714
2003Q3,10050,-69918,1348,52802,1303,-4415,3204
2003Q4,-8798,-40169,-1323,30751,-589,-20128,-14198
2004Q1,12076,-33754,6269,15744,-525,-190,5863
2004Q2,4383,-30708,2417,11816,-595,-12687,-3197
2004Q3,12934,28822,8432,-53505,-54,-3371,7990
2004Q4,-6462,22739,-8952,-8283,1370,412,4131
2005Q1,8335,-27245,4483,23274,-533,8314,14203
2005Q2,-10001,964,7026,-16687,527,-18171,-15606
2005Q3,-60049,39622,-12274,13127,376,-19198,-8204
2005Q4,9813,-57563,-5209,50490,286,-2183,7150
2006Q1,-29119,26952,2532,-7906,-465,-8006,3234
2006Q2,-26376,56547,8443,-66192,-210,-27788,-15110
2006Q3,-11348,-46117,-6038,52400,385,-10718,2754
2006Q4,30825,27403,-25763,-48740,-136,-16411,-6393
2007Q1,-678,29280,-1365,-37949,-824,-11536,2972
2007Q2,24834,-14214,19522,-36644,67,-6435,5279
2007Q3,11926,-42516,7608,-488,-558,-24028,-6047
2007Q4,43405,-64888,2028,-11423,2506,-28372,-14712
2008Q1,-8003,-97402,64442,23740,-931,-18154,-5215
2008Q2,19401,-90342,18285,42505,108,-10043,6589
2008Q3,24564,-53823,-14141,34550,-2132,-10982,4423
2008Q4,21713,-193204,57743,81433,1617,-30698,-14200
2009Q1,-1119,-12605,9545,-3956,-1877,-10012,4923
2009Q2,-7441,-33067,-7376,39847,1304,-6733,7720
2009Q3,-17728,-31386,-10393,29619,6787,-23101,-12026
2009Q4,-12705,-23687,-23720,56222,-451,-4341,2752
2010Q1,-13213,-97499,-24042,110705,1323,-22726,-12945
2010Q2,25295,-4151,-14995,-2650,2862,6361,14255
2010Q3,-6753,32920,-8577,-35470,676,-17204,-1588
2010Q4,-11871,8951,-3205,-21751,1209,-26667,-14544
2011Q1,18964,-58411,44652,27,2300,7532,11858
2011Q2,13094,10761,944,-42782,2450,-15533,-11931
2011Q3,6028,-82361,-15197,86464,-959,-6025,7444
2011Q4,-4765,-27204,-22859,35699,1157,-17972,-11148
2012Q1,-8921,56317,-24979,-31553,612,-8524,490
2012Q2,-1363,-16487,-19653,35003,2730,230,15206
2012Q3,-1647,128918,4789,-156109,2493,-21556,-5533
2012Q4,-10065,13167,2271,-21698,1807,-14518,-31
2013Q1,6356,-26700,39669,-33053,2828,-10900,9847
2013Q2,-39087,-44304,61224,19262,874,-2031,13478
2013Q3,-9084,-24998,-72732,67759,766,-38289,-13628
2013Q4,34657,-53785,11358,-10311,493,-17588,3693
2014Q1,-139683,71133,27643,5686,2709,-32512,-13714
2014Q2,23696,-3051,-13607,-11774,825,-3911,12405
2014Q3,42439,-34227,-27769,5443,-665,-14779,13818
2014Q4,-33398,-23107,27697,-11722,4244,-36286,-7596
2015Q1,-55251,8224,-100913,120642,12638,-14660,11828
2015Q2,-4053,-103226,9578,71257,1101,-25343,-12228
2015Q3,-4451,-34181,6415,-8709,5260,-35666,-8241
2015Q4,-5632,3174,-2253,-26540,2080,-29171,-2139
2016Q1,-66758,3864,23188,13658,2328,-23720,4199
2016Q2,-23374,-87304,-19512,118457,2791,-8942,15760
2016Q3,-31246,-61207,13062,24733,2596,-52062,-11714
2016Q4,-98074,32203,-5224,44753,-1204,-27546,-13765
2017Q1,-3644,11371,9802,-50164,4054,-28581,-13930
2017Q2,9875,12934,6759,-43812,1760,-12484,8432
2017Q3,34371,-44219,6518,-23113,15,-26428,6367
2017Q4,-4846,-51824,-8073,52096,970,-11677,601
2018Q1,-8355,-54280,20634,29594,3488,-8919,10631
2018Q2,22692,-104963,-11435,60249,2017,-31440,-13407
2018Q3,17947,-52391,14092,4638,-28,-15742,8308
2018Q4,-35939,-56190,-15552,57774,13089,-36818,-14893
2019Q1,16790,83286,-5037,-120517,-6270,-31748,-4295
2019Q2,-21234,24130,-5464,-15228,-4616,-22412,-9061
2019Q3,-17931,-61870,22101,42096,-247,-15851,3858
2019Q4,-10687,-16697,-9663,25220,10261,-1566,-4895
2020Q1,-47115,-62089,9051,86075,-3259,-17337,-8045
2020Q2,-21145,43517,4711,-28159,502,-574,8600
2020Q3,657,8421,13439,-28690,-5817,-11990,1817
2020Q4,-41811,40484,-1383,-43577,5992,-40295,-11752
2021Q1,-5780,-51837,-368,51988,-1580,-7577,-4344
2021Q2,-15193,-4111,-18195,39677,-2930,-752,-5512
2021Q3,35272,-52760,-2647,-18257,20555,-17837,1444
2021Q4,8526,-83569,-6013,71518,1656,-7882,-5838
2022Q1,13804,-41066,4948,-13934,769,-35479,3031
2022Q2,-261,-18915,-9690,10580,-4761,-23047,-5962
2022Q3,-3038,-22457,-22333,40814,-5038,-12052,-7140
2022Q4,30904,46480,-21303,-53669,7955,10367,2712
2023Q1,-21858,73978,14029,-83689,-5888,-23428,-1396
2023Q2,10158,80127,26943,-145696,2341,-26127,11755
2023Q3,30860,-32124,-25349,12811,284,-13518,9433
2023Q4,-7106,58710,-14603,-58675,-447,-22121,-1731
