time_period,bokg,ikbb,ikbh,ijah,hbok,mt5t,hboh,fhdm,fhib,ikbn,hbon
1997,169336,76232,245568,1007,96343,3067,100417,660,11130,11790,357775
1998,163621,80275,243896,840,107528,2936,111304,390,10530,10920,366120
1999,166082,87336,253418,960,105118,2779,108857,371,10085,10456,372731
2000,186586,95750,282336,1032,136143,2570,139745,381,11516,11897,433978
2001,190496,102309,292805,1087,140835,2676,144598,431,13011,13442,450845
2002,187295,104575,291870,1121,125314,2912,129347,564,12503,13067,434284
2003,187731,114874,302605,1116,128044,3226,132386,408,14200,14608,449599
2004,190916,127393,318309,931,143979,3448,148358,707,14341,15048,481715
2005,212634,141083,353717,974,195926,3411,200311,730,18905,19635,573663
2006,246510,158674,405184,938,252879,3217,257034,901,20073,20974,683192
2007,222942,171321,394263,984,315260,2949,319193,885,15995,16880,730336
2008,252811,185867,438678,1046,297479,3052,301577,867,20965,21832,762087
2009,228120,188356,416476,1176,179431,3409,184016,891,19975,20866,621358
2010,265947,198548,464495,1097,177064,3060,181221,809,19074,19883,665599
2011,302392,219715,522107,1121,203382,3164,207667,404,20290,20694,750468
2012,298517,226596,525113,1124,173059,2627,176810,630,22021,22651,724574
2013,300267,240169,540436,1094,160615,2452,164161,651,25062,25713,730310
2014,291549,243445,534994,1083,145246,2306,148635,696,25469,26165,709794
2015,284070,253443,537513,1295,133833,1956,137084,609,24576,25185,699782
2016,305929,276684,582613,1375,136475,2431,140281,911,27463,28374,751268
2017,345549,304041,649590,1323,186632,2185,190140,1029,27361,28390,868120
2018,365199,326541,691740,1262,215580,2203,219045,760,33622,34382,945167
2019,379230,339529,718759,1336,224908,2188,228432,919,26488,27407,974598
2020,325078,311247,636325,568,135935,585,137088,433,25906,26339,799752
2021,343570,336721,680291,543,206409,14,206966,382,26881,27263,914520
2022,449917,429204,879121,1245,309884,0,311129,758,28916,29674,1219924
2023,417331,460947,878278,1626,411755,0,413381,851,28438,29289,1320948
2024,391540,506431,897971,1784,417576,0,419360,2435,28338,30773,1348104
2025,384446,545659,930105,2053,416753,0,418806,1220,30163,31383,1380294
1997Q1,42570,18509,61079,233,23411,817,24461,125,2753,2878,88418
1997Q2,42536,18458,60994,220,23953,748,24921,195,2864,3059,88974
1997Q3,41377,19756,61133,286,24480,749,25515,203,2712,2915,89563
1997Q4,42853,19509,62362,268,24499,753,25520,137,2801,2938,90820
1998Q1,41971,19475,61446,293,25081,750,26124,99,2790,2889,90459
1998Q2,41215,19801,61016,161,26654,729,27544,98,2434,2532,91092
1998Q3,40254,20073,60327,171,28463,729,29363,91,2576,2667,92357
1998Q4,40181,20926,61107,215,27330,728,28273,102,2730,2832,92212
1999Q1,39347,20783,60130,222,24731,728,25681,96,2404,2500,88311
1999Q2,40313,21615,61928,248,25879,684,26811,86,2837,2923,91662
1999Q3,42936,21504,64440,250,26266,684,27200,91,2408,2499,94139
1999Q4,43486,23434,66920,240,28242,683,29165,98,2436,2534,98619
2000Q1,44775,23052,67827,247,30858,684,31789,96,2974,3070,102686
2000Q2,46044,24285,70329,265,33312,629,34206,86,2658,2744,107279
2000Q3,46546,24308,70854,263,35022,629,35914,94,3138,3232,110000
2000Q4,49221,24105,73326,257,36951,628,37836,105,2746,2851,114013
2001Q1,50256,26655,76911,252,39978,630,40860,122,3375,3497,121268
2001Q2,48073,26065,74138,275,35796,683,36754,97,3168,3265,114157
