time_period,bokh,ikbc,ikbi,ijai,hbol,mt5v,hboi,flud,fluz,ikbo,hboo
1997,185527,54928,240455,924,97730,2382,101036,6637,11247,17884,359375
1998,189841,59050,248891,850,97529,2118,100497,9324,10452,19776,369164
1999,199743,64638,264381,759,109584,2070,112413,7742,10570,18312,395106
2000,226643,69230,295873,882,133695,2130,136707,9735,12125,21860,454440
2001,239304,73470,312774,1021,135286,2100,138407,6476,13684,20160,471341
2002,241988,78233,320221,1054,112561,1944,115559,8868,13395,22263,458043
2003,245095,84411,329506,1057,114978,1955,117990,10080,15106,25186,472682
2004,258438,90654,349092,1425,133878,2170,137473,10191,15672,25863,512428
2005,286595,97015,383610,1584,181944,2268,185796,11941,20254,32195,601601
2006,328602,104356,432958,1896,258513,2405,262814,12483,20818,33301,729073
2007,316342,107922,424264,1718,329165,2415,333298,12839,17548,30387,787949
2008,348681,116877,465558,1761,318158,2689,322608,12093,23373,35466,823632
2009,317087,118710,435797,1435,192938,2655,197028,13865,22283,36148,668973
2010,365168,124509,489677,1486,176083,2945,180514,17854,22059,39913,710104
2011,406445,128925,535370,1294,196495,2937,200726,18553,23049,41602,777698
2012,410695,131115,541810,1272,188600,2898,192770,18879,24772,43651,778231
2013,422840,140931,563771,1420,191384,2926,195730,23328,28248,51576,811077
2014,419220,148719,567939,1552,177395,2960,181907,21514,28732,50246,800092
2015,405471,158396,563867,1385,174381,3087,178853,21244,28024,49268,791988
2016,439627,177396,617023,1735,181952,3327,187014,21010,31372,52382,856419
2017,480475,195168,675643,1633,207483,3427,212543,19640,31169,50809,938995
2018,498778,219036,717814,1648,243316,3335,248299,22593,37303,59896,1026009
2019,514321,231425,745746,1793,225555,3343,230691,24139,29884,54023,1030460
2020,442745,177912,620657,817,178341,2896,182054,25467,29374,54841,857552
2021,495418,183934,679352,802,206028,0,206830,14593,31305,45898,932080
2022,645313,261555,906868,2014,307749,0,309763,18939,33801,52740,1269371
2023,609467,300952,910419,2279,457050,0,459329,16177,33280,49457,1419205
2024,596562,322423,918985,2394,464371,0,466765,14231,33789,48020,1433770
2025,627370,341141,968511,2605,435025,0,437630,12411,35447,47858,1453999
1997Q1,45647,13292,58939,177,23460,593,24230,1935,2752,4687,87856
1997Q2,47202,13567,60769,233,23893,609,24735,1890,2677,4567,90071
1997Q3,45571,14117,59688,282,24748,577,25607,1691,2845,4536,89831
1997Q4,47107,13952,61059,232,25629,603,26464,1121,2973,4094,91617
1998Q1,47329,14415,61744,203,25971,544,26718,2585,2619,5204,93666
1998Q2,47800,14601,62401,201,25739,542,26482,1754,2547,4301,93184
1998Q3,47356,14901,62257,203,23004,531,23738,1904,2580,4484,90479
1998Q4,47356,15133,62489,243,22815,501,23559,3081,2706,5787,91835
1999Q1,48125,16087,64212,183,26076,511,26770,2251,2513,4764,95746
1999Q2,48416,16228,64644,169,27068,504,27741,1817,2857,4674,97059
1999Q3,51221,15840,67061,201,28135,521,28857,1899,2607,4506,100424
1999Q4,51981,16483,68464,206,28305,534,29045,1775,2593,4368,101877
2000Q1,53413,16563,69976,233,31254,535,32022,2139,2883,5022,107020
2000Q2,55361,17083,72444,190,33475,527,34192,2190,2864,5054,111690
2000Q3,57915,17578,75493,229,33743,531,34503,2544,3451,5995,115991
2000Q4,59954,18006,77960,230,35223,537,35990,2862,2927,5789,119739
2001Q1,61473,18199,79672,315,38374,551,39240,1939,3402,5341,124253
2001Q2,61129,18591,79720,213,33548,521,34282,2742,3372,6114,120116
2001Q3,58890,18584,77474,246,33599,518,34363,-27,3380,3353,115190
2001Q4,57812,18096,75908,247,29765,510,30522,1822,3530,5352,111782
2002Q1,59614,18757,78371,270,28346,503,29119,1967,3430,5397,112887
2002Q2,62224,19439,81663,261,29247,502,30010,2711,3326,6037,117710
2002Q3,60413,19828,80241,261,28330,475,29066,1513,3310,4823,114130
2002Q4,59737,20209,79946,262,26638,464,27364,2677,3329,6006,113316
2003Q1,61333,20749,82082,257,27733,480,28470,2071,3724,5795,116347
2003Q2,60190,20887,81077,257,28921,483,29661,3108,3765,6873,117611
2003Q3,60595,21694,82289,270,30205,493,30968,2816,3746,6562,119819
2003Q4,62977,21081,84058,273,28119,499,28891,2085,3871,5956,118905
2004Q1,62036,21681,83717,318,30872,501,31691,2130,3798,5928,121336
2004Q2,63578,22321,85899,357,30981,532,31870,2541,4153,6694,124463
2004Q3,65411,22976,88387,355,35270,542,36167,2862,3582,6444,130998
2004Q4,67413,23676,91089,395,36755,595,37745,2658,4139,6797,135631
2005Q1,67107,23849,90956,351,39060,562,39973,3242,4682,7924,138853
2005Q2,69960,24163,94123,396,42391,558,43345,2458,4793,7251,144719
2005Q3,73624,24179,97803,391,48058,575,49024,3602,5398,9000,155827
2005Q4,75904,24824,100728,446,52435,573,53454,2639,5381,8020,162202
2006Q1,86896,26222,113118,407,57393,588,58388,3062,4674,7736,179242
2006Q2,89358,26068,115426,496,61032,658,62186,2595,4898,7493,185105
2006Q3,77074,25592,102666,489,68606,569,69664,3148,5799,8947,181277
2006Q4,75274,26474,101748,504,71482,590,72576,3678,5447,9125,183449
2007Q1,76684,26068,102752,422,74825,586,75833,2813,4161,6974,185559
2007Q2,76798,26911,103709,402,80537,606,81545,2695,4263,6958,192212
2007Q3,80742,27085,107827,447,86321,613,87381,3106,4379,7485,202693
2007Q4,82118,27858,109976,447,87482,610,88539,4225,4745,8970,207485
2008Q1,84923,29717,114640,401,82707,633,83741,3630,5771,9401,207782
