time_period,boki,ikbd,ikbj,ijaj,hbom,mt5x,hboj,fnsv,fntc,ikbp,hbop
1997,-16191,21304,5113,83,-1387,685,-619,-5977,-117,-6094,-1600
1998,-26220,21225,-4995,-10,9999,818,10807,-8934,78,-8856,-3044
1999,-33661,22698,-10963,201,-4466,709,-3556,-7371,-485,-7856,-22375
2000,-40057,26520,-13537,150,2448,440,3038,-9354,-609,-9963,-20462
2001,-48808,28839,-19969,66,5549,576,6191,-6045,-673,-6718,-20496
2002,-54693,26342,-28351,67,12753,968,13788,-8304,-892,-9196,-23759
2003,-57364,30463,-26901,59,13066,1271,14396,-9672,-906,-10578,-23083
2004,-67522,36739,-30783,-494,10101,1278,10885,-9484,-1331,-10815,-30713
2005,-73961,44068,-29893,-610,13982,1143,14515,-11211,-1349,-12560,-27938
2006,-82092,54318,-27774,-958,-5634,812,-5780,-11582,-745,-12327,-45881
2007,-93400,63399,-30001,-734,-13905,534,-14105,-11954,-1553,-13507,-57613
2008,-95870,68990,-26880,-715,-20679,363,-21031,-11226,-2408,-13634,-61545
2009,-88967,69646,-19321,-259,-13507,754,-13012,-12974,-2308,-15282,-47615
2010,-99221,74039,-25182,-389,981,115,707,-17045,-2985,-20030,-44505
2011,-104053,90790,-13263,-173,6887,227,6941,-18149,-2759,-20908,-27230
2012,-112178,95481,-16697,-148,-15541,-271,-15960,-18249,-2751,-21000,-53657
2013,-122573,99238,-23335,-326,-30769,-474,-31569,-22677,-3186,-25863,-80767
2014,-127671,94726,-32945,-469,-32149,-654,-33272,-20818,-3263,-24081,-90298
2015,-121401,95047,-26354,-90,-40548,-1131,-41769,-20635,-3448,-24083,-92206
2016,-133698,99288,-34410,-360,-45477,-896,-46733,-20099,-3909,-24008,-105151
2017,-134926,108873,-26053,-310,-20851,-1242,-22403,-18611,-3808,-22419,-70875
2018,-133579,107505,-26074,-386,-27736,-1132,-29254,-21833,-3681,-25514,-80842
2019,-135091,108104,-26987,-457,-647,-1155,-2259,-23220,-3396,-26616,-55862
2020,-117667,133335,15668,-249,-42406,-2311,-44966,-25034,-3468,-28502,-57800
2021,-151848,152787,939,-259,381,14,136,-14211,-4424,-18635,-17560
2022,-195396,167649,-27747,-769,2135,0,1366,-18181,-4885,-23066,-49447
2023,-192136,159995,-32141,-653,-45295,0,-45948,-15326,-4842,-20168,-98257
2024,-205022,184008,-21014,-610,-46795,0,-47405,-11796,-5451,-17247,-85666
2025,-242924,204518,-38406,-552,-18272,0,-18824,-11191,-5284,-16475,-73705
1997Q1,-3077,5217,2140,56,-49,224,231,-1810,1,-1809,562
1997Q2,-4666,4891,225,-13,60,139,186,-1695,187,-1508,-1097
1997Q3,-4194,5639,1445,4,-268,172,-92,-1488,-133,-1621,-268
1997Q4,-4254,5557,1303,36,-1130,150,-944,-984,-172,-1156,-797
1998Q1,-5358,5060,-298,90,-890,206,-594,-2486,171,-2315,-3207
1998Q2,-6585,5200,-1385,-40,915,187,1062,-1656,-113,-1769,-2092
1998Q3,-7102,5172,-1930,-32,5459,198,5625,-1813,-4,-1817,1878
1998Q4,-7175,5793,-1382,-28,4515,227,4714,-2979,24,-2955,377
1999Q1,-8778,4696,-4082,39,-1345,217,-1089,-2155,-109,-2264,-7435
1999Q2,-8103,5387,-2716,79,-1189,180,-930,-1731,-20,-1751,-5397
1999Q3,-8285,5664,-2621,49,-1869,163,-1657,-1808,-199,-2007,-6285
1999Q4,-8495,6951,-1544,34,-63,149,120,-1677,-157,-1834,-3258
2000Q1,-8638,6489,-2149,14,-396,149,-233,-2043,91,-1952,-4334
2000Q2,-9317,7202,-2115,75,-163,102,14,-2104,-206,-2310,-4411
2000Q3,-11369,6730,-4639,34,1279,98,1411,-2450,-313,-2763,-5991
2000Q4,-10733,6099,-4634,27,1728,91,1846,-2757,-181,-2938,-5726
2001Q1,-11217,8456,-2761,-63,1604,79,1620,-1817,-27,-1844,-2985
2001Q2,-13056,7474,-5582,62,2248,162,2472,-2645,-204,-2849,-5959
2001Q3,-12591,6362,-6229,42,-62,164,144,131,-252,-121,-6206
2001Q4,-11944,6547,-5397,25,1759,171,1955,-1714,-190,-1904,-5346
2002Q1,-12495,6201,-6294,-18,2787,182,2951,-1829,-349,-2178,-5521
2002Q2,-13038,5992,-7046,18,1439,241,1698,-2570,-184,-2754,-8102
2002Q3,-13679,7379,-6300,49,2947,268,3264,-1370,-311,-1681,-4717
2002Q4,-15481,6770,-8711,18,5580,277,5875,-2535,-48,-2583,-5419
2003Q1,-13202,7339,-5863,-23,4868,263,5108,-1969,-205,-2174,-2929
2003Q2,-13847,7521,-6326,24,2771,345,3140,-3008,-302,-3310,-6496
2003Q3,-14634,7420,-7214,54,886,335,1275,-2712,-147,-2859,-8798
2003Q4,-15681,8183,-7498,4,4541,328,4873,-1983,-252,-2235,-4860
2004Q1,-16425,9000,-7425,-46,1795,329,2078,-1968,-422,-2390,-7737
2004Q2,-16988,8960,-8028,-135,2331,341,2537,-2365,-265,-2630,-8121
2004Q3,-17104,8562,-8542,-172,514,331,673,-2684,-278,-2962,-10831
2004Q4,-17005,10217,-6788,-141,5461,277,5597,-2467,-366,-2833,-4024
2005Q1,-18404,9894,-8510,-89,4628,311,4850,-3066,-361,-3427,-7087
2005Q2,-17549,10976,-6573,-138,6588,290,6740,-2274,-87,-2361,-2194
2005Q3,-19142,11363,-7779,-184,1978,273,2067,-3423,-495,-3918,-9630
2005Q4,-18866,11835,-7031,-199,788,269,858,-2448,-406,-2854,-9027
2006Q1,-20882,11523,-9359,-165,-46,253,42,-2856,-363,-3219,-12536
2006Q2,-18935,11850,-7085,-268,-314,135,-447,-2392,-348,-2740,-10272
2006Q3,-21435,15496,-5939,-266,-3566,224,-3608,-2922,148,-2774,-12321
2006Q4,-20840,15449,-5391,-259,-1708,200,-1767,-3412,-182,-3594,-10752
2007Q1,-23185,14542,-8643,-174,-3358,204,-3328,-2614,-429,-3043,-15014
2007Q2,-21107,15590,-5517,-164,-2150,114,-2200,-2528,-530,-3058,-10775
2007Q3,-25210,16841,-8369,-208,-5572,107,-5673,-2799,-327,-3126,-17168
2007Q4,-23898,16426,-7472,-188,-2825,109,-2904,-4013,-267,-4280,-14656
2008Q1,-24029,14472,-9557,-135,-571,87,-619,-3438,-581,-4019,-14195
2008Q2,-25078,16850,-8228,-199,-4639,75,-4763,-2990,-666,-3656,-16647
2008Q3,-23730,17230,-6500,-165,-4372,112,-4425,-2785,-757,-3542,-14467
2008Q4,-23033,20438,-2595,-216,-11097,89,-11224,-2013,-404,-2417,-16236
2009Q1,-22856,18028,-4828,-25,-7068,109,-6984,-3158,-592,-3750,-15562
2009Q2,-22212,17613,-4599,-41,-6000,223,-5818,-3780,-631,-4411,-14828
2009Q3,-22242,16400,-5842,-95,714,219,838,-3192,-606,-3798,-8802
2009Q4,-21657,17605,-4052,-98,-1153,203,-1048,-2844,-479,-3323,-8423
2010Q1,-22475,17164,-5311,-40,8,178,146,-3856,-700,-4556,-9721
2010Q2,-23555,18314,-5241,-96,549,-7,446,-3525,-780,-4305,-9100
2010Q3,-26431,18614,-7817,-89,-412,-27,-528,-4098,-825,-4923,-13268
2010Q4,-26760,19947,-6813,-164,836,-29,643,-5566,-680,-6246,-12416
2011Q1,-20881,21271,390,-48,1788,-38,1702,-4861,-533,-5394,-3302
2011Q2,-28317,22810,-5507,-66,4794,81,4809,-3633,-837,-4470,-5168
2011Q3,-29550,24396,-5154,-7,-546,104,-449,-5093,-559,-5652,-11255
2011Q4,-25305,22313,-2992,-52,851,80,879,-4562,-830,-5392,-7505
2012Q1,-24837,24838,1,-13,-2540,79,-2474,-4573,-615,-5188,-7661
2012Q2,-30807,23038,-7769,-27,-3510,-125,-3662,-4155,-613,-4768,-16199
2012Q3,-28483,24242,-4241,-42,-3281,-124,-3447,-4468,-724,-5192,-12880
2012Q4,-28051,23363,-4688,-66,-6210,-101,-6377,-5053,-799,-5852,-16917
2013Q1,-27979,25934,-2045,-94,-10681,-100,-10875,-5518,-888,-6406,-19326
2013Q2,-31820,25274,-6546,-65,-4459,-112,-4636,-5737,-738,-6475,-17657
2013Q3,-29994,24929,-5065,-80,-7810,-144,-8034,-6063,-771,-6834,-19933
2013Q4,-32780,23101,-9679,-87,-7819,-118,-8024,-5359,-789,-6148,-23851
2014Q1,-29782,23269,-6513,-75,-5701,-84,-5860,-4927,-900,-5827,-18200
2014Q2,-28558,23483,-5075,-94,-6590,-187,-6871,-5638,-672,-6310,-18256
2014Q3,-32374,24638,-7736,-133,-9370,-174,-9677,-3806,-854,-4660,-22073
2014Q4,-36957,23336,-13621,-167,-10488,-209,-10864,-6447,-837,-7284,-31769
2015Q1,-34099,24131,-9968,-70,-9720,-229,-10019,-4931,-858,-5789,-25776
2015Q2,-27131,24450,-2681,-87,-5193,-312,-5592,-5006,-942,-5948,-14221
2015Q3,-29530,22368,-7162,137,-8258,-295,-8416,-4121,-714,-4835,-20413
2015Q4,-30641,24098,-6543,-70,-17377,-295,-17742,-6577,-934,-7511,-31796
2016Q1,-31661,24282,-7379,15,-14489,-330,-14804,-4813,-974,-5787,-27970
2016Q2,-30858,25375,-5483,-62,-13771,-158,-13991,-4632,-1053,-5685,-25159
2016Q3,-38908,22976,-15932,-140,-9966,-189,-10295,-5633,-847,-6480,-32707
