time_period,fut2,ikbc,fut3,ijai,hbol,mt5v,hboi,flud,fluz,ikbo,fut4
1997,185435,54928,240363,924,97730,2382,101036,6637,11247,17884,359283
1998,189749,59050,248799,850,97529,2118,100497,9324,10452,19776,369072
1999,199453,64638,264091,759,109584,2070,112413,7742,10570,18312,394816
2000,226636,69230,295866,882,133695,2130,136707,9735,12125,21860,454433
2001,238949,73470,312419,1021,135286,2100,138407,6476,13684,20160,470986
2002,241014,78233,319247,1054,112561,1944,115559,8868,13395,22263,457069
2003,243986,84411,328397,1057,114978,1955,117990,10080,15106,25186,471573
2004,258275,90654,348929,1425,133878,2170,137473,10191,15672,25863,512265
2005,286172,97015,383187,1584,181944,2268,185796,11941,20254,32195,601178
2006,327417,104356,431773,1896,258513,2405,262814,12483,20818,33301,727888
2007,315841,107922,423763,1718,329165,2415,333298,12839,17548,30387,787448
2008,347823,116877,464700,1761,318158,2689,322608,12093,23373,35466,822774
2009,315192,118710,433902,1435,192938,2655,197028,13865,22283,36148,667078
2010,364327,124509,488836,1486,176083,2945,180514,17854,22059,39913,709263
2011,405210,128925,534135,1294,196495,2937,200726,18553,23049,41602,776463
2012,409991,131115,541106,1272,188600,2898,192770,18879,24772,43651,777527
2013,414066,140931,554997,1420,191384,2926,195730,23328,28248,51576,802303
2014,409167,148719,557886,1552,177395,2960,181907,21514,28732,50246,790039
2015,400550,158396,558946,1385,174381,3087,178853,21244,28024,49268,787067
2016,433780,177396,611176,1735,181952,3327,187014,21010,31372,52382,850572
2017,476118,195168,671286,1633,207483,3427,212543,19640,31169,50809,934638
2018,490904,219036,709940,1648,243316,3335,248299,22593,37303,59896,1018135
2019,496277,231425,727702,1793,225555,3343,230691,24139,29884,54023,1012416
2020,431338,177912,609250,817,178341,2896,182054,25467,29374,54841,846145
2021,482550,183934,666484,802,206028,0,206830,14593,31305,45898,919212
2022,631570,261555,893125,2014,307749,0,309763,18939,33801,52740,1255628
2023,607628,300952,908580,2279,457050,0,459329,16177,33280,49457,1417366
2024,587007,322423,909430,2394,464371,0,466765,14231,33789,48020,1424215
2025,602876,341141,944017,2605,435025,0,437630,12411,35447,47858,1429505
1997Q1,45623,13292,58915,177,23460,593,24230,1935,2752,4687,87832
1997Q2,47178,13567,60745,233,23893,609,24735,1890,2677,4567,90047
1997Q3,45547,14117,59664,282,24748,577,25607,1691,2845,4536,89807
1997Q4,47087,13952,61039,232,25629,603,26464,1121,2973,4094,91597
1998Q1,47305,14415,61720,203,25971,544,26718,2585,2619,5204,93642
1998Q2,47776,14601,62377,201,25739,542,26482,1754,2547,4301,93160
1998Q3,47332,14901,62233,203,23004,531,23738,1904,2580,4484,90455
1998Q4,47336,15133,62469,243,22815,501,23559,3081,2706,5787,91815
1999Q1,48081,16087,64168,183,26076,511,26770,2251,2513,4764,95702
1999Q2,48416,16228,64644,169,27068,504,27741,1817,2857,4674,97059
1999Q3,51154,15840,66994,201,28135,521,28857,1899,2607,4506,100357
1999Q4,51802,16483,68285,206,28305,534,29045,1775,2593,4368,101698
2000Q1,53413,16563,69976,233,31254,535,32022,2139,2883,5022,107020
2000Q2,55360,17083,72443,190,33475,527,34192,2190,2864,5054,111689
2000Q3,57909,17578,75487,229,33743,531,34503,2544,3451,5995,115985
2000Q4,59954,18006,77960,230,35223,537,35990,2862,2927,5789,119739
2001Q1,61473,18199,79672,315,38374,551,39240,1939,3402,5341,124253
2001Q2,60964,18591,79555,213,33548,521,34282,2742,3372,6114,119951
2001Q3,58705,18584,77289,246,33599,518,34363,-27,3380,3353,115005
2001Q4,57807,18096,75903,247,29765,510,30522,1822,3530,5352,111777
2002Q1,59507,18757,78264,270,28346,503,29119,1967,3430,5397,112780
2002Q2,61736,19439,81175,261,29247,502,30010,2711,3326,6037,117222
2002Q3,60259,19828,80087,261,28330,475,29066,1513,3310,4823,113976
2002Q4,59512,20209,79721,262,26638,464,27364,2677,3329,6006,113091
2003Q1,61211,20749,81960,257,27733,480,28470,2071,3724,5795,116225
2003Q2,59906,20887,80793,257,28921,483,29661,3108,3765,6873,117327
2003Q3,60350,21694,82044,270,30205,493,30968,2816,3746,6562,119574
2003Q4,62519,21081,83600,273,28119,499,28891,2085,3871,5956,118447
2004Q1,62004,21681,83685,318,30872,501,31691,2130,3798,5928,121304
2004Q2,63578,22321,85899,357,30981,532,31870,2541,4153,6694,124463
2004Q3,65280,22976,88256,355,35270,542,36167,2862,3582,6444,130867
2004Q4,67413,23676,91089,395,36755,595,37745,2658,4139,6797,135631
2005Q1,66921,23849,90770,351,39060,562,39973,3242,4682,7924,138667
2005Q2,69942,24163,94105,396,42391,558,43345,2458,4793,7251,144701
2005Q3,73560,24179,97739,391,48058,575,49024,3602,5398,9000,155763
2005Q4,75749,24824,100573,446,52435,573,53454,2639,5381,8020,162047
2006Q1,86380,26222,112602,407,57393,588,58388,3062,4674,7736,178726
2006Q2,88833,26068,114901,496,61032,658,62186,2595,4898,7493,184580
2006Q3,76930,25592,102522,489,68606,569,69664,3148,5799,8947,181133
2006Q4,75274,26474,101748,504,71482,590,72576,3678,5447,9125,183449
2007Q1,76499,26068,102567,422,74825,586,75833,2813,4161,6974,185374
2007Q2,76798,26911,103709,402,80537,606,81545,2695,4263,6958,192212
2007Q3,80426,27085,107511,447,86321,613,87381,3106,4379,7485,202377
2007Q4,82118,27858,109976,447,87482,610,88539,4225,4745,8970,207485
2008Q1,84538,29717,114255,401,82707,633,83741,3630,5771,9401,207397
2008Q2,90401,28516,118917,466,81800,703,82969,3221,5834,9055,210941
2008Q3,90301,29267,119568,420,78172,666,79258,2992,5657,8649,207475
2008Q4,82583,29377,111960,474,75479,687,76640,2250,6111,8361,196961
2009Q1,77750,29918,107668,350,57406,667,58423,3304,5396,8700,174791
2009Q2,76528,29512,106040,349,48507,655,49511,4027,5577,9604,165155
2009Q3,78405,29498,107903,356,42898,659,43913,3387,5629,9016,160832
2009Q4,82509,29782,112291,380,44127,674,45181,3147,5681,8828,166300
2010Q1,85367,30574,115941,328,43014,699,44041,3889,5074,8963,168945
2010Q2,90237,31026,121263,359,42842,735,43936,3698,5430,9128,174327
2010Q3,92659,31386,124045,377,44501,755,45633,4430,5659,10089,179767
2010Q4,96064,31523,127587,422,45726,756,46904,5837,5896,11733,186224
2011Q1,97493,31074,128567,313,47333,764,48410,4783,5989,10772,187749
2011Q2,102822,32120,134942,321,49268,732,50321,3800,5633,9433,194696
2011Q3,102467,32606,135073,316,51377,709,52402,5250,5772,11022,198497
2011Q4,102428,33125,135553,344,48517,732,49593,4720,5655,10375,195521
2012Q1,103358,32774,136132,286,49260,734,50280,4766,6134,10900,197312
2012Q2,103069,33409,136478,329,49027,730,50086,4286,6066,10352,196916
2012Q3,102779,32654,135433,316,46688,729,47733,4592,6176,10768,193934
2012Q4,100785,32278,133063,341,43625,705,44671,5235,6396,11631,189365
2013Q1,102064,34709,136773,348,50074,702,51124,5675,6772,12447,200344
