time_period,fut5,ikbd,fut6,ijaj,hbom,mt5x,hboj,fnsv,fntc,ikbp,fut7
1997,-16099,21304,5205,83,-1387,685,-619,-5977,-117,-6094,-1508
1998,-26128,21225,-4903,-10,9999,818,10807,-8934,78,-8856,-2952
1999,-33599,22698,-10901,201,-4466,709,-3556,-7371,-485,-7856,-22313
2000,-40370,26520,-13850,150,2448,440,3038,-9354,-609,-9963,-20775
2001,-48580,28839,-19741,66,5549,576,6191,-6045,-673,-6718,-20268
2002,-53725,26342,-27383,67,12753,968,13788,-8304,-892,-9196,-22791
2003,-56263,30463,-25800,59,13066,1271,14396,-9672,-906,-10578,-21982
2004,-68010,36739,-31271,-494,10101,1278,10885,-9484,-1331,-10815,-31201
2005,-73747,44068,-29679,-610,13982,1143,14515,-11211,-1349,-12560,-27724
2006,-81390,54318,-27072,-958,-5634,812,-5780,-11582,-745,-12327,-45179
2007,-94574,63399,-31175,-734,-13905,534,-14105,-11954,-1553,-13507,-58787
2008,-96812,68990,-27822,-715,-20679,363,-21031,-11226,-2408,-13634,-62487
2009,-87384,69646,-17738,-259,-13507,754,-13012,-12974,-2308,-15282,-46032
2010,-99398,74039,-25359,-389,981,115,707,-17045,-2985,-20030,-44682
2011,-104912,90790,-14122,-173,6887,227,6941,-18149,-2759,-20908,-28089
2012,-113133,95481,-17652,-148,-15541,-271,-15960,-18249,-2751,-21000,-54612
2013,-116589,99238,-17351,-326,-30769,-474,-31569,-22677,-3186,-25863,-74783
2014,-122133,94726,-27407,-469,-32149,-654,-33272,-20818,-3263,-24081,-84760
2015,-120139,95047,-25092,-90,-40548,-1131,-41769,-20635,-3448,-24083,-90944
2016,-132572,99288,-33284,-360,-45477,-896,-46733,-20099,-3909,-24008,-104025
2017,-133839,108873,-24966,-310,-20851,-1242,-22403,-18611,-3808,-22419,-69788
2018,-131091,107505,-23586,-386,-27736,-1132,-29254,-21833,-3681,-25514,-78354
2019,-133061,108104,-24957,-457,-647,-1155,-2259,-23220,-3396,-26616,-53832
2020,-118926,133335,14409,-249,-42406,-2311,-44966,-25034,-3468,-28502,-59059
2021,-146252,152787,6535,-259,381,14,136,-14211,-4424,-18635,-11964
2022,-217784,167649,-50135,-769,2135,0,1366,-18181,-4885,-23066,-71835
2023,-207215,159995,-47220,-653,-45295,0,-45948,-15326,-4842,-20168,-113336
2024,-201107,184008,-17099,-610,-46795,0,-47405,-11796,-5451,-17247,-81751
2025,-220730,204518,-16212,-552,-18272,0,-18824,-11191,-5284,-16475,-51511
1997Q1,-3053,5217,2164,56,-49,224,231,-1810,1,-1809,586
1997Q2,-4642,4891,249,-13,60,139,186,-1695,187,-1508,-1073
1997Q3,-4170,5639,1469,4,-268,172,-92,-1488,-133,-1621,-244
1997Q4,-4234,5557,1323,36,-1130,150,-944,-984,-172,-1156,-777
1998Q1,-5334,5060,-274,90,-890,206,-594,-2486,171,-2315,-3183
1998Q2,-6561,5200,-1361,-40,915,187,1062,-1656,-113,-1769,-2068
1998Q3,-7078,5172,-1906,-32,5459,198,5625,-1813,-4,-1817,1902
1998Q4,-7155,5793,-1362,-28,4515,227,4714,-2979,24,-2955,397
1999Q1,-8744,4696,-4048,39,-1345,217,-1089,-2155,-109,-2264,-7401
1999Q2,-8296,5387,-2909,79,-1189,180,-930,-1731,-20,-1751,-5590
1999Q3,-8243,5664,-2579,49,-1869,163,-1657,-1808,-199,-2007,-6243
1999Q4,-8316,6951,-1365,34,-63,149,120,-1677,-157,-1834,-3079
2000Q1,-8746,6489,-2257,14,-396,149,-233,-2043,91,-1952,-4442
2000Q2,-9375,7202,-2173,75,-163,102,14,-2104,-206,-2310,-4469
2000Q3,-11423,6730,-4693,34,1279,98,1411,-2450,-313,-2763,-6045
2000Q4,-10826,6099,-4727,27,1728,91,1846,-2757,-181,-2938,-5819
2001Q1,-11263,8456,-2807,-63,1604,79,1620,-1817,-27,-1844,-3031
2001Q2,-12891,7474,-5417,62,2248,162,2472,-2645,-204,-2849,-5794
2001Q3,-12406,6362,-6044,42,-62,164,144,131,-252,-121,-6021
2001Q4,-12020,6547,-5473,25,1759,171,1955,-1714,-190,-1904,-5422
2002Q1,-12394,6201,-6193,-18,2787,182,2951,-1829,-349,-2178,-5420
2002Q2,-12550,5992,-6558,18,1439,241,1698,-2570,-184,-2754,-7614
2002Q3,-13525,7379,-6146,49,2947,268,3264,-1370,-311,-1681,-4563
2002Q4,-15256,6770,-8486,18,5580,277,5875,-2535,-48,-2583,-5194
2003Q1,-13088,7339,-5749,-23,4868,263,5108,-1969,-205,-2174,-2815
2003Q2,-13563,7521,-6042,24,2771,345,3140,-3008,-302,-3310,-6212
2003Q3,-14389,7420,-6969,54,886,335,1275,-2712,-147,-2859,-8553
2003Q4,-15223,8183,-7040,4,4541,328,4873,-1983,-252,-2235,-4402
2004Q1,-16420,9000,-7420,-46,1795,329,2078,-1968,-422,-2390,-7732
