time_period,l87s,l854,l84y,l872,l84s,l873
1997,x,x,x,x,x,x
1998,x,x,x,x,x,x
1999,100494,36043,136537,45326,3119,184982
2000,110583,39149,149732,62520,3646,215898
2001,114708,42751,157459,69758,3907,231124
2002,114976,43347,158323,60823,3942,223088
2003,111179,47920,159099,59577,4546,223222
2004,111903,51862,163765,61302,4861,229928
2005,121968,58053,180021,79676,6616,266313
2006,154393,63836,218229,106625,7320,332174
2007,128956,68645,197601,135219,5709,338529
2008,142552,74130,216682,136587,6713,359982
2009,126230,72715,198945,73303,6154,278402
2010,143305,75694,218999,66796,5711,291506
2011,161494,85265,246759,75538,5573,327870
2012,151604,86410,238014,52958,6165,297137
2013,151965,88519,240484,59543,6595,306622
2014,148372,89780,238152,50106,6671,294929
2015,134126,93169,227295,49136,6695,283126
2016,145802,103552,249354,56456,7478,313288
2017,167765,117340,285105,69319,7325,361749
2018,177090,126168,303258,77923,8580,389761
2019,174724,127242,301966,79906,7190,389062
2020,150029,110991,261020,50204,6748,317972
2021,159160,118929,278089,60815,5861,344765
2022,208295,150243,358538,120235,6008,484781
2023,191793,165874,357667,143795,5893,507355
2024,183836,186011,369847,131066,7123,508036
2025,182386,203045,385431,122447,6304,514182
1997Q1,x,x,x,x,x,x
1997Q2,x,x,x,x,x,x
1997Q3,x,x,x,x,x,x
1997Q4,x,x,x,x,x,x
1998Q1,x,x,x,x,x,x
1998Q2,x,x,x,x,x,x
1998Q3,x,x,x,x,x,x
1998Q4,x,x,x,x,x,x
1999Q1,23994,8662,32656,10977,569,44202
1999Q2,24103,8897,33000,11255,1021,45276
1999Q3,25733,8912,34645,11350,745,46740
1999Q4,26664,9572,36236,11744,784,48764
2000Q1,26781,9506,36287,14575,830,51692
2000Q2,27180,9856,37036,15016,893,52945
2000Q3,27961,9963,37924,15971,984,54879
2000Q4,28661,9824,38485,16958,939,56382
2001Q1,29989,11100,41089,19553,1077,61719
2001Q2,28979,10795,39774,17655,1007,58436
2001Q3,28258,10534,38792,16990,864,56646
2001Q4,27482,10322,37804,15560,959,54323
2002Q1,28890,10416,39306,14954,912,55172
2002Q2,29863,10449,40312,14982,1024,56318
