time_period,l87u,l868,l864,l874,l85w,l875
1997,x,x,x,x,x,x
1998,x,x,x,x,x,x
1999,111485,36348,147833,45153,8090,201076
2000,118964,38329,157293,55773,9765,222831
2001,131853,41379,173232,54184,6482,233898
2002,141751,44414,186165,45183,8526,239874
2003,142996,47923,190919,51413,9678,252010
2004,147514,50381,197895,61266,9442,268603
2005,162012,53547,215559,84583,11644,311786
2006,188314,56710,245024,117872,11728,374624
2007,173680,57516,231196,154395,11115,396706
2008,185557,60846,246403,140029,10762,397194
2009,167510,59661,227171,86651,11503,325325
2010,188045,61644,249689,84111,14812,348612
2011,205315,64055,269370,94319,15088,378777
2012,209563,65315,274878,84501,15874,375253
2013,218642,70474,289116,91856,19225,400197
2014,221142,73028,294170,86622,18207,398999
2015,218553,77407,295960,78543,18121,392624
2016,237380,86552,323932,78951,17539,420422
2017,258599,96051,354650,88054,15929,458633
2018,269417,110940,380357,106632,19554,506543
2019,269972,113673,383645,93727,18847,496219
2020,232649,78481,311130,66203,21172,398505
2021,237563,78809,316372,76251,11697,404320
2022,306423,118243,424666,124592,15580,564838
2023,324139,136090,460229,191996,15113,667338
2024,315119,143895,459014,171325,9670,640009
2025,319772,154332,474104,157357,7928,639389
1997Q1,x,x,x,x,x,x
1997Q2,x,x,x,x,x,x
1997Q3,x,x,x,x,x,x
1997Q4,x,x,x,x,x,x
1998Q1,x,x,x,x,x,x
1998Q2,x,x,x,x,x,x
1998Q3,x,x,x,x,x,x
1998Q4,x,x,x,x,x,x
1999Q1,27395,8950,36345,10619,1993,48957
1999Q2,27042,9072,36114,11252,2037,49403
1999Q3,28371,8918,37289,11424,2225,50938
1999Q4,28677,9408,38085,11858,1835,51778
2000Q1,28530,9069,37599,12828,2043,52470
2000Q2,29353,9454,38807,13987,2296,55090
2000Q3,30124,9758,39882,14282,2790,56954
2000Q4,30957,10048,41005,14676,2636,58317
2001Q1,32771,10220,42991,15211,2087,60289
2001Q2,33177,10423,43600,13239,2466,59305
2001Q3,32944,10503,43447,13241,209,56897
2001Q4,32961,10233,43194,12493,1720,57407
2002Q1,34970,10605,45575,10610,2099,58284
2002Q2,35896,11012,46908,11604,2372,60884
