time_period,l87q,l86m,l86i,l876,l86e,l877
1997,x,x,x,x,x,x
1998,x,x,x,x,x,x
1999,-10991,-305,-11296,173,-4971,-16094
2000,-8381,820,-7561,6747,-6119,-6933
2001,-17145,1372,-15773,15574,-2575,-2774
2002,-26775,-1067,-27842,15640,-4584,-16786
2003,-31817,-3,-31820,8164,-5132,-28788
2004,-35611,1481,-34130,36,-4581,-38675
2005,-40044,4506,-35538,-4907,-5028,-45473
2006,-33921,7126,-26795,-11247,-4408,-42450
2007,-44724,11129,-33595,-19176,-5406,-58177
2008,-43005,13284,-29721,-3442,-4049,-37212
2009,-41280,13054,-28226,-13348,-5349,-46923
2010,-44740,14050,-30690,-17315,-9101,-57106
2011,-43821,21210,-22611,-18781,-9515,-50907
2012,-57959,21095,-36864,-31543,-9709,-78116
2013,-66677,18045,-48632,-32313,-12630,-93575
2014,-72770,16752,-56018,-36516,-11536,-104070
2015,-84427,15762,-68665,-29407,-11426,-109498
2016,-91578,17000,-74578,-22495,-10061,-107134
2017,-90834,21289,-69545,-18735,-8604,-96884
2018,-92327,15228,-77099,-28709,-10974,-116782
2019,-95248,13569,-81679,-13821,-11657,-107157
2020,-82620,32510,-50110,-15999,-14424,-80533
2021,-78403,40120,-38283,-15436,-5836,-59555
2022,-98128,32000,-66128,-4357,-9572,-80057
2023,-132346,29784,-102562,-48201,-9220,-159983
2024,-131283,42116,-89167,-40259,-2547,-131973
2025,-137386,48713,-88673,-34910,-1624,-125207
1997Q1,x,x,x,x,x,x
1997Q2,x,x,x,x,x,x
1997Q3,x,x,x,x,x,x
1997Q4,x,x,x,x,x,x
1998Q1,x,x,x,x,x,x
1998Q2,x,x,x,x,x,x
1998Q3,x,x,x,x,x,x
1998Q4,x,x,x,x,x,x
1999Q1,-3401,-288,-3689,358,-1424,-4755
1999Q2,-2939,-175,-3114,3,-1016,-4127
1999Q3,-2638,-6,-2644,-74,-1480,-4198
1999Q4,-2013,164,-1849,-114,-1051,-3014
2000Q1,-1749,437,-1312,1747,-1213,-778
2000Q2,-2173,402,-1771,1029,-1403,-2145
2000Q3,-2163,205,-1958,1689,-1806,-2075
