time_period,l87m,l855,l84z,l87d,l84t,l87e
1997,x,x,x,x,x,x
1998,x,x,x,x,x,x
1999,65588,51293,116881,63531,7337,187749
2000,76003,56601,132604,77225,8251,218080
2001,75788,59558,135346,74840,9535,219721
2002,72319,61228,133547,68524,9125,211196
2003,76552,66954,143506,72809,10062,226377
2004,79013,75531,154544,87056,10187,251787
2005,90666,83030,173696,120635,13019,307350
2006,92117,94838,186955,150409,13654,351018
2007,93986,102676,196662,183974,11171,391807
2008,110259,111737,221996,164990,15119,402105
2009,101890,115641,217531,110713,14712,342956
2010,122642,122854,245496,114425,14172,374093
2011,140898,134450,275348,132129,15121,422598
2012,146913,140186,287099,123852,16486,427437
2013,148302,151650,299952,104618,19118,423688
2014,143177,153665,296842,98529,19494,414865
2015,149944,160274,310218,87948,18490,416656
2016,160127,173132,333259,83825,20896,437980
2017,177784,186701,364485,120821,21065,506371
2018,188109,200373,388482,141122,25802,555406
2019,204506,212287,416793,148526,20217,585536
2020,175049,200256,375305,86884,19591,481780
2021,184410,217792,402202,146151,21402,569755
2022,241622,278961,520583,190894,23666,735143
2023,225538,295073,520611,269586,23396,813593
2024,207704,320420,528124,288294,23650,840068
2025,202060,342614,544674,296359,25079,866112
1997Q1,x,x,x,x,x,x
1997Q2,x,x,x,x,x,x
1997Q3,x,x,x,x,x,x
1997Q4,x,x,x,x,x,x
1998Q1,x,x,x,x,x,x
1998Q2,x,x,x,x,x,x
1998Q3,x,x,x,x,x,x
1998Q4,x,x,x,x,x,x
1999Q1,15353,12121,27474,14704,1931,44109
1999Q2,16210,12718,28928,15556,1902,46386
1999Q3,17203,12592,29795,15850,1754,47399
1999Q4,16822,13862,30684,17421,1750,49855
2000Q1,17994,13546,31540,17214,2240,50994
2000Q2,18864,14429,33293,19190,1851,54334
2000Q3,18585,14345,32930,19943,2248,55121
2000Q4,20560,14281,34841,20878,1912,57631
2001Q1,20267,15555,35822,21307,2420,59549
2001Q2,19094,15270,34364,19099,2258,55721
2001Q3,18041,14412,32453,17517,2368,52338
2001Q4,18386,14321,32707,16917,2489,52113
2002Q1,18229,14542,32771,17116,2307,52194
2002Q2,19323,14982,34305,16726,2259,53290
