time_period,l87o,l869,l865,l87f,l85x,l87g
1997,x,x,x,x,x,x
1998,x,x,x,x,x,x
1999,88258,28290,116548,67260,10222,194030
2000,107679,30901,138580,80934,12095,231609
2001,107451,32091,139542,84223,13678,237443
2002,100237,33819,134056,70376,13737,218169
2003,102099,36488,138587,66577,15508,220672
2004,110924,40273,151197,76207,16421,243825
2005,124583,43468,168051,101213,20551,289815
2006,140288,47646,187934,144942,21573,354449
2007,142662,50406,193068,178903,19272,391243
2008,163124,56031,219155,182579,24704,426438
2009,149577,59049,208626,110377,24645,343648
2010,177123,62865,239988,96403,25101,361492
2011,201130,64870,266000,106407,26514,398921
2012,201132,65800,266932,108269,27777,402978
2013,204198,70457,274655,103874,32351,410880
2014,198078,75691,273769,95285,32039,401093
2015,186918,80989,267907,100310,31147,399364
2016,202247,90844,293091,108063,34843,435997
2017,221876,99117,320993,124489,34880,480362
2018,229361,108096,337457,141667,40342,519466
2019,244349,117752,362101,136964,35176,534241
2020,210096,99431,309527,115851,33669,459047
2021,257855,105125,362980,130579,34201,527760
2022,338890,143312,482202,185171,37160,704533
2023,285328,164862,450190,267333,34344,751867
2024,281443,178528,459971,295440,38350,793761
2025,307598,186809,494407,280273,39930,814610
1997Q1,x,x,x,x,x,x
1997Q2,x,x,x,x,x,x
1997Q3,x,x,x,x,x,x
1997Q4,x,x,x,x,x,x
1998Q1,x,x,x,x,x,x
1998Q2,x,x,x,x,x,x
1998Q3,x,x,x,x,x,x
1998Q4,x,x,x,x,x,x
1999Q1,20730,7137,27867,16151,2771,46789
1999Q2,21374,7156,28530,16489,2637,47656
1999Q3,22850,6922,29772,17433,2281,49486
1999Q4,23304,7075,30379,17187,2533,50099
2000Q1,24883,7494,32377,19194,2979,54550
2000Q2,26008,7629,33637,20205,2758,56600
2000Q3,27791,7820,35611,20221,3205,59037
2000Q4,28997,7958,36955,21314,3153,61422
2001Q1,28702,7979,36681,24029,3254,63964
2001Q2,27952,8168,36120,21043,3648,60811
2001Q3,25946,8081,34027,21122,3144,58293
2001Q4,24851,7863,32714,18029,3632,54375
2002Q1,24644,8152,32796,18509,3298,54603
2002Q2,26328,8427,34755,18406,3665,56826
