time_period,l87k,l86n,l86j,l87h,l86f,l87i
1997,x,x,x,x,x,x
1998,x,x,x,x,x,x
1999,-22670,23003,333,-3729,-2885,-6281
2000,-31676,25700,-5976,-3709,-3844,-13529
2001,-31663,27467,-4196,-9383,-4143,-17722
2002,-27918,27409,-509,-1852,-4612,-6973
2003,-25547,30466,4919,6232,-5446,5705
2004,-31911,35258,3347,10849,-6234,7962
2005,-33917,39562,5645,19422,-7532,17535
2006,-48171,47192,-979,5467,-7919,-3431
2007,-48676,52270,3594,5071,-8101,564
2008,-52865,55706,2841,-17589,-9585,-24333
2009,-47687,56592,8905,336,-9933,-692
2010,-54481,59989,5508,18022,-10929,12601
2011,-60232,69580,9348,25722,-11393,23677
2012,-54219,74386,20167,15583,-11291,24459
2013,-55896,81193,25297,744,-13233,12808
2014,-54901,77974,23073,3244,-12545,13772
2015,-36974,79285,42311,-12362,-12657,17292
2016,-42120,82288,40168,-24238,-13947,1983
2017,-44092,87584,43492,-3668,-13815,26009
2018,-41252,92277,51025,-545,-14540,35940
2019,-39843,94535,54692,11562,-14959,51295
2020,-35047,100825,65778,-28967,-14078,22733
2021,-73445,112667,39222,15572,-12799,41995
2022,-97268,135649,38381,5723,-13494,30610
2023,-59790,130211,70421,2253,-10948,61726
2024,-73739,141892,68153,-7146,-14700,46307
2025,-105538,155805,50267,16086,-14851,51502
1997Q1,x,x,x,x,x,x
1997Q2,x,x,x,x,x,x
1997Q3,x,x,x,x,x,x
1997Q4,x,x,x,x,x,x
1998Q1,x,x,x,x,x,x
1998Q2,x,x,x,x,x,x
1998Q3,x,x,x,x,x,x
1998Q4,x,x,x,x,x,x
1999Q1,-5377,4984,-393,-1447,-840,-2680
1999Q2,-5164,5562,398,-933,-735,-1270
1999Q3,-5647,5670,23,-1583,-527,-2087
1999Q4,-6482,6787,305,234,-783,-244
2000Q1,-6889,6052,-837,-1980,-739,-3556
2000Q2,-7144,6800,-344,-1015,-907,-2266
2000Q3,-9206,6525,-2681,-278,-957,-3916
2000Q4,-8437,6323,-2114,-436,-1241,-3791
2001Q1,-8435,7576,-859,-2722,-834,-4415
2001Q2,-8858,7102,-1756,-1944,-1390,-5090
