time_period,n2v3,hhzz,jx96,hlxv,lteb,hbqa
1997,311.5,592.5,0,1191.1,22.8,2117.9
1998,412.3,682.9,0,1193.6,23.3,2312.2
1999,560.8,803.7,0,1187.5,22.2,2574.2
2000,764.7,862.1,0,1510.6,28.8,3166.2
2001,773.4,959.9,0,1566,25.6,3324.9
2002,829,887.8,0,1594.4,25.5,3336.7
2003,872,980.5,0,1879.6,23.8,3756
2004,874.1,1144.3,715.6,2218.9,23.2,4976
2005,954,1415.2,825.5,2783.7,24.7,6003.1
2006,992.3,1689.9,862.2,2995.1,22.9,6562.4
2007,1148.6,1899.7,1391.7,3784.5,26.7,8251.2
2008,1438.6,1705,4060.9,4300.5,36.3,11541.4
2009,1261.9,1859.1,2206.6,3571.5,40.1,8939.2
2010,1343,1977.8,2992.2,3874.9,49.7,10237.6
2011,1363.5,1853.8,3681.8,4157.1,56.8,11112.8
2012,1411.5,2062.4,3144.8,3816.3,61.7,10496.6
2013,1437.4,2130.9,2547.8,3574.1,61.4,9751.6
2014,1387.7,2295.4,3005.8,3571,67.7,10327.5
2015,1403.7,2312.9,2508,3468,87.5,9780.2
2016,1633.1,2565.2,2738.2,4200,110,11246.4
2017,1753.2,2821.2,2117.6,4309.9,111.6,11113.5
2018,1753.5,2619.1,2172.7,4691.1,135.3,11371.7
2019,1926.7,2909.9,2304.6,4288.7,131.6,11561.5
2020,2116.5,3193.7,2995.2,4672.5,131.8,13109.6
2021,2127.5,3415.9,2364.6,4900.4,143.4,12951.7
2022,2335.8,3001,3261.9,5458.8,146.7,14204.3
2023,2307.5,3313.2,2692.9,5153.5,139.6,13606.8
2024,2276.2,3563.5,3149.2,5404.1,139.5,14532.6
2025,2158.6,3990.7,2774,5696.4,159.1,14778.8
1997Q1,292.2,562.6,0,1016.3,25.5,1896.5
1997Q2,294.8,589.6,0,1040.2,24.9,1949.4
1997Q3,308.4,610.6,0,1121.9,25.6,2066.4
1997Q4,311.5,592.5,0,1191.1,22.8,2117.9
1998Q1,314.5,643.6,0,1168.3,21.3,2147.6
1998Q2,328.3,646.6,0,1192.6,21.8,2189.3
1998Q3,357,608,0,1239,22.4,2226.4
1998Q4,412.3,682.9,0,1193.6,23.3,2312.2
1999Q1,422,713.7,0,1255.3,22.1,2413.1
1999Q2,514.6,742.9,0,1275.7,22.1,2555.4
1999Q3,542.4,753.9,0,1202.8,21.4,2520.5
1999Q4,560.8,803.7,0,1187.5,22.2,2574.2
2000Q1,684.1,788.3,0,1304.8,21.5,2798.8
2000Q2,728,861,0,1403.4,23.1,3015.4
2000Q3,748.8,864.2,0,1450.6,24.5,3088.1
2000Q4,764.7,862.1,0,1510.6,28.8,3166.2
2001Q1,796.9,894.8,0,1697,26.5,3415.2
2001Q2,790.3,947.5,0,1629.1,26.6,3393.4
2001Q3,787.6,907,0,1595.4,26.2,3316.1
2001Q4,773.4,959.9,0,1566,25.6,3324.9
2002Q1,791.2,971.3,0,1574.7,25.5,3362.8
2002Q2,814.7,975,0,1532.3,25.6,3347.6
2002Q3,841.6,866.9,0,1542.3,25.9,3276.6
2002Q4,829,887.8,0,1594.4,25.5,3336.7
2003Q1,870.3,894.4,0,1773,24.6,3562.4
2003Q2,888.1,947.7,0,1816.3,23.5,3675.6
2003Q3,896.6,962.7,0,1869.4,25.1,3753.9
2003Q4,872,980.5,0,1879.6,23.8,3756
2004Q1,851.1,1023.9,630,2040.7,22.8,4568.5
2004Q2,836.9,1033,518.2,2085.2,21.7,4494.9
2004Q3,850.4,1085.7,583.2,2168.4,22,4709.7
2004Q4,874.1,1144.3,715.6,2218.9,23.2,4976
2005Q1,884,1172.9,638.5,2434.7,22.4,5152.5
2005Q2,898.9,1247.8,806.5,2571.4,23.4,5548.1
2005Q3,931.6,1336.7,755.8,2696,24,5744.1
2005Q4,954,1415.2,825.5,2783.7,24.7,6003.1
2006Q1,969.6,1533.1,775.8,3051,24.6,6354.1
2006Q2,969.1,1537.4,847.5,2985.3,23.6,6362.9
2006Q3,978.4,1586.7,919.1,3054.7,23.6,6562.6
2006Q4,992.3,1689.9,862.2,2995.1,22.9,6562.4
2007Q1,1009,1773.8,799.1,3332.9,22.4,6937.2
2007Q2,1044.1,1866.8,945.4,3434.4,21.8,7312.6
2007Q3,1079.1,1883.8,1145.5,3598.6,22.4,7729.4
2007Q4,1148.6,1899.7,1391.7,3784.5,26.7,8251.2
2008Q1,1178.6,1824,2085.8,4179.8,28.2,9296.5
2008Q2,1226.4,1729.3,2077.6,3832.5,27.6,8893.4
2008Q3,1287.2,1689,2189.1,4020.6,27,9213
2008Q4,1438.6,1705,4060.9,4300.5,36.3,11541.4
2009Q1,1331.2,1704,3933,4052.6,34.2,11054.9
2009Q2,1237.1,1677.6,2606.2,3610,31.7,9162.5
2009Q3,1266.8,1856.9,2632.6,3673.2,40.9,9470.5
2009Q4,1261.9,1859.1,2206.6,3571.5,40.1,8939.2
2010Q1,1314.9,1943.9,2929.4,3844.8,43.3,10076.4
2010Q2,1304.3,1795.8,3312.1,3850.6,46.5,10309.3
2010Q3,1327.1,1937.2,4048.1,3971.6,47.4,11331.5
2010Q4,1343,1977.8,2992.2,3874.9,49.7,10237.6
2011Q1,1334.4,1948,2765.9,3986.8,51.7,10086.8
2011Q2,1352.6,2013.1,2785.3,3982.1,54.9,10188
2011Q3,1355.8,1813.1,3977.5,4295,55.6,11497.1
2011Q4,1363.5,1853.8,3681.8,4157.1,56.8,11112.8
2012Q1,1412.7,1982,3253.8,4122.4,56.8,10827.6
2012Q2,1413,1911.8,3503.7,4063.5,58.9,10950.8
2012Q3,1424.9,1998.2,3342.8,3915.5,61.2,10742.7
2012Q4,1411.5,2062.4,3144.8,3816.3,61.7,10496.6
2013Q1,1411.8,2206.4,3192.9,3962.2,66.4,10839.7
2013Q2,1434.2,2148.5,3025.2,3968.3,64.2,10640.3
2013Q3,1412.9,2097.3,2696.2,3693,62.8,9962.1
2013Q4,1437.4,2130.9,2547.8,3574.1,61.4,9751.6
2014Q1,1386.9,2158.8,2383.4,3636,64.2,9629.2
2014Q2,1386,2196.5,2334.2,3549.5,64,9530.1
2014Q3,1431,2218,2648.3,3665.9,63.3,10026.6
2014Q4,1387.7,2295.4,3005.8,3571,67.7,10327.5
2015Q1,1472.7,2400.1,3267.1,3635.2,80.1,10855.2
2015Q2,1433.2,2281,2505.4,3431.7,77.3,9728.6
2015Q3,1441.9,2183.1,2782.6,3516.8,85.3,10009.6
2015Q4,1403.7,2312.9,2508,3468,87.5,9780.2
2016Q1,1442.6,2341.1,3058.7,3605.7,95.9,10544
2016Q2,1518.4,2386.7,3430.2,4035.7,106.1,11477.1
2016Q3,1582.2,2505.6,3013.8,4167.2,112.5,11381.3
2016Q4,1633.1,2565.2,2738.2,4200,110,11246.4
2017Q1,1671.7,2681.7,2375.8,4207.9,114.2,11051.2
