time_period,_neg_n2sv,_neg_hhzc,_neg_zpnn,_neg_xbmm,_neg_ltcv,_neg_hbnr
1997,45.2,17.7,-1.2,180,-2.4,239.3
1998,95.7,52.5,3,-22.6,-0.2,128.4
1999,150.4,13.7,-2.7,30.3,-0.6,191.1
2000,185.6,66.7,-1.6,246.9,3.9,501.7
2001,53.6,127.9,-8.4,88.3,-3.1,258.3
2002,81.4,-11.3,-1,53.6,-0.5,122.3
2003,51.2,25.1,5.4,272.3,-1.6,352.4
2004,70.6,128,8.2,368.5,0.2,575.4
2005,87.8,138.6,-6,502.6,0.7,723.7
2006,77,230.8,-20.8,384.9,-0.4,671.4
2007,184.1,114.6,27.8,682.2,1.2,1009.9
2008,200.1,-265,126.3,-588,-1.3,-528
2009,-32.8,77.4,-31.9,-320,5.8,-301.6
2010,35.8,-11,-50.8,246.3,6.1,226.3
2011,50,-114.6,7.5,114.6,4.9,62.4
2012,7.7,112.9,-37.6,-235.4,7.6,-144.8
2013,28.6,-53.8,39.5,-205.7,5,-186.4
2014,-70.5,65,14,9.1,7.1,24.7
2015,-39.3,-17.3,-87.2,-129,21.1,-251.6
2016,24.3,-128.2,11.5,172.7,6.5,86.8
2017,133.5,86.7,15,224.8,6.8,466.8
2018,-21.6,-144,7.7,258.2,18.6,119
2019,-16.2,79.3,1.9,-269.6,-0.9,-205.5
2020,13.4,87.6,25.8,377,-2.6,501.2
2021,97.1,-53.5,-27.2,311,17.7,345.1
2022,116.2,-71.3,-48.4,104.2,-1.1,99.7
2023,23.8,257,1,-23.4,-3.7,254.7
2024,-56.3,87.1,-10.6,305.8,-2.3,323.7
2025,65.6,106.2,-9.8,420.6,9.7,592.4
1997Q1,13.5,20.8,-0.5,72.3,-1.5,104.7
1997Q2,8,-2.3,0.1,26.5,0.2,32.6
1997Q3,18,-1.6,-0.2,19.8,0.3,36.3
1997Q4,5.7,0.8,-0.5,61.3,-1.5,65.8
1998Q1,12.9,35.9,-0.6,6.9,-1,54
1998Q2,12.8,0.1,0.6,13.9,0.3,27.7
1998Q3,26,5.6,1.5,34.7,0.3,68.2
1998Q4,44,10.9,1.5,-78.1,0.2,-21.5
1999Q1,12.5,13.6,-1.5,72.6,-0.8,96.4
1999Q2,92.5,2.2,0.4,21.5,0.2,116.8
1999Q3,23.5,13.1,0.5,-48.8,-0.8,-12.4
1999Q4,21.9,-15.2,-2.1,-14.9,0.8,-9.6
2000Q1,127,9.1,0.5,123.6,-2.5,257.8
2000Q2,33.2,43.9,-0.9,10.4,0.5,87.2
2000Q3,12.2,18.8,-0.5,61.5,1.5,93.5
2000Q4,13.3,-5.2,-0.6,51.4,4.3,63.2
2001Q1,27,57.2,-2.3,165,-2.6,244.2
2001Q2,16.3,29.5,1.5,-54.9,0,-7.7
2001Q3,10.5,24.8,-5.8,-19.2,-0.5,9.7
2001Q4,-0.2,16.5,-1.7,-2.5,0,12.1
2002Q1,24.3,-15.6,-0.3,-5.1,-0.5,2.7
2002Q2,23.3,38.5,-2,-37.9,0,21.9
2002Q3,39,-29.4,1.9,44.8,0.7,57
2002Q4,-5.3,-4.8,-0.5,51.8,-0.6,40.6
2003Q1,29.3,21,7.7,88.6,-1.6,145
2003Q2,5.1,22.3,-2.3,72.5,-0.6,96.9
2003Q3,17.9,-8.9,1.3,63.7,1.3,75.3
2003Q4,-1.1,-9.2,-1.3,47.5,-0.6,35.2
2004Q1,6.9,36.8,6.3,217.8,-0.5,267.2
2004Q2,26.4,6.7,2.4,35.9,-0.6,70.8
2004Q3,24.7,53.8,8.4,59.8,-0.1,146.7
2004Q4,12.6,30.7,-9,55,1.4,90.7
2005Q1,23.6,33.9,4.5,232.7,-0.5,294.2
2005Q2,20.9,55.3,7,97.7,0.5,181.6
2005Q3,22.5,38.7,-12.3,94,0.4,143.3
2005Q4,20.7,10.7,-5.2,78.2,0.3,104.6
2006Q1,22.2,68.2,2.5,265.7,-0.5,358.2
2006Q2,5.9,58.3,8.4,12.6,-0.2,85.1
2006Q3,25.6,26.6,-6,106.6,0.4,153.1
2006Q4,23.3,77.6,-25.8,0,-0.1,75
2007Q1,29.5,70.2,-1.4,327.7,-0.8,425.2
2007Q2,40.9,69.2,19.5,146.3,0.1,276
2007Q3,38.9,0.9,7.6,126.9,-0.6,173.7
2007Q4,74.7,-25.6,2,81.3,2.5,134.9
2008Q1,31.6,-46.3,64.4,224.6,-0.9,273.4
2008Q2,37.7,-39.5,18.3,-309.1,0.1,-292.5
2008Q3,44.3,-27.6,-14.1,-13.6,-2.1,-13.2
2008Q4,86.5,-151.5,57.7,-490,1.6,-495.5
2009Q1,-2.2,63.3,9.5,-111.7,-1.9,-42.9
2009Q2,-52,7.9,-7.4,-81.9,1.3,-132.1
2009Q3,17.4,1.7,-10.4,-92.8,6.8,-77.3
2009Q4,4,4.4,-23.7,-33.5,-0.5,-49.3
2010Q1,-2.2,-37.7,-24,152.3,1.3,89.7
2010Q2,19.3,-36.2,-15,95.9,2.9,66.9
2010Q3,14.8,97.8,-8.6,84.8,0.7,189.5
2010Q4,3.9,-34.9,-3.2,-86.7,1.2,-119.8
2011Q1,11.1,-34.5,44.7,102.7,2.3,126.2
2011Q2,22.8,37.7,0.9,-42.7,2.5,21.2
2011Q3,17.5,-103.3,-15.2,137.2,-1,35.1
2011Q4,-1.3,-14.4,-22.9,-82.6,1.2,-120
2012Q1,3.7,72.5,-25,14.8,0.6,66.6
2012Q2,7.4,-42.6,-19.7,-25.7,2.7,-77.9
2012Q3,11.1,61.7,4.8,-114.2,2.5,-34.1
2012Q4,-14.5,21.2,2.3,-110.2,1.8,-99.4
2013Q1,-10.7,1.3,39.7,-7.5,2.8,25.6
2013Q2,17.9,-35.1,61.2,2.2,0.9,47.1
2013Q3,-10,-22.2,-72.7,-130.7,0.8,-234.9
2013Q4,31.5,2.2,11.4,-69.8,0.5,-24.2
2014Q1,-65.9,47.2,27.6,70.7,2.7,82.4
2014Q2,0.4,27.6,-13.6,-3.6,0.8,11.5
2014Q3,27.8,-6.2,-27.8,83,-0.7,76.1
2014Q4,-32.8,-3.5,27.7,-141,4.2,-145.3
2015Q1,-20.7,29.9,-100.9,25.4,12.6,-53.7
2015Q2,-24.5,-49.6,9.6,-84,1.1,-147.3
2015Q3,-3.4,-17.1,6.4,-14.8,5.3,-23.5
2015Q4,9.3,19.4,-2.3,-55.6,2.1,-27
2016Q1,-4.1,-42.2,23.2,-11.6,2.3,-32.4
2016Q2,9,-42.9,-19.5,225.3,2.8,174.7
2016Q3,25.3,-32.1,13.1,18.8,2.6,27.7
2016Q4,-6,-10.9,-5.2,-59.8,-1.2,-83.1
2017Q1,26.1,48.2,9.8,68.6,4.1,156.8
2017Q2,30.5,43,6.8,-20.4,1.8,61.5
2017Q3,74.1,-4.4,6.5,56.6,0,132.8
2017Q4,2.9,-0.1,-8.1,120,1,115.7
2018Q1,-6.4,-42,20.6,193,3.5,168.8
2018Q2,-2.3,-56,-11.4,-57.3,2,-125.1
2018Q3,-2.5,-2.6,14.1,-102.1,0,-93.2
2018Q4,-10.3,-43.3,-15.6,224.6,13.1,168.5
2019Q1,1.8,40.1,-5,-100.3,-6.3,-69.8
2019Q2,0.2,36.3,-5.5,-82,-4.6,-55.5
2019Q3,11,-13.6,22.1,31.3,-0.2,50.6
2019Q4,-29.2,16.4,-9.7,-118.6,10.3,-130.8
2020Q1,10,-68.9,9.1,595.1,-3.3,542
2020Q2,6.1,75.8,4.7,-321.2,0.5,-234.2
2020Q3,16,17.4,13.4,-11.3,-5.8,29.7
2020Q4,-18.7,63.4,-1.4,114.4,6,163.7
2021Q1,4.1,-12.3,-0.4,131.5,-1.6,121.4
2021Q2,14.3,32.7,-18.2,-14.1,-2.9,11.8
2021Q3,52.6,-34.4,-2.6,111.2,20.6,147.3
2021Q4,26.1,-39.5,-6,82.4,1.7,64.6
2022Q1,28.7,-99.1,4.9,241.3,0.8,176.6
2022Q2,28.5,-2.2,-9.7,57.9,-4.8,69.7
2022Q3,34.1,-49.4,-22.3,91.4,-5,48.8
2022Q4,25,79.4,-21.3,-286.4,8,-195.4
2023Q1,-3.3,40.9,14,-3.3,-5.9,42.5
2023Q2,12.6,138.7,26.9,-127.6,2.3,53
2023Q3,18.5,5.4,-25.3,230.4,0.3,229.3
2023Q4,-4.2,72,-14.6,-122.8,-0.4,-70.1
2024Q1,12.5,69.3,-11,236.7,-0.6,306.9
2024Q2,-15.2,27.7,13.1,18.4,-2,42
2024Q3,-20.9,54.1,-9.8,37.3,-0.8,60
2024Q4,-32.7,-64,-2.9,13.3,1.1,-85.1
2025Q1,14.3,72.5,-5.3,129.9,0.6,212
2025Q2,-15.6,11.3,-3.1,99.5,4.6,96.6
2025Q3,43.1,49.2,-0.2,172,4.1,268.2
2025Q4,23.8,-26.8,-1.3,19.2,0.5,15.6
