time_period,n2qp,hlyx,aiop,hhcb,hmbn
1997,33.4,22.9,38.7,1.4,96.3
1998,33.3,30.2,42.8,1.1,107.5
1999,36.2,27.2,40.5,1.2,105.1
2000,47.5,34.3,53.4,1,136.1
2001,49.2,35.5,55.2,1,140.8
2002,54,34.2,36.2,0.8,125.3
2003,57.6,34,35.6,0.8,128
2004,66,37.6,39.7,0.7,144
2005,83.5,45.5,66.3,0.7,195.9
2006,91.7,54.9,105.7,0.6,252.9
2007,101.1,66.7,146.9,0.6,315.3
2008,86.6,69,141.1,0.8,297.5
2009,74.3,56.2,48.1,0.8,179.4
2010,92.9,50,33.4,0.7,177.1
2011,104.6,53.5,44.5,0.8,203.4
2012,87.2,50.8,34.4,0.7,173.1
2013,84,48.1,27.9,0.6,160.6
2014,74.3,45.3,25,0.6,145.2
2015,62.3,47.9,22.8,0.8,133.8
2016,59,49.6,26.8,1.1,136.5
2017,96.1,54.3,35.1,1.2,186.6
2018,103,62.8,48.5,1.3,215.6
2019,109.4,58,56,1.5,224.9
2020,57.1,52.2,25.4,1.3,135.9
2021,135,52.7,17.8,0.9,206.4
2022,187.5,64.7,55.8,1.9,309.9
2023,171.6,76.6,159.1,4.5,411.8
2024,150.8,86.8,175.3,4.8,417.6
2025,154.2,90.6,167.8,4.2,416.8
1997Q1,7.9,5.5,8.9,0.5,22.7
1997Q2,9,5.9,9.3,0.3,24.5
1997Q3,9.7,5.7,9,0.2,24.6
1997Q4,6.8,5.9,11.5,0.3,24.5
1998Q1,7.9,6.7,9.5,0.4,24.4
1998Q2,8.5,8.7,10.1,0.3,27.5
1998Q3,9.2,7.7,11.7,0.2,28.8
1998Q4,7.8,7.2,11.6,0.3,26.9
1999Q1,6.8,6.5,10.4,0.3,24.1
1999Q2,9.3,7.6,9.8,0.3,26.9
1999Q3,10.8,6.8,9.5,0.2,27.3
1999Q4,9.4,6.3,10.7,0.3,26.8
2000Q1,11,7.6,11.2,0.2,30.2
2000Q2,11.6,9.1,13.4,0.2,34.3
2000Q3,13.4,8.7,13.8,0.3,36.1
2000Q4,11.5,8.9,15,0.3,35.6
2001Q1,14.1,9.2,15.5,0.3,39.1
2001Q2,12.5,9.5,14.5,0.3,36.7
