time_period,n2ug,hlxw,jx97,hlyd,hbqb
1997,229.9,623.1,0,1291.6,2144.6
1998,292.1,767.7,0,1358.5,2418.3
1999,348,1022.4,0,1360.4,2730.8
2000,429.1,1188.6,0,1632.9,3250.6
2001,480.6,1090.9,0,1836.6,3408.1
2002,487.8,998,0,1850.2,3336
2003,495,1198.8,0,2078.3,3772.1
2004,527,1373.8,719.9,2466.2,5086.8
2005,692,1609.9,835.5,2982.6,6120.1
2006,774.4,1830.2,899,3225.6,6729.2
2007,788.1,2131.8,1406.3,4119.1,8445.4
2008,944.3,2080.7,3929.8,4475.1,11429.9
2009,881.2,2460.5,2143.1,3707.3,9192.1
2010,948.2,2523.8,2943.2,3946.7,10361.8
2011,994.1,2548.2,3610.1,4106.8,11259.2
2012,1250.9,2687.5,3100.4,3892.6,10931.4
2013,1265.3,2670.9,2459,3623,10018.3
2014,1323.7,2812,2931.8,3613.3,10680.8
2015,1353.2,2889.9,2520.4,3317.1,10080.7
2016,1545.7,3040.4,2748.9,3734.3,11069.4
2017,1776.6,3305,2125.2,3956.5,11163.3
2018,1873.2,3161.8,2184.7,4194.7,11414.4
2019,1915.6,3476.9,2330.6,4068.3,11791.4
2020,2282.4,3516.5,3028.6,4458.9,13286.4
2021,2448.9,3777.6,2435.5,4614.7,13276.7
2022,2630.5,3245.3,3340.5,5054.8,14271
2023,2585.3,3424,2780.1,5084.7,13874.1
2024,2547.6,3586.9,3239.7,5330.7,14704.9
2025,2337.6,4093,2880,5668,14978.6
1997Q1,216.9,515.3,0,1171.1,1903.3
1997Q2,223.6,556.1,0,1173.3,1953
1997Q3,225.3,613.4,0,1254.3,2093
1997Q4,229.9,623.1,0,1291.6,2144.6
1998Q1,229.2,695,0,1281.7,2205.8
1998Q2,247.2,694.9,0,1318,2260.2
1998Q3,271.6,688,0,1385.4,2345
1998Q4,292.1,767.7,0,1358.5,2418.3
1999Q1,290.1,829.3,0,1423.6,2543
1999Q2,301.6,939.5,0,1425.9,2667
1999Q3,325.8,917.6,0,1382.5,2625.9
1999Q4,348,1022.4,0,1360.4,2730.8
2000Q1,366.6,1089.7,0,1480.8,2937.1
2000Q2,381,1116.6,0,1590.9,3088.5
2000Q3,423.6,1156,0,1605.7,3185.3
2000Q4,429.1,1188.6,0,1632.9,3250.6
2001Q1,453.2,1147.3,0,1867.3,3467.7
2001Q2,469.6,1125.6,0,1853.6,3448.9
2001Q3,477.8,1037.3,0,1847.2,3362.4
2001Q4,480.6,1090.9,0,1836.6,3408.1
2002Q1,468.7,1099.6,0,1863.1,3431.5
2002Q2,471,1049.6,0,1853.8,3374.4
2002Q3,487.9,958.9,0,1826.7,3273.6
2002Q4,487.8,998,0,1850.2,3336
2003Q1,485.5,1001,0,2013.5,3500
2003Q2,500.4,1077.4,0,2081.7,3659.5
2003Q3,494.8,1153.1,0,2106.8,3754.8
2003Q4,495,1198.8,0,2078.3,3772.1
2004Q1,482.2,1254.5,634.2,2227.8,4598.8
2004Q2,501,1288.4,517.5,2267.5,4574.5
2004Q3,509.7,1337.3,577.8,2411.7,4836.6
2004Q4,527,1373.8,719.9,2466.2,5086.8
2005Q1,533.5,1436.6,637.1,2661.4,5268.6
2005Q2,573.1,1496.3,800.1,2812.6,5682.1
2005Q3,663.5,1543.5,761.3,2924.3,5892.7
2005Q4,692,1609.9,835.5,2982.6,6120.1
2006Q1,721.6,1734.7,786.7,3264,6507
2006Q2,745.3,1679.2,851,3241.5,6517.1
2006Q3,783.7,1746.5,928.3,3251.5,6710
2006Q4,774.4,1830.2,899,3225.6,6729.2
2007Q1,687.3,1915.8,837.2,3599.4,7039.7
2007Q2,735.6,2004.1,964,3730.3,7434.1
2007Q3,770.6,2053.6,1153.3,3910.1,7887.6
2007Q4,788.1,2131.8,1406.3,4119.1,8445.4
2008Q1,828.5,2089,2028.8,4493.8,9440.1
