time_period,n2sa,hhzf,xbmn,hbns
1997,28.4,37.6,178.9,244.9
1998,60.8,49,26.5,136.3
1999,80.3,132.1,11.6,224
2000,108,185.6,232,525.6
2001,38.9,9.8,231.4,280.1
2002,58.6,62,40.3,160.9
2003,22,137.2,231.1,390.3
2004,47.6,140.9,402.7,591.2
2005,139.7,182.9,432.4,754.9
2006,113,166,455.3,734.3
2007,104.6,207,768.7,1080.2
2008,142.4,169.8,-770.3,-458.1
2009,6.2,178.2,-441.7,-257.4
2010,42.3,48.8,195.5,286.6
2011,16.6,42.6,35.2,94.4
2012,29.7,-69.1,-61,-100.4
2013,35.8,96,-249.4,-117.6
2014,36.4,54.3,21.5,112.2
2015,30.1,108.7,-285.6,-146.8
2016,243.7,-15.7,-28.9,199.1
2017,97.8,158.4,289.8,545.9
2018,-17.9,123.9,106,211.9
2019,16.8,50.4,-201.1,-133.9
2020,122.8,57.3,391.3,571.4
2021,74.3,138.8,166.1,379.1
2022,74.8,-35.3,120.4,159.9
2023,11.7,76.3,251.9,339.9
2024,-10.2,121.1,306.8,417.8
2025,58.4,143.2,477.1,678.7
1997Q1,13.4,9.2,74.8,97.3
1997Q2,7.8,8.1,25.2,41.1
1997Q3,2.9,11.9,30.5,45.2
1997Q4,4.4,8.5,48.4,61.3
1998Q1,15.2,19.9,22.2,57.3
1998Q2,13.9,-9.8,29.2,33.3
1998Q3,16.9,3,51.9,71.8
1998Q4,14.8,35.9,-76.7,-26.1
1999Q1,16.3,16.7,71.5,104.5
1999Q2,12.7,105.3,-1,117
1999Q3,25.9,7.8,-29,4.7
1999Q4,25.4,2.3,-29.8,-2.2
2000Q1,28.4,100.2,124.7,253.3
2000Q2,21.7,18.2,49.7,89.5
2000Q3,49.6,19.7,27.6,96.9
2000Q4,8.3,47.6,30,85.8
2001Q1,20.7,12.3,215.2,248.2
2001Q2,13.7,-4,-10.7,-1
2001Q3,5.2,5.6,12.7,23.4
2001Q4,-0.7,-4,14.2,9.5
2002Q1,0.3,11.6,7.2,19.1
2002Q2,14.1,22.4,1.2,37.8
2002Q3,31.4,7.9,16,55.3
2002Q4,12.9,20,15.9,48.7
2003Q1,11.6,23.5,101,136.2
2003Q2,-5.1,21.7,102.5,119
2003Q3,7.8,61,10.9,79.7
2003Q4,7.7,30.9,16.7,55.4
2004Q1,-5.2,70.6,202,267.4
2004Q2,22,37.4,24.1,83.5
2004Q3,11.7,25,113.3,150.1
2004Q4,19.1,7.9,63.2,90.3
2005Q1,15.3,61.2,209.4,285.9
2005Q2,30.9,54.4,114.4,199.7
2005Q3,82.5,-0.9,80.9,162.5
2005Q4,10.9,68.2,27.7,106.8
2006Q1,51.3,41.3,273.6,366.2
2006Q2,32.3,1.8,78.8,112.9
2006Q3,37,72.7,54.2,163.9
2006Q4,-7.6,50.2,48.7,91.4
2007Q1,30.2,40.9,365.7,436.7
2007Q2,16.1,83.4,182.9,282.5
2007Q3,27,43.4,127.4,197.8
2007Q4,31.3,39.3,92.8,163.3
2008Q1,39.6,51.1,200.9,291.5
2008Q2,18.3,50.8,-351.6,-282.5
2008Q3,19.7,26.2,-48.2,-2.2
2008Q4,64.8,41.7,-571.4,-464.8
2009Q1,-1,75.9,-107.8,-32.9
2009Q2,-44.5,41,-121.8,-125.3
2009Q3,35.1,33.1,-122.4,-54.2
2009Q4,16.7,28.1,-89.7,-44.9
2010Q1,11,59.8,41.6,112.4
2010Q2,-6,-32.1,98.6,60.5
2010Q3,21.5,64.9,120.3,206.7
2010Q4,15.7,-43.9,-65,-93.1
2011Q1,-7.9,23.9,102.7,118.7
2011Q2,9.7,26.9,0.1,36.7
2011Q3,11.4,-21,50.7,41.1
2011Q4,3.4,12.8,-118.3,-102.1
2012Q1,12.6,16.2,46.3,75.1
2012Q2,8.7,-26.1,-60.7,-78.1
2012Q3,12.8,-67.2,41.9,-12.6
2012Q4,-4.4,8.1,-88.5,-84.9
2013Q1,-17.1,28,25.6,36.5
2013Q2,57,9.2,-17,49.2
2013Q3,-1,2.8,-198.5,-196.7
2013Q4,-3.2,56,-59.5,-6.7
2014Q1,73.8,-23.9,65,114.9
2014Q2,-23.3,30.6,8.1,15.4
2014Q3,-14.7,28,77.6,90.9
2014Q4,0.6,19.6,-129.2,-109
2015Q1,34.5,21.7,-95.3,-39
2015Q2,-20.4,53.7,-155.2,-122
2015Q3,1.1,17.1,-6.1,12.1
2015Q4,14.9,16.3,-29.1,2.1
2016Q1,62.7,-46.1,-25.3,-8.7
2016Q2,32.4,44.4,106.8,183.6
2016Q3,56.5,29.1,-5.9,79.7
2016Q4,92.1,-43.1,-104.5,-55.6
2017Q1,29.8,36.8,118.8,185.4
2017Q2,20.6,30.1,23.4,74
2017Q3,39.7,39.8,79.7,159.2
2017Q4,7.7,51.7,67.9,127.3
2018Q1,2,12.3,163.4,177.7
2018Q2,-25,49,-117.6,-93.6
2018Q3,-20.5,49.8,-106.7,-77.4
2018Q4,25.6,12.9,166.8,205.3
2019Q1,-15,-43.2,20.2,-38
2019Q2,21.5,12.2,-66.8,-33.1
2019Q3,28.9,48.3,-10.8,66.5
2019Q4,-18.5,33.1,-143.8,-129.2
2020Q1,57.1,-6.8,509,559.3
2020Q2,27.2,32.2,-293.1,-233.6
2020Q3,15.3,8.9,17.4,41.7
2020Q4,23.1,22.9,158,204
2021Q1,9.9,39.5,79.5,129
2021Q2,29.5,36.8,-53.8,12.5
2021Q3,17.3,18.4,129.4,165.1
2021Q4,17.6,44.1,10.9,72.5
2022Q1,14.9,-58,255.2,212.1
2022Q2,28.7,16.7,47.4,92.8
2022Q3,37.2,-26.9,50.6,60.9
2022Q4,-5.9,32.9,-232.8,-205.8
2023Q1,18.6,-33.1,80.4,65.9
2023Q2,2.5,58.6,18.1,79.1
2023Q3,-12.3,37.6,217.6,242.9
2023Q4,2.9,13.2,-64.2,-48
2024Q1,6.3,25.5,279.4,311.3
2024Q2,-6.8,33.6,46.9,73.6
2024Q3,3.1,10.9,73.7,87.7
2024Q4,-12.8,51.1,-93.1,-54.8
2025Q1,18.7,34.2,180.3,233.2
2025Q2,-9.1,17.4,118.8,127.2
2025Q3,23.3,56.9,213.2,293.4
2025Q4,25.4,34.7,-35.2,24.9
