time_period,n2q4,hlzc,hlzn,hmbo
1997,18.5,28.1,51.1,97.7
1998,10.6,35,52,97.5
1999,19.7,39.7,50.3,109.6
2000,24.6,41.2,67.9,133.7
2001,22.2,45.5,67.5,135.3
2002,19.1,43.5,49.9,112.6
2003,23.2,44.8,47,115
2004,26.9,55.9,51.1,133.9
2005,32.1,69.3,80.5,181.9
2006,51.9,83.7,122.9,258.5
2007,61.7,101.2,166.3,329.2
2008,60.5,105.7,152,318.2
2009,50.6,83.8,58.5,192.9
2010,45.1,86.5,44.5,176.1
2011,51.1,89.1,56.2,196.5
2012,52.3,89.4,46.9,188.6
2013,56.2,98.3,37,191.4
2014,53.8,91,32.7,177.4
2015,53.2,90.8,30.3,174.4
2016,58,89.5,34.5,182
2017,65.7,97.8,43.9,207.5
2018,83.8,101.8,57.7,243.3
2019,53.1,103.2,69.2,225.6
2020,63.6,77.8,36.9,178.3
2021,85,93.4,27.6,206
2022,109.5,127.1,71.2,307.7
2023,137.9,133.2,186,457
2024,125.5,135.7,203.1,464.4
2025,94.1,147.5,193.4,435
1997Q1,4.6,6.3,11.9,22.8
1997Q2,5.3,7,11.7,24
1997Q3,4.6,7.2,12.7,24.4
1997Q4,4,7.7,14.8,26.5
1998Q1,4.2,9,12.2,25.4
1998Q2,4.6,9.1,12.3,26
1998Q3,0.2,8.6,13.9,22.6
1998Q4,1.6,8.3,13.6,23.5
1999Q1,4.1,7.9,12.7,24.7
1999Q2,4.7,12.8,12,29.5
1999Q3,5.6,8.6,11.9,26
1999Q4,5.3,10.3,13.7,29.4
2000Q1,5.7,8.6,14.4,28.7
2000Q2,7.5,10.8,17.1,35.4
2000Q3,5.7,9.3,17.6,32.5
2000Q4,5.7,12.5,18.9,37.1
2001Q1,7.2,9.9,18.8,35.9
2001Q2,4.7,14.3,17.5,36.5
2001Q3,3.9,10.3,16.8,31
2001Q4,6.5,11,14.4,31.9
2002Q1,4.8,8.4,12.2,25.4
2002Q2,5.1,14.5,12.6,32.1
2002Q3,4.8,9.7,12.4,26.9
2002Q4,4.4,11,12.7,28.2
2003Q1,5.2,8.2,11.2,24.6
2003Q2,5.6,13.6,13,32.2
2003Q3,6.1,10.3,11.3,27.7
2003Q4,6.3,12.7,11.5,30.5
2004Q1,5.7,11.2,10.7,27.7
2004Q2,6,16.5,12,34.5
2004Q3,7,14.1,13.4,34.5
2004Q4,8.2,14.1,14.9,37.2
2005Q1,5.9,14.6,16.3,36.8
2005Q2,6.2,19.2,20,45.4
2005Q3,8.5,17.4,21.1,47.1
2005Q4,11.5,18.1,23.1,52.6
2006Q1,10.6,17.7,26.7,55
2006Q2,11.1,23,30.4,64.6
2006Q3,14.9,20.8,31.7,67.4
2006Q4,15.3,22.1,34.2,71.6
2007Q1,13.8,22.6,35.8,72.2
2007Q2,13.3,28.6,42.5,84.4
2007Q3,16,24.9,43.9,84.8
2007Q4,18.6,25.1,44.1,87.8
2008Q1,15.1,24.2,40.6,79.9
2008Q2,17.6,29.8,38.4,85.8
2008Q3,12.6,26,37.8,76.5
2008Q4,15.2,25.7,35.1,76
2009Q1,12.8,21.6,20.8,55.3
2009Q2,11.7,23.7,16.2,51.5
2009Q3,11.8,19.1,11.2,42.1
2009Q4,14.3,19.4,10.3,44
2010Q1,11.3,20.5,9.5,41.3
2010Q2,9.9,23.5,12.3,45.7
2010Q3,10.6,21.9,10.8,43.4
2010Q4,13.3,20.5,11.9,45.7
2011Q1,12.9,20.9,12.3,46
2011Q2,11.2,24.6,16.6,52.5
2011Q3,13.6,23,14.1,50.6
2011Q4,13.5,20.7,13.2,47.4
2012Q1,14.1,21.9,12.2,48.2
2012Q2,13.1,25.7,13.3,52.1
2012Q3,13.1,21.8,11.2,46.1
2012Q4,12,20,10.1,42.1
2013Q1,14.7,24.6,10,49.3
2013Q2,14,26.5,10.5,51
2013Q3,14.6,24.7,8.8,48.1
2013Q4,12.9,22.4,7.7,43
2014Q1,11.8,22.8,8,42.7
2014Q2,11.7,25.7,9.3,46.7
2014Q3,13,22.7,7.7,43.4
2014Q4,17.3,19.7,7.6,44.6
2015Q1,16.1,21.5,7.4,45.1
2015Q2,10.2,25.6,8.1,43.8
2015Q3,9.2,24.5,7.4,41
2015Q4,17.7,19.3,7.4,44.4
2016Q1,13,21.4,8.1,42.5
2016Q2,16,25.9,8.8,50.7
2016Q3,15,22.4,8.8,46.2
2016Q4,13.9,19.8,8.7,42.5
2017Q1,12.8,22,9.8,44.6
2017Q2,16.8,28.1,10.8,55.7
2017Q3,17.3,26,11.4,54.8
2017Q4,18.8,21.7,11.9,52.4
2018Q1,19.6,23.9,12.4,55.9
2018Q2,19.7,29.3,14.8,63.8
2018Q3,24,25.1,14.7,63.8
2018Q4,20.5,23.6,15.8,59.8
2019Q1,10.2,25.2,16.8,52.2
2019Q2,9.5,30.7,19.3,59.5
2019Q3,16.1,26.1,17.7,59.9
2019Q4,17.2,21.3,15.4,53.9
2020Q1,14.5,20.5,13.3,48.3
2020Q2,13.1,18.7,9.1,40.9
2020Q3,16.2,19.6,7.4,43.3
2020Q4,19.8,18.9,7,45.8
2021Q1,21.8,20.9,6.8,49.5
2021Q2,22.4,24.2,6.9,53.5
2021Q3,17.7,27.6,7,52.4
2021Q4,23.2,20.6,6.9,50.7
2022Q1,29.2,28.2,8.2,65.6
2022Q2,23.7,35.2,11.8,70.7
2022Q3,26.4,32.1,19.7,78.3
2022Q4,30.2,31.5,31.5,93.2
2023Q1,34.7,32.3,40.2,107.2
2023Q2,35.5,38.1,45.8,119.3
2023Q3,32.6,32.7,47.9,113.3
2023Q4,35.2,30,52.1,117.3
2024Q1,28.5,32.7,51.4,112.6
2024Q2,26.8,39.4,51.4,117.5
2024Q3,32.2,33.5,51.2,116.8
2024Q4,38.1,30.2,49.2,117.4
2025Q1,22.4,34.7,48.1,105.2
2025Q2,23.5,44.3,47.8,115.6
2025Q3,21.3,36.4,48.4,106.1
2025Q4,26.8,32.1,49.1,108.1
