time_period,mu7o,cgnh,jx98,cgng,lteb,hbqc
1997,81.6,-30.6,0,-100.5,22.8,-26.6
1998,120.2,-84.8,0,-164.9,23.3,-106.1
1999,212.8,-218.8,0,-172.9,22.2,-156.6
2000,335.6,-326.4,0,-122.3,28.8,-84.4
2001,292.8,-131.1,0,-270.6,25.6,-83.2
2002,341.2,-110.2,0,-255.8,25.5,0.7
2003,377,-218.2,0,-198.7,23.8,-16.2
2004,347.1,-229.5,-4.4,-247.3,23.2,-110.8
2005,262,-194.7,-10,-199,24.7,-116.9
2006,217.9,-140.3,-36.8,-230.5,22.9,-166.8
2007,360.5,-232.1,-14.6,-334.6,26.7,-194.2
2008,494.2,-375.6,131.1,-174.6,36.3,111.4
2009,380.7,-601.4,63.5,-135.8,40.1,-252.8
2010,394.8,-546,49,-71.7,49.7,-124.2
2011,369.4,-694.5,71.6,50.3,56.8,-146.4
2012,160.6,-625.1,44.4,-76.3,61.7,-434.8
2013,172.2,-540,88.8,-48.9,61.4,-266.6
2014,63.9,-516.6,74,-42.4,67.7,-353.3
2015,50.5,-577,-12.5,150.9,87.5,-300.5
2016,87.3,-475.3,-10.8,465.7,110,177
2017,-23.5,-483.8,-7.6,353.4,111.6,-49.8
2018,-119.7,-542.7,-12,496.4,135.3,-42.7
2019,11.1,-566.9,-26.1,220.4,131.6,-230
2020,-165.9,-322.8,-33.4,213.6,131.8,-176.8
2021,-321.4,-361.7,-71,285.8,143.4,-325
2022,-294.7,-244.2,-78.5,404,146.7,-66.7
2023,-277.8,-110.8,-87.2,68.8,139.6,-267.3
2024,-271.4,-23.4,-90.5,73.5,139.5,-172.4
2025,-179,-102.3,-106,28.4,159.1,-199.8
1997Q1,75.3,47.2,0,-154.8,25.5,-6.8
1997Q2,71.2,33.4,0,-133.2,24.9,-3.6
1997Q3,83,-2.8,0,-132.4,25.6,-26.6
1997Q4,81.6,-30.6,0,-100.5,22.8,-26.6
1998Q1,85.4,-51.4,0,-113.4,21.3,-58.2
1998Q2,81.1,-48.3,0,-125.4,21.8,-70.8
1998Q3,85.4,-80.1,0,-146.4,22.4,-118.7
1998Q4,120.2,-84.8,0,-164.9,23.3,-106.1
1999Q1,131.9,-115.6,0,-168.3,22.1,-129.8
1999Q2,213,-196.7,0,-150.1,22.1,-111.6
1999Q3,216.6,-163.6,0,-179.8,21.4,-105.4
1999Q4,212.8,-218.8,0,-172.9,22.2,-156.6
2000Q1,317.5,-301.4,0,-175.9,21.5,-138.3
2000Q2,347,-255.7,0,-187.5,23.1,-73.1
2000Q3,325.2,-291.8,0,-155,24.5,-97.1
2000Q4,335.6,-326.4,0,-122.3,28.8,-84.4
2001Q1,343.7,-252.5,0,-170.2,26.5,-52.6
2001Q2,320.6,-178.1,0,-224.5,26.6,-55.4
2001Q3,309.7,-130.3,0,-251.9,26.2,-46.3
2001Q4,292.8,-131.1,0,-270.6,25.6,-83.2
2002Q1,322.5,-128.3,0,-288.4,25.5,-68.7
2002Q2,343.7,-74.7,0,-321.5,25.6,-26.8
2002Q3,353.6,-92,0,-284.4,25.9,3
2002Q4,341.2,-110.2,0,-255.8,25.5,0.7
2003Q1,384.8,-106.6,0,-240.4,24.6,62.4
