time_period,_neg_mu7m,_neg_hhzd,_neg_zpnn,_neg_hhyr,_neg_ltcv,_neg_hbnt
1997,16.8,-20,-1.2,1.1,-2.4,-5.6
1998,34.9,3.5,3,-49.1,-0.2,-7.9
1999,70.1,-118.4,-2.7,18.7,-0.6,-33
2000,77.6,-118.9,-1.6,15,3.9,-23.9
2001,14.8,118,-8.4,-143.1,-3.1,-21.8
2002,22.8,-73.3,-1,13.3,-0.5,-38.6
2003,29.2,-112,5.4,41.2,-1.6,-37.9
2004,22.9,-12.9,8.2,-34.2,0.2,-15.8
2005,-51.9,-44.2,-6,70.2,0.7,-31.2
2006,-36,64.8,-20.8,-70.4,-0.4,-62.9
2007,79.5,-92.3,27.8,-86.5,1.2,-70.4
2008,57.7,-434.8,126.3,182.2,-1.3,-69.9
2009,-39,-100.7,-31.9,121.7,5.8,-44.2
2010,-6.5,-59.8,-50.8,50.8,6.1,-60.2
2011,33.3,-157.2,7.5,79.4,4.9,-32
2012,-22,181.9,-37.6,-174.4,7.6,-44.4
2013,-7.2,-149.8,39.5,43.7,5,-68.8
2014,-106.9,10.7,14,-12.4,7.1,-87.5
2015,-69.4,-126,-87.2,156.6,21.1,-104.8
2016,-219.5,-112.4,11.5,201.6,6.5,-112.3
2017,35.8,-71.7,15,-65,6.8,-79.2
2018,-3.7,-267.8,7.7,152.3,18.6,-92.9
2019,-33.1,28.8,1.9,-68.4,-0.9,-71.6
2020,-109.4,30.3,25.8,-14.4,-2.6,-70.2
2021,22.8,-192.3,-27.2,144.9,17.7,-34
2022,41.4,-36,-48.4,-16.2,-1.1,-60.2
2023,12.1,180.7,1,-275.2,-3.7,-85.2
2024,-46.2,-34,-10.6,-1,-2.3,-94
2025,7.3,-37,-9.8,-56.5,9.7,-86.4
1997Q1,0.2,11.6,-0.5,-2.5,-1.5,7.3
1997Q2,0.3,-10.3,0.1,1.3,0.2,-8.5
1997Q3,15.1,-13.5,-0.2,-10.6,0.3,-9
1997Q4,1.3,-7.7,-0.5,13,-1.5,4.5
1998Q1,-2.3,16,-0.6,-15.3,-1,-3.2
1998Q2,-1.1,9.9,0.6,-15.3,0.3,-5.6
1998Q3,9.1,2.6,1.5,-17.2,0.3,-3.6
1998Q4,29.2,-25,1.5,-1.4,0.2,4.6
1999Q1,-3.8,-3.1,-1.5,1.1,-0.8,-8.1
1999Q2,79.7,-103.1,0.4,22.5,0.2,-0.2
1999Q3,-2.4,5.3,0.5,-19.8,-0.8,-17.1
1999Q4,-3.4,-17.5,-2.1,14.9,0.8,-7.4
2000Q1,98.5,-91,0.5,-1,-2.5,4.5
2000Q2,11.6,25.8,-0.9,-39.3,0.5,-2.3
2000Q3,-37.5,-0.9,-0.5,33.9,1.5,-3.5
2000Q4,5,-52.8,-0.6,21.4,4.3,-22.7
2001Q1,6.3,44.8,-2.3,-50.2,-2.6,-4
2001Q2,2.5,33.5,1.5,-44.3,0,-6.7
2001Q3,5.4,19.1,-5.8,-31.9,-0.5,-13.7
2001Q4,0.5,20.6,-1.7,-16.7,0,2.6
2002Q1,24.1,-27.3,-0.3,-12.2,-0.5,-16.3
2002Q2,9.2,16,-2,-39.1,0,-15.9
2002Q3,7.6,-37.2,1.9,28.8,0.7,1.7
2002Q4,-18.1,-24.8,-0.5,35.9,-0.6,-8.2
2003Q1,17.7,-2.6,7.7,-12.4,-1.6,8.8
2003Q2,10.2,0.6,-2.3,-30,-0.6,-22.1
2003Q3,10.1,-69.9,1.3,52.8,1.3,-4.4
2003Q4,-8.8,-40.2,-1.3,30.8,-0.6,-20.1
2004Q1,12.1,-33.8,6.3,15.7,-0.5,-0.2
2004Q2,4.4,-30.7,2.4,11.8,-0.6,-12.7
2004Q3,12.9,28.8,8.4,-53.5,-0.1,-3.4
2004Q4,-6.5,22.7,-9,-8.3,1.4,0.4
2005Q1,8.3,-27.2,4.5,23.3,-0.5,8.3
2005Q2,-10,1,7,-16.7,0.5,-18.2
2005Q3,-60,39.6,-12.3,13.1,0.4,-19.2
2005Q4,9.8,-57.6,-5.2,50.5,0.3,-2.2
2006Q1,-29.1,27,2.5,-7.9,-0.5,-8
2006Q2,-26.4,56.5,8.4,-66.2,-0.2,-27.8
2006Q3,-11.3,-46.1,-6,52.4,0.4,-10.7
2006Q4,30.8,27.4,-25.8,-48.7,-0.1,-16.4
2007Q1,-0.7,29.3,-1.4,-37.9,-0.8,-11.5
2007Q2,24.8,-14.2,19.5,-36.6,0.1,-6.4
2007Q3,11.9,-42.5,7.6,-0.5,-0.6,-24
2007Q4,43.4,-64.9,2,-11.4,2.5,-28.4
2008Q1,-8,-97.4,64.4,23.7,-0.9,-18.2
2008Q2,19.4,-90.3,18.3,42.5,0.1,-10
2008Q3,24.6,-53.8,-14.1,34.5,-2.1,-11
2008Q4,21.7,-193.2,57.7,81.4,1.6,-30.7
2009Q1,-1.1,-12.6,9.5,-4,-1.9,-10
2009Q2,-7.4,-33.1,-7.4,39.8,1.3,-6.7
2009Q3,-17.7,-31.4,-10.4,29.6,6.8,-23.1
2009Q4,-12.7,-23.7,-23.7,56.2,-0.5,-4.3
2010Q1,-13.2,-97.5,-24,110.7,1.3,-22.7
2010Q2,25.3,-4.2,-15,-2.7,2.9,6.4
2010Q3,-6.8,32.9,-8.6,-35.5,0.7,-17.2
2010Q4,-11.9,9,-3.2,-21.8,1.2,-26.7
2011Q1,19,-58.4,44.7,0,2.3,7.5
2011Q2,13.1,10.8,0.9,-42.8,2.5,-15.5
2011Q3,6,-82.4,-15.2,86.5,-1,-6
2011Q4,-4.8,-27.2,-22.9,35.7,1.2,-18
2012Q1,-8.9,56.3,-25,-31.6,0.6,-8.5
2012Q2,-1.4,-16.5,-19.7,35,2.7,0.2
2012Q3,-1.6,128.9,4.8,-156.1,2.5,-21.6
2012Q4,-10.1,13.2,2.3,-21.7,1.8,-14.5
2013Q1,6.4,-26.7,39.7,-33.1,2.8,-10.9
2013Q2,-39.1,-44.3,61.2,19.3,0.9,-2
2013Q3,-9.1,-25,-72.7,67.8,0.8,-38.3
2013Q4,34.7,-53.8,11.4,-10.3,0.5,-17.6
2014Q1,-139.7,71.1,27.6,5.7,2.7,-32.5
2014Q2,23.7,-3.1,-13.6,-11.8,0.8,-3.9
2014Q3,42.4,-34.2,-27.8,5.4,-0.7,-14.8
2014Q4,-33.4,-23.1,27.7,-11.7,4.2,-36.3
2015Q1,-55.3,8.2,-100.9,120.6,12.6,-14.7
2015Q2,-4.1,-103.2,9.6,71.3,1.1,-25.3
2015Q3,-4.5,-34.2,6.4,-8.7,5.3,-35.7
2015Q4,-5.6,3.2,-2.3,-26.5,2.1,-29.2
2016Q1,-66.8,3.9,23.2,13.7,2.3,-23.7
2016Q2,-23.4,-87.3,-19.5,118.5,2.8,-8.9
2016Q3,-31.2,-61.2,13.1,24.7,2.6,-52.1
2016Q4,-98.1,32.2,-5.2,44.8,-1.2,-27.5
2017Q1,-3.6,11.4,9.8,-50.2,4.1,-28.6
2017Q2,9.9,12.9,6.8,-43.8,1.8,-12.5
2017Q3,34.4,-44.2,6.5,-23.1,0,-26.4
2017Q4,-4.8,-51.8,-8.1,52.1,1,-11.7
2018Q1,-8.4,-54.3,20.6,29.6,3.5,-8.9
2018Q2,22.7,-105,-11.4,60.2,2,-31.4
2018Q3,17.9,-52.4,14.1,4.6,0,-15.7
2018Q4,-35.9,-56.2,-15.6,57.8,13.1,-36.8
2019Q1,16.8,83.3,-5,-120.5,-6.3,-31.7
2019Q2,-21.2,24.1,-5.5,-15.2,-4.6,-22.4
2019Q3,-17.9,-61.9,22.1,42.1,-0.2,-15.9
2019Q4,-10.7,-16.7,-9.7,25.2,10.3,-1.6
2020Q1,-47.1,-62.1,9.1,86.1,-3.3,-17.3
2020Q2,-21.1,43.5,4.7,-28.2,0.5,-0.6
2020Q3,0.7,8.4,13.4,-28.7,-5.8,-12
2020Q4,-41.8,40.5,-1.4,-43.6,6,-40.3
2021Q1,-5.8,-51.8,-0.4,52,-1.6,-7.6
2021Q2,-15.2,-4.1,-18.2,39.7,-2.9,-0.8
2021Q3,35.3,-52.8,-2.6,-18.3,20.6,-17.8
2021Q4,8.5,-83.6,-6,71.5,1.7,-7.9
2022Q1,13.8,-41.1,4.9,-13.9,0.8,-35.5
2022Q2,-0.3,-18.9,-9.7,10.6,-4.8,-23
2022Q3,-3,-22.5,-22.3,40.8,-5,-12.1
2022Q4,30.9,46.5,-21.3,-53.7,8,10.4
2023Q1,-21.9,74,14,-83.7,-5.9,-23.4
