time_period,mu7e,hlzx,cgna,hhcb,hmbm
1997,14.9,-5.2,-12.4,1.4,-1.4
1998,22.7,-4.7,-9.1,1.1,10
1999,16.6,-12.4,-9.8,1.2,-4.5
2000,22.9,-6.9,-14.5,1,2.4
2001,26.9,-10,-12.4,1,5.5
2002,34.9,-9.3,-13.6,0.8,12.8
2003,34.4,-10.8,-11.4,0.8,13.1
2004,39,-18.3,-11.4,0.7,10.1
2005,51.4,-23.8,-14.3,0.7,14
2006,39.7,-28.8,-17.2,0.6,-5.6
2007,39.4,-34.6,-19.4,0.6,-13.9
2008,26.1,-36.7,-10.9,0.8,-20.7
2009,23.8,-27.7,-10.4,0.8,-13.5
2010,47.8,-36.5,-11.1,0.7,1
2011,53.5,-35.6,-11.8,0.8,6.9
2012,34.9,-38.6,-12.5,0.7,-15.5
2013,27.8,-50.2,-9.1,0.6,-30.8
2014,20.5,-45.7,-7.6,0.6,-32.1
2015,9,-42.9,-7.5,0.8,-40.5
2016,1,-40,-7.7,1.1,-45.5
2017,30.3,-43.5,-8.8,1.2,-20.9
2018,19.2,-39.1,-9.2,1.3,-27.7
2019,56.3,-45.2,-13.3,1.5,-0.6
2020,-6.5,-25.6,-11.5,1.3,-42.4
2021,50,-40.7,-9.8,0.9,0.4
2022,78.1,-62.4,-15.4,1.9,2.1
2023,33.6,-56.6,-26.8,4.5,-45.3
2024,25.2,-48.9,-27.8,4.8,-46.8
2025,60,-57,-25.6,4.2,-18.3
1997Q1,3.2,-0.8,-2.9,0.5,0
1997Q2,3.7,-1.1,-2.5,0.3,0.5
1997Q3,5.1,-1.5,-3.7,0.2,0.2
1997Q4,2.8,-1.8,-3.3,0.3,-2
1998Q1,3.7,-2.3,-2.7,0.4,-1
1998Q2,3.9,-0.4,-2.2,0.3,1.5
1998Q3,9,-0.9,-2.2,0.2,6.1
1998Q4,6.2,-1.1,-2,0.3,3.4
1999Q1,2.7,-1.4,-2.3,0.3,-0.6
1999Q2,4.6,-5.2,-2.2,0.3,-2.6
1999Q3,5.2,-1.8,-2.3,0.2,1.3
1999Q4,4.2,-4,-3,0.3,-2.5
