time_period,bopl,bopm,elbl,boqi,bopo,bopp,boql,bokg
1997,10841,2657,9809,782,45134,99141,972,169336
1998,10098,2435,6576,480,43843,99210,979,163621
1999,9739,2228,8705,811,43875,99953,771,166082
2000,9682,2554,14717,1467,47762,109357,1047,186586
2001,9544,2555,14207,1584,50833,111198,575,190496
2002,9942,2856,13640,1690,50797,107928,442,187295
2003,10758,3340,13795,1958,54989,102448,443,187731
2004,10458,3759,15294,1694,57241,101252,1218,190916
2005,10543,3998,18772,1712,61014,115598,997,212634
2006,10917,4920,22447,2159,65847,139051,1169,246510
2007,11892,5528,22412,1987,68830,110049,2244,222942
2008,14521,6641,31445,3574,76668,117588,2374,252811
2009,15955,5195,23533,2505,72542,107299,1091,228120
2010,17539,7422,31195,4067,80837,123169,1718,265947
2011,19827,9174,38581,4774,88871,138102,3063,302392
2012,19708,8580,39166,4197,85186,139121,2559,298517
2013,20716,7586,37297,3614,82298,146510,2246,300267
2014,20556,6976,31133,3244,80485,146731,2424,291549
2015,19856,5947,19799,3133,81811,148771,4753,284070
2016,22634,6315,19412,2428,85019,166147,3974,305929
2017,25625,7773,30594,3340,91475,182967,3775,345549
2018,25576,7926,37836,3357,97583,188844,4077,365199
2019,27013,7486,36053,2647,98458,192861,14712,379230
2020,24959,7214,23214,1845,100706,157025,10115,325078
2021,24427,10854,29122,5658,104242,163078,6189,343570
2022,29047,11742,47898,23661,120354,184871,32344,449917
2023,29388,9615,34239,8065,112906,204800,18318,417331
2024,29653,9796,32701,5129,104664,203149,6448,391540
2025,30424,9654,29673,6194,100274,205794,2433,384446
1997Q1,2740,652,2820,244,11467,24443,204,42570
1997Q2,2789,680,2274,164,11543,24759,327,42536
1997Q3,2571,651,2400,183,10960,24376,236,41377
1997Q4,2741,674,2315,191,11164,25563,205,42853
1998Q1,2627,644,1965,126,11167,25184,258,41971
1998Q2,2552,606,1750,115,10983,24960,249,41215
1998Q3,2500,613,1505,94,10985,24313,244,40254
1998Q4,2419,572,1356,145,10708,24753,228,40181
1999Q1,2356,530,1382,171,10668,24077,163,39347
1999Q2,2439,513,1845,160,10584,24440,332,40313
1999Q3,2424,591,2445,226,11330,25804,116,42936
1999Q4,2520,594,3033,254,11293,25632,160,43486
2000Q1,2346,617,3437,316,11500,26320,239,44775
2000Q2,2408,628,3566,399,11814,27017,212,46044
2000Q3,2426,652,3796,366,11841,27242,223,46546
2000Q4,2502,657,3918,386,12607,28778,373,49221
2001Q1,2487,644,3705,461,13231,29565,163,50256
2001Q2,2322,642,3671,370,12969,28004,95,48073
2001Q3,2387,624,3679,394,12217,26884,114,46299
2001Q4,2348,645,3152,359,12416,26745,203,45868
2002Q1,2382,652,3177,385,12560,27861,102,47119
2002Q2,2470,700,3786,385,13090,28643,112,49186
2002Q3,2614,735,3217,361,12626,27035,146,46734
2002Q4,2476,769,3460,559,12521,24389,82,44256
