time_period,bqar,bqas,enxo,bpbi,bqau,bqav,bqaw,bokh
1997,17440,6504,6079,1283,46915,106787,519,185527
1998,17955,5929,4372,1147,47230,112681,527,189841
1999,18496,5699,5113,1070,47825,120719,821,199743
2000,18608,6674,9785,1351,52609,137094,522,226643
2001,19969,6941,9807,1690,56161,143875,861,239304
2002,20464,6491,9703,1502,55627,146565,1636,241988
2003,22841,6708,11239,1504,59263,141785,1755,245095
2004,23640,6837,15431,2658,63711,145151,1010,258438
2005,25243,7324,21082,4360,66352,160914,1320,286595
2006,26656,8486,25931,5335,72572,187391,2231,328602
2007,28296,10094,26339,5534,77193,167201,1685,316342
2008,33370,11354,36982,10940,81913,171810,2312,348681
2009,35029,8036,26607,7818,78270,157818,3509,317087
2010,36348,10685,34529,9318,90398,181452,2438,365168
2011,38941,12333,48766,14445,100666,188555,2739,406445
2012,39673,11197,53615,14737,98849,190399,2225,410695
2013,42477,11722,47910,15973,97058,200228,7472,422840
2014,42004,11156,42034,11355,97441,208639,6591,419220
2015,42060,10191,27074,9303,92765,219101,4977,405471
2016,45493,10389,24330,7930,100900,244599,5986,439627
2017,49029,11810,32546,10589,113285,259024,4192,480475
2018,49935,12107,41122,13272,116784,258910,6648,498778
2019,51268,12410,39542,8558,116288,269246,17009,514321
2020,51517,13281,22256,6056,109203,228893,11539,442745
2021,51068,17329,29758,23973,128461,233412,11417,495418
2022,59750,18095,62560,54381,145961,288906,15660,645313
2023,64238,15503,54766,25463,134938,311299,3260,609467
2024,67856,14930,51823,17827,131699,302394,10033,596562
2025,72010,15357,43295,19686,132814,319198,25010,627370
1997Q1,4296,1631,1530,354,11749,25964,123,45647
1997Q2,4490,1694,1592,328,11720,27236,142,47202
1997Q3,4292,1570,1485,275,11583,26249,117,45571
1997Q4,4362,1609,1472,326,11863,27338,137,47107
1998Q1,4417,1486,1292,314,12050,27650,120,47329
1998Q2,4477,1468,1232,304,12049,28137,133,47800
1998Q3,4567,1523,961,220,11883,28066,136,47356
1998Q4,4494,1452,887,309,11248,28828,138,47356
1999Q1,4503,1385,958,305,11441,29402,131,48125
1999Q2,4591,1400,1229,241,11614,29166,175,48416
1999Q3,4676,1454,1370,251,12472,30827,171,51221
1999Q4,4726,1460,1556,273,12298,31324,344,51981
2000Q1,4482,1587,2208,277,12851,31892,116,53413
2000Q2,4625,1598,2323,314,12828,33514,159,55361
2000Q3,4693,1728,2476,375,13163,35357,123,57915
2000Q4,4808,1761,2778,385,13767,36331,124,59954
2001Q1,4956,1893,2496,422,14140,37474,92,61473
2001Q2,4979,1784,2825,459,14114,36672,296,61129
2001Q3,4918,1678,2093,415,13962,35495,329,58890
2001Q4,5116,1586,2393,394,13945,34234,144,57812
2002Q1,5125,1619,2282,354,13614,36325,295,59614
2002Q2,5062,1671,2503,407,13987,37950,644,62224
2002Q3,5099,1614,2496,370,13794,36717,323,60413
2002Q4,5178,1587,2422,371,14232,35573,374,59737
2003Q1,5517,1662,2915,267,14302,36405,265,61333
2003Q2,5643,1651,2556,374,14947,34582,437,60190
2003Q3,5789,1613,2897,400,14967,34516,413,60595
2003Q4,5892,1782,2871,463,15047,36282,640,62977
2004Q1,5806,1723,3060,500,15420,35297,230,62036
2004Q2,5848,1672,3829,570,15328,36102,229,63578
2004Q3,5968,1693,4029,803,16273,36311,334,65411
2004Q4,6018,1749,4513,785,16690,37441,217,67413
2005Q1,6112,1708,4175,827,16553,37336,396,67107
2005Q2,6263,1812,4848,954,16450,39337,296,69960
2005Q3,6386,1871,6173,1020,16382,41529,263,73624
2005Q4,6482,1933,5886,1559,16967,42712,365,75904
2006Q1,6606,2035,6584,1574,17722,51560,815,86896
2006Q2,6489,2017,6639,1291,17754,54374,794,89358
2006Q3,6735,2050,6984,1319,18131,41487,368,77074
2006Q4,6826,2384,5724,1151,18965,39970,254,75274
2007Q1,6778,2313,5578,1239,19018,41303,455,76684
2007Q2,6871,2549,5847,1202,18985,41054,290,76798
2007Q3,7263,2638,6916,1330,19834,42153,608,80742
2007Q4,7384,2594,7998,1763,19356,42691,332,82118
2008Q1,7982,2835,8099,2110,19898,43273,726,84923
2008Q2,8350,3016,10805,2678,20732,44484,437,90502
2008Q3,8446,3013,10622,2989,21431,43518,282,90301
2008Q4,8592,2490,7456,3163,19852,40535,867,82955
2009Q1,8801,1994,5933,2707,19445,38511,1296,78687
2009Q2,8895,1968,6013,1869,19131,38269,726,76871
2009Q3,8527,2002,7090,1640,19112,39614,1035,79020
2009Q4,8806,2072,7571,1602,20582,41424,452,82509
2010Q1,8687,2347,7672,1813,21492,42943,413,85367
2010Q2,9231,2588,8432,2097,22596,44950,343,90237
2010Q3,9116,2793,8998,2585,22717,46060,835,93104
2010Q4,9314,2957,9427,2823,23593,47499,847,96460
2011Q1,9448,3076,10926,3066,25065,45555,357,97493
2011Q2,9474,3037,12239,3702,24839,49204,365,102860
2011Q3,9943,3226,12397,4076,25989,46460,1393,103484
2011Q4,10076,2994,13204,3601,24773,47336,624,102608
2012Q1,9924,2902,13549,3438,25024,48123,398,103358
2012Q2,9731,2709,13185,3602,25204,48210,890,103531
2012Q3,9985,2728,13191,3679,25108,47743,412,102846
2012Q4,10033,2858,13690,4018,23513,46323,525,100960
2013Q1,10587,2870,11602,4219,24753,47682,1183,102896
2013Q2,10778,2985,12466,4494,24935,49545,1970,107173
2013Q3,10594,2959,12513,3543,23643,52119,853,106224
2013Q4,10518,2908,11329,3717,23727,50882,3466,106547
2014Q1,10422,2887,10752,3106,25408,50829,305,103709
2014Q2,10564,2786,10388,2904,23542,52114,297,102595
2014Q3,10372,2771,11277,2540,23519,51768,1320,103567
2014Q4,10646,2712,9617,2805,24972,53928,4669,109349
2015Q1,10596,2659,7025,2513,23738,54591,3441,104563
2015Q2,10410,2659,7588,2333,23644,54015,323,100972
2015Q3,10517,2448,6331,2547,22328,54291,787,99249
2015Q4,10537,2425,6130,1910,23055,56204,426,100687
2016Q1,10804,2434,4649,1589,23155,58040,2604,103275
2016Q2,11111,2538,5576,1880,24702,60721,625,107153
2016Q3,11454,2615,6657,1860,26564,63199,2316,114665
2016Q4,12124,2802,7448,2601,26479,62639,441,114534
2017Q1,12070,3063,8498,2692,27048,63855,657,117883
2017Q2,12261,2894,7497,2165,28771,65641,1223,120452
2017Q3,12367,2968,7810,2758,28446,66335,1398,122082
2017Q4,12331,2885,8741,2974,29020,63193,914,120058
2018Q1,12098,2834,8994,3613,28166,63848,1409,120962
2018Q2,12456,2937,10054,3181,27925,64101,3531,124185
2018Q3,12474,3160,11353,3259,29891,65254,579,125970
2018Q4,12907,3176,10721,3219,30802,65707,1129,127661
2019Q1,13752,3159,9380,2741,32389,70231,12378,144030
2019Q2,12564,3035,9983,2613,26965,65651,2814,123625
2019Q3,12639,3114,10071,1539,29604,69116,1382,127465
2019Q4,12313,3102,10108,1665,27330,64248,435,119201
2020Q1,12619,3127,8734,1534,26084,59977,2478,114553
2020Q2,12460,2845,3648,1266,24124,42361,372,87076
2020Q3,12701,3400,4860,1115,27151,58877,1223,109327
2020Q4,13737,3909,5014,2141,31844,67678,7466,131789
2021Q1,12266,3874,4820,3173,32090,55756,5779,117758
2021Q2,12903,4486,6239,4580,30943,58928,1145,119224
2021Q3,12880,4745,8743,5623,32350,58753,3263,126357
2021Q4,13019,4224,9956,10597,33078,59975,1230,132079
2022Q1,14311,4362,12789,12693,36751,68030,8121,157057
2022Q2,15199,4919,16787,12920,37585,71827,5775,165012
2022Q3,14930,4492,17079,16875,34501,73136,822,161835
2022Q4,15310,4322,15905,11893,37124,75913,942,161409
2023Q1,16179,4126,14625,9259,35324,78739,815,159067
2023Q2,15982,3926,12380,6950,34591,80275,825,154929
2023Q3,16084,3700,13564,3835,32624,75795,741,146343
2023Q4,15993,3751,14197,5419,32399,76490,879,149128
2024Q1,16397,3706,12741,3852,31944,73407,758,142805
2024Q2,17223,3824,14566,4736,34373,76784,5499,157005
2024Q3,16828,3602,12282,4478,32159,75668,815,145832
2024Q4,17408,3798,12234,4761,33223,76535,2961,150920
2025Q1,17503,3793,11734,6543,32038,78895,5972,156478
2025Q2,18048,3682,10543,4595,32463,79420,7398,156149
2025Q3,18319,3883,10652,4449,33449,81892,2836,155480
2025Q4,18140,3999,10366,4099,34864,78991,8804,159263
