time_period,mtn7,fkoa,fapo,fdsg,fdtf,fdyi,feba,fdyq,fehh,fgxj,fgza,ikbb
1997,664,11957,14192,272,6452,13918,3595,2799,19520,1441,1422,76232
1998,740,12290,15101,339,5804,11899,4083,3701,23235,1619,1464,80275
1999,783,12609,15052,272,5387,15077,4671,4721,25661,1712,1391,87336
2000,828,14269,16099,144,5858,17129,5281,5459,26911,2151,1621,95750
2001,932,15082,15636,175,6631,19094,5560,5730,29327,2217,1925,102309
2002,1038,14998,16582,218,6476,19539,4547,5464,31286,2455,1972,104575
2003,1063,15976,17105,212,7699,22261,5219,6954,33509,2620,2256,114874
2004,1099,17742,19001,288,8047,25161,5924,8399,36471,2887,2374,127393
2005,1270,18356,20458,615,10988,30391,8738,8310,36573,3052,2332,141083
2006,1353,17979,23172,804,12707,37271,8882,9817,41217,3024,2448,158674
2007,1770,17969,23886,1013,9971,47777,9227,10332,44039,2780,2557,171321
2008,2438,20719,24925,1514,13554,48487,9440,11978,46919,3224,2669,185867
2009,2478,17226,25539,1524,15045,49707,11571,12241,47336,3045,2644,188356
2010,2990,19269,27289,1452,14278,49746,11642,14274,50649,4228,2731,198548
2011,3278,22767,29579,1607,15662,56416,11600,15719,56079,4038,2970,219715
2012,3908,23861,31521,1621,16241,53954,10425,16417,61741,3944,2963,226596
2013,4339,23651,34838,2158,16335,55874,10792,17617,67437,3798,3330,240169
2014,4573,23167,36280,2542,17800,51201,12087,18320,70750,3453,3272,243445
2015,4844,23769,38385,1873,15948,53047,13650,19988,74816,3792,3331,253443
2016,4986,24515,40444,2248,16617,58541,13858,21491,86260,4310,3414,276684
2017,5498,26019,43710,2531,19101,60890,17224,23962,96830,4702,3574,304041
2018,5802,26556,43675,2626,18344,67132,18147,25750,110105,4923,3481,326541
2019,6162,29519,47302,2924,14390,65766,19785,26483,117614,5886,3698,339529
2020,5638,19475,22602,2988,13846,70757,18196,29051,121027,4350,3317,311247
2021,6329,18327,27111,2442,19239,74403,18917,30145,132459,4585,2764,336721
2022,7258,29450,55201,2891,22773,84126,23506,37095,157803,5976,3125,429204
2023,6916,32552,57910,3482,26949,89031,25527,41101,167683,7344,2452,460947
2024,5479,31565,65061,2716,28360,94343,39009,46856,180886,8743,3413,506431
2025,5775,34544,68067,3027,31248,105087,41224,49278,192548,11008,3853,545659
1997Q1,153,3010,3445,41,1604,3530,867,654,4521,333,351,18509
1997Q2,167,3031,3544,62,1639,3259,870,679,4519,347,341,18458
1997Q3,179,2960,3587,80,1596,3844,881,645,5256,375,353,19756
1997Q4,165,2956,3616,89,1613,3285,977,821,5224,386,377,19509
1998Q1,178,2984,3662,47,1609,2833,1005,886,5487,416,368,19475
1998Q2,179,3052,3782,98,1539,2705,1026,927,5736,386,371,19801
1998Q3,194,3202,3789,75,1397,2749,1031,915,5956,394,371,20073
1998Q4,189,3052,3868,119,1259,3612,1021,973,6056,423,354,20926
1999Q1,193,3122,3865,115,1272,3075,1159,1152,6094,394,342,20783
1999Q2,197,3108,3650,93,1235,3561,1099,1143,6772,416,341,21615
1999Q3,196,3151,3763,31,1270,4012,1030,1253,6029,423,346,21504
1999Q4,197,3228,3774,33,1610,4429,1383,1173,6766,479,362,23434
2000Q1,200,3355,3866,35,1639,4006,1175,1184,6726,469,397,23052
2000Q2,202,3470,4033,44,1736,4230,1346,1310,6996,551,367,24285
2000Q3,208,3653,4070,29,1615,4238,1416,1644,6457,576,402,24308
2000Q4,218,3791,4130,36,868,4655,1344,1321,6732,555,455,24105
2001Q1,222,4038,4184,44,1725,5089,1312,1380,7636,576,449,26655
2001Q2,227,3917,3862,45,1665,4766,1357,1452,7730,558,486,26065
2001Q3,235,3747,3926,56,1614,4694,1247,1433,6990,531,473,24946
2001Q4,248,3380,3664,30,1627,4545,1644,1465,6971,552,517,24643
2002Q1,249,3753,3982,33,1509,4427,1105,1554,7347,540,459,24958
2002Q2,249,3752,4120,44,1506,4870,1078,1326,7400,585,501,25431
2002Q3,261,3757,4205,72,1637,5337,1209,1345,8226,664,494,27207
2002Q4,279,3736,4275,69,1824,4905,1155,1239,8313,666,518,26979
2003Q1,285,3756,4198,67,1786,5547,1152,1932,8142,663,560,28088
2003Q2,299,3887,4091,52,2005,5658,1277,1640,8236,703,560,28408
2003Q3,241,4199,4329,50,2042,5639,1189,1614,8574,671,566,29114
2003Q4,238,4134,4487,43,1866,5417,1601,1768,8557,583,570,29264
2004Q1,262,4252,4582,57,1838,6136,1445,1851,8953,686,619,30681
2004Q2,279,4415,4737,68,1978,6070,1495,2034,8911,713,581,31281
2004Q3,249,4479,4787,79,2075,6102,1431,1932,9106,732,566,31538
2004Q4,309,4596,4895,84,2156,6853,1553,2582,9501,756,608,33893
2005Q1,313,4587,4997,145,2437,6743,2255,1906,9031,760,569,33743
2005Q2,319,4457,5054,174,2886,7590,2105,2155,9121,742,536,35139
2005Q3,323,4531,5025,145,2803,8051,2184,2075,8972,772,661,35542
2005Q4,315,4781,5382,151,2862,8007,2194,2174,9449,778,566,36659
2006Q1,303,4582,5503,189,3116,8345,2226,2455,9708,752,566,37745
2006Q2,333,4608,5793,205,3245,8507,2157,2260,9379,768,663,37918
2006Q3,346,4490,5944,203,2904,9743,2197,2669,11236,725,631,41088
2006Q4,371,4299,5932,207,3442,10676,2302,2433,10894,779,588,41923
2007Q1,416,4298,5938,203,1611,11413,2365,2364,10650,708,644,40610
2007Q2,438,4481,5718,221,2623,11916,2372,2258,11166,671,637,42501
2007Q3,426,4480,6098,287,2789,12768,2284,2478,10928,681,707,43926
2007Q4,490,4710,6132,302,2948,11680,2206,3232,11295,720,569,44284
2008Q1,556,4932,6260,349,3597,10451,2132,2658,11748,843,663,44189
2008Q2,578,5154,6285,329,2982,11592,2283,2787,11870,835,671,45366
2008Q3,633,5336,6229,379,3480,12009,2430,2988,11585,797,631,46497
2008Q4,671,5297,6151,457,3495,14435,2595,3545,11716,749,704,49815
2009Q1,592,4462,6422,363,3522,13148,2812,3206,12010,754,655,47946
2009Q2,623,4122,6334,390,3911,12180,3010,3115,12049,752,639,47125
2009Q3,567,4118,6344,361,3975,12113,2806,2764,11418,791,641,45898
2009Q4,696,4524,6439,410,3637,12266,2943,3156,11859,748,709,47387
2010Q1,723,4529,6515,246,3413,12167,2703,3235,12545,996,666,47738
2010Q2,761,4647,6846,319,3495,12283,2781,3780,12704,1036,688,49340
2010Q3,756,5018,6732,391,3686,12681,3307,3650,11996,1090,693,50000
2010Q4,750,5075,7196,496,3684,12615,2851,3609,13404,1106,684,51470
2011Q1,816,5454,7248,392,3453,13239,2904,3709,13450,942,738,52345
2011Q2,829,5691,7349,404,3946,14318,2903,3866,14018,885,721,54930
2011Q3,795,5820,7384,418,3980,15895,2773,4147,13995,1058,737,57002
2011Q4,838,5802,7598,393,4283,12964,3020,3997,14616,1153,774,55438
2012Q1,897,5986,7753,472,4085,14115,3052,4111,15412,975,754,57612
2012Q2,924,5972,7714,456,4179,13689,2660,3931,15178,1010,734,56447
2012Q3,1030,5940,8068,388,4059,13781,2211,4041,15671,936,771,56896
2012Q4,1057,5963,7986,305,3918,12369,2502,4334,15480,1023,704,55641
2013Q1,1018,5729,8347,583,4370,14758,2854,4234,16915,1059,776,60643
2013Q2,1007,6079,8758,584,4144,14226,2717,4590,17043,919,824,60891
2013Q3,1188,6014,8852,577,4039,13409,2649,4509,17428,981,857,60503
2013Q4,1126,5829,8881,414,3782,13481,2572,4284,16051,839,873,58132
2014Q1,1127,5807,8979,626,4326,12657,2764,4515,17047,876,821,59545
2014Q2,1123,5784,8873,597,4537,12470,2946,4370,17247,863,826,59636
2014Q3,1164,5794,9453,647,4211,12992,3139,4598,18099,875,779,61751
2014Q4,1159,5782,8975,672,4726,13082,3238,4837,18357,839,846,62513
2015Q1,1239,5839,9365,479,4041,13690,3226,4828,18631,986,842,63166
2015Q2,1229,5926,9612,482,4117,12894,3467,5115,19030,995,789,63656
2015Q3,1147,5997,9489,456,3332,12975,3349,4832,17946,900,851,61274
2015Q4,1229,6007,9919,456,4458,13488,3608,5213,19209,911,849,65347
2016Q1,1218,6069,9787,554,4170,13724,3253,5107,20735,1063,803,66483
2016Q2,1245,5977,9996,521,3585,14354,3454,5311,21370,1077,945,67835
2016Q3,1201,6083,10229,538,4699,15222,3436,5098,21032,1047,847,69432
2016Q4,1322,6386,10432,635,4163,15241,3715,5975,23123,1123,819,72934
2017Q1,1311,6512,10683,532,4419,14999,4249,5779,23409,1043,901,73837
2017Q2,1251,6500,10650,699,4617,14991,4263,5965,24015,951,921,74823
2017Q3,1508,6490,11559,661,5022,15304,4698,6354,24714,1454,876,78640
2017Q4,1428,6517,10818,639,5043,15596,4014,5864,24692,1254,876,76741
2018Q1,1468,6317,11150,810,5198,16334,4097,6332,25668,1127,884,79385
2018Q2,1397,6485,10682,595,5345,17012,4286,6166,26376,1221,877,80442
2018Q3,1473,6774,10816,578,4009,16596,4509,6421,28495,1342,917,81930
2018Q4,1464,6980,11027,643,3792,17190,5255,6831,29566,1233,803,84784
2019Q1,1503,7324,11190,684,3732,16274,4723,6310,26006,1527,919,80192
2019Q2,1569,7271,11390,805,3798,16080,5165,6474,30322,1245,891,85010
