time_period,mtn6,fhme,apql,fiou,fipt,fity,fivx,fiug,fiwf,flqj,flsa,ikbc
1997,1,10786,20981,260,834,2182,4723,2064,10051,1058,1988,54928
1998,1,11604,23403,313,478,2444,4857,2090,11234,1020,1606,59050
1999,1,11809,25979,298,387,2853,5029,2519,12193,1175,2395,64638
2000,1,13381,27991,255,466,3126,4715,2054,13524,1837,1880,69230
2001,10,13528,29405,307,844,3442,4938,2777,14523,1722,1974,73470
2002,36,13887,31290,292,1633,4263,5441,2990,14825,1634,1942,78233
2003,91,14055,33168,338,3210,4997,5385,3168,15798,1626,2575,84411
2004,88,14816,34527,330,3342,5528,5295,3768,18464,1987,2509,90654
2005,147,15955,36573,826,2540,6130,5801,4473,19941,2152,2477,97015
2006,279,16610,37521,818,3888,6810,5810,5185,22407,2371,2657,104356
2007,358,16725,39758,989,1532,7921,4599,5237,24998,2693,3112,107922
2008,477,16627,41818,1756,978,8302,6207,6179,27705,3028,3800,116877
2009,516,15628,40470,1341,3458,7199,6699,7194,29069,3114,4022,118710
2010,685,17050,42724,1296,2177,7934,6979,7300,30584,3625,4155,124509
2011,916,18187,42698,1071,3146,8771,7590,6856,32085,3777,3828,128925
2012,1012,17921,43749,1316,2379,8019,6670,7907,34592,3793,3757,131115
2013,1355,19037,45544,1543,2907,9901,6156,8759,37140,4595,3994,140931
2014,1251,20013,48102,1759,4241,9938,7073,9674,38212,4832,3624,148719
2015,1644,21566,50640,1199,4090,10626,8952,9866,41248,5587,2978,158396
2016,1487,22096,56141,1394,5359,12171,9515,10546,49250,6233,3204,177396
2017,1937,22943,59969,1619,6463,12879,11393,11177,55646,7139,4003,195168
2018,2287,25015,64262,1919,7256,15103,13475,11443,66953,7579,3744,219036
2019,2864,26241,67956,2710,5013,16013,16254,11469,70923,8263,3719,231425
2020,2675,14634,21382,4005,3454,14318,16033,12239,76533,8942,3697,177912
2021,3458,14514,23804,3214,6229,15442,16268,10858,77835,9079,3233,183934
2022,4102,27236,65179,3080,5993,16901,18879,12732,94811,8887,3755,261555
2023,3660,30904,80028,3180,8253,19202,20670,15483,105914,10157,3501,300952
2024,3389,33478,80772,3660,10474,19639,21023,18006,117730,12045,2207,322423
2025,3900,33606,84652,3486,12494,20606,22517,18135,126461,12420,2864,341141
1997Q1,0,2601,5021,65,244,464,1135,466,2417,252,627,13292
1997Q2,0,2646,5194,84,274,521,1115,491,2506,267,469,13567
1997Q3,0,2763,5427,49,221,591,1212,520,2499,274,561,14117
1997Q4,1,2776,5339,62,95,606,1261,587,2629,265,331,13952
1998Q1,0,2816,5750,55,137,561,1112,540,2795,255,394,14415
1998Q2,0,2902,5760,60,134,564,1265,550,2733,256,377,14601
1998Q3,0,2950,5846,76,126,656,1208,518,2867,252,402,14901
1998Q4,1,2936,6047,122,81,663,1272,482,2839,257,433,15133
1999Q1,0,2937,6291,76,125,686,1265,601,2958,280,868,16087
1999Q2,0,2876,6407,75,63,737,1281,687,3255,304,543,16228
1999Q3,0,2825,6526,78,56,707,1296,661,2920,302,469,15840
1999Q4,1,3171,6755,69,143,723,1187,570,3060,289,515,16483
2000Q1,0,2994,6582,41,93,758,1224,551,3425,460,435,16563
2000Q2,0,3360,6934,58,115,745,1227,491,3182,461,510,17083
2000Q3,0,3500,7245,79,108,801,1105,484,3419,440,397,17578
2000Q4,1,3527,7230,77,150,822,1159,528,3498,476,538,18006
2001Q1,2,3501,7355,98,171,880,1217,631,3446,390,508,18199
2001Q2,2,3425,7434,86,194,868,1229,742,3697,432,482,18591
2001Q3,4,3396,7562,67,222,822,1264,697,3573,458,519,18584
2001Q4,2,3206,7054,56,257,872,1228,707,3807,442,465,18096
2002Q1,5,3479,7576,62,214,997,1255,684,3603,360,522,18757
2002Q2,8,3507,7829,69,249,1051,1358,730,3748,429,461,19439
2002Q3,9,3460,7817,72,527,1177,1399,805,3602,413,547,19828
2002Q4,14,3441,8068,89,643,1038,1429,771,3872,432,412,20209
2003Q1,20,3480,8157,103,529,1186,1343,749,4074,420,688,20749
2003Q2,30,3390,8125,89,759,1268,1326,776,3988,421,715,20887
2003Q3,22,3555,8492,113,1050,1243,1370,864,4027,412,546,21694
2003Q4,19,3630,8394,33,872,1300,1346,779,3709,373,626,21081
2004Q1,19,3511,8349,67,665,1268,1318,898,4541,446,599,21681
2004Q2,29,3664,8544,64,771,1351,1253,871,4695,469,610,22321
2004Q3,19,3831,8642,113,1115,1404,1298,986,4390,517,661,22976
2004Q4,21,3810,8992,86,791,1505,1426,1013,4838,555,639,23676
2005Q1,35,3880,9152,187,798,1587,1436,1070,4572,547,585,23849
2005Q2,38,3896,9138,200,931,1535,1466,1204,4713,531,511,24163
2005Q3,37,3976,9061,224,376,1555,1471,1116,5124,531,708,24179
2005Q4,37,4203,9222,215,435,1453,1428,1083,5532,543,673,24824
2006Q1,49,4224,9244,221,1451,1716,1410,1238,5507,573,589,26222
2006Q2,51,4130,9432,164,1200,1625,1420,1298,5354,575,819,26068
2006Q3,77,4166,9155,207,243,1732,1478,1373,5893,608,660,25592
2006Q4,102,4090,9690,226,994,1737,1502,1276,5653,615,589,26474
2007Q1,91,4149,9750,217,376,1762,1094,1198,6115,638,678,26068
2007Q2,84,4185,9814,215,392,1922,1166,1355,6336,676,766,26911
2007Q3,84,4035,9975,270,332,2091,1142,1298,6362,688,808,27085
2007Q4,99,4356,10219,287,432,2146,1197,1386,6185,691,860,27858
2008Q1,90,4176,10970,375,354,2046,1506,1682,6853,746,919,29717
2008Q2,108,4160,10297,376,193,2070,1533,1397,6704,760,918,28516
2008Q3,128,4238,10411,401,269,2037,1550,1509,7059,747,918,29267
2008Q4,151,4053,10140,604,162,2149,1618,1591,7089,775,1045,29377
2009Q1,137,3974,10311,304,921,1826,1703,1678,7192,730,1142,29918
2009Q2,129,3943,10055,339,825,1571,1631,1898,7277,799,1045,29512
2009Q3,128,3818,9980,294,952,1982,1683,1762,7223,770,906,29498
2009Q4,122,3893,10124,404,760,1820,1682,1856,7377,815,929,29782
2010Q1,134,4184,10593,216,533,1945,1801,1904,7688,874,702,30574
2010Q2,143,4222,10731,312,600,1964,1760,1829,7333,885,1247,31026
2010Q3,215,4277,10813,380,641,1985,1749,1824,7508,934,1060,31386
2010Q4,193,4367,10587,388,403,2040,1669,1743,8055,932,1146,31523
2011Q1,201,4337,10137,222,486,2123,2026,1676,7905,954,1007,31074
2011Q2,224,4652,10710,307,888,2312,1750,1745,7706,921,905,32120
2011Q3,227,4595,10866,270,835,2245,1828,1711,8119,936,974,32606
2011Q4,264,4603,10985,272,937,2091,1986,1724,8355,966,942,33125
2012Q1,218,4584,10746,357,621,1988,1877,1969,8548,941,925,32774
2012Q2,224,4445,11070,325,690,2098,1828,1867,8822,922,1118,33409
2012Q3,242,4392,11065,322,580,1999,1673,2003,8556,934,888,32654
2012Q4,328,4500,10868,312,488,1934,1292,2068,8666,996,826,32278
2013Q1,330,4686,11109,521,908,2324,1599,2276,8694,1176,1086,34709
2013Q2,338,4799,11572,328,763,2432,1553,2123,9648,1116,945,35617
2013Q3,330,4807,11288,338,699,2485,1604,2243,9570,1184,1026,35574
2013Q4,357,4745,11575,356,537,2660,1400,2117,9228,1119,937,35031
2014Q1,306,4891,11824,465,1095,2459,1650,2319,9189,1177,901,36276
2014Q2,304,4961,11766,429,980,2419,1757,2386,9203,1187,761,36153
2014Q3,300,5009,12012,411,904,2553,1755,2355,9602,1205,1007,37113
2014Q4,341,5152,12500,454,1262,2507,1911,2614,10218,1263,955,39177
2015Q1,387,5365,12250,289,1081,2722,2190,2373,10156,1521,701,39035
2015Q2,409,5336,12293,304,927,2646,2300,2517,10393,1323,758,39206
2015Q3,388,5473,12908,284,772,2518,2105,2322,10051,1379,706,38906
2015Q4,460,5392,13189,322,1310,2740,2357,2654,10648,1364,813,41249
2016Q1,342,5283,13275,338,1629,2697,2162,2393,11895,1451,736,42201
2016Q2,338,5441,13920,320,1351,2847,2195,2400,11223,1574,851,42460
2016Q3,399,5725,14100,378,1618,3386,2559,2879,12980,1643,789,46456
2016Q4,408,5647,14846,358,761,3241,2599,2874,13152,1565,828,46279
2017Q1,455,5658,14716,378,887,3133,2605,2851,13380,1779,1102,46944
2017Q2,476,5817,15231,397,1460,3268,2822,2744,13892,1688,943,48738
2017Q3,483,5729,14817,408,1777,3342,2957,2783,14481,1746,1033,49556
2017Q4,523,5739,15205,436,2339,3136,3009,2799,13893,1926,925,49930
2018Q1,570,6162,16253,470,1773,3642,3235,2876,15361,1816,975,53133
2018Q2,476,6189,15928,427,1657,3635,3289,2786,16481,1878,923,53669
2018Q3,483,6461,16030,505,1212,3719,3342,2776,16776,1980,865,54149
2018Q4,758,6203,16051,517,2614,4107,3609,3005,18335,1905,981,58085
2019Q1,715,6400,16686,615,1235,3905,3910,2882,16174,1921,941,55384
2019Q2,693,6612,16876,557,1454,4065,3994,2976,17872,2082,784,57965
2019Q3,720,6959,16850,649,1630,4128,4210,2922,18524,2106,1006,59704
2019Q4,736,6270,17544,889,694,3915,4140,2689,18353,2154,988,58372
2020Q1,652,5995,15556,1102,715,3911,3290,3111,19353,2148,870,56703
2020Q2,629,2706,651,1128,464,3741,4230,3070,20311,2085,944,39959
2020Q3,618,2603,2584,883,1058,3218,4126,3065,18496,2249,986,39886
2020Q4,776,3330,2591,892,1217,3448,4387,2993,18373,2460,897,41364
2021Q1,847,3255,2461,732,1699,3561,3791,2576,18695,2350,882,40849
2021Q2,891,2963,2804,817,1667,3622,4082,2845,18598,2259,938,41486
2021Q3,840,3357,7174,790,708,4031,4096,2734,19860,2160,687,46437
2021Q4,880,4939,11365,875,2155,4228,4299,2703,20682,2310,726,55162
2022Q1,992,5829,13105,764,825,3991,4375,2756,20407,2093,880,56017
2022Q2,1032,6913,17086,812,1872,4139,4722,3123,22476,2233,989,65397
2022Q3,1071,7127,17216,737,1805,4608,4799,3235,24710,2242,923,68473
2022Q4,1007,7367,17772,767,1491,4163,4983,3618,27218,2319,963,71668
2023Q1,964,7734,18300,686,1790,4805,5318,3688,25657,2508,960,72410
2023Q2,941,8067,20291,837,1586,4828,5083,3854,26539,2532,866,75424
2023Q3,915,8287,19710,833,2198,4844,5186,3889,26697,2416,813,75788
2023Q4,840,6816,21727,824,2679,4725,5083,4052,27021,2701,862,77330
2024Q1,817,8379,20206,868,2500,4758,5228,4421,28743,3041,521,79482
2024Q2,824,8389,19529,966,2398,4921,5231,4490,29195,2870,564,79377
2024Q3,829,8209,20186,894,2553,4895,5346,4340,29149,3048,527,79976
