time_period,mtn8,flys,fngy,fnjm,fnkf,fnlq,fnmr,fnly,fnmz,fnrb,fnru,ikbd
1997,663,1171,-6789,12,5618,11736,-1128,735,9469,383,-566,21304
1998,739,686,-8302,26,5326,9455,-774,1611,12001,599,-142,21225
1999,782,800,-10927,-26,5000,12224,-358,2202,13468,537,-1004,22698
2000,827,888,-11892,-111,5392,14003,566,3405,13387,314,-259,26520
2001,922,1554,-13769,-132,5787,15652,622,2953,14804,495,-49,28839
2002,1002,1111,-14708,-74,4843,15276,-894,2474,16461,821,30,26342
2003,972,1921,-16063,-126,4489,17264,-166,3786,17711,994,-319,30463
2004,1011,2926,-15526,-42,4705,19633,629,4631,18007,900,-135,36739
2005,1123,2401,-16115,-211,8448,24261,2937,3837,16632,900,-145,44068
2006,1074,1369,-14349,-14,8819,30461,3072,4632,18810,653,-209,54318
2007,1412,1244,-15872,24,8439,39856,4628,5095,19041,87,-555,63399
2008,1961,4092,-16893,-242,12576,40185,3233,5799,19214,196,-1131,68990
2009,1962,1598,-14931,183,11587,42508,4872,5047,18267,-69,-1378,69646
2010,2305,2219,-15435,156,12101,41812,4663,6974,20065,603,-1424,74039
2011,2362,4580,-13119,536,12516,47645,4010,8863,23994,261,-858,90790
2012,2896,5940,-12228,305,13862,45935,3755,8510,27149,151,-794,95481
2013,2984,4614,-10706,615,13428,45973,4636,8858,30297,-797,-664,99238
2014,3322,3154,-11822,783,13559,41263,5014,8646,32538,-1379,-352,94726
2015,3200,2203,-12255,674,11858,42421,4698,10122,33568,-1795,353,95047
2016,3499,2419,-15697,854,11258,46370,4343,10945,37010,-1923,210,99288
2017,3561,3076,-16259,912,12638,48011,5831,12785,41184,-2437,-429,108873
2018,3515,1541,-20587,707,11088,52029,4672,14307,43152,-2656,-263,107505
2019,3298,3278,-20654,214,9377,49753,3531,15014,46691,-2377,-21,108104
2020,2963,4841,1220,-1017,10392,56439,2163,16812,44494,-4592,-380,133335
2021,2871,3813,3307,-772,13010,58961,2649,19287,54624,-4494,-469,152787
2022,3156,2214,-9978,-189,16780,67225,4627,24363,62992,-2911,-630,167649
2023,3256,1648,-22118,302,18696,69829,4857,25618,61769,-2813,-1049,159995
2024,2090,-1913,-15711,-944,17886,74704,17986,28850,63156,-3302,1206,184008
2025,1875,938,-16585,-459,18754,84481,18707,31143,66087,-1412,989,204518
1997Q1,153,409,-1576,-24,1360,3066,-268,188,2104,81,-276,5217
1997Q2,167,385,-1650,-22,1365,2738,-245,188,2013,80,-128,4891
1997Q3,179,197,-1840,31,1375,3253,-331,125,2757,101,-208,5639
1997Q4,164,180,-1723,27,1518,2679,-284,234,2595,121,46,5557
1998Q1,178,168,-2088,-8,1472,2272,-107,346,2692,161,-26,5060
1998Q2,179,150,-1978,38,1405,2141,-239,377,3003,130,-6,5200
1998Q3,194,252,-2057,-1,1271,2093,-177,397,3089,142,-31,5172
1998Q4,188,116,-2179,-3,1178,2949,-251,491,3217,166,-79,5793
1999Q1,193,185,-2426,39,1147,2389,-106,551,3136,114,-526,4696
1999Q2,197,232,-2757,18,1172,2824,-182,456,3517,112,-202,5387
1999Q3,196,326,-2763,-47,1214,3305,-266,592,3109,121,-123,5664
1999Q4,196,57,-2981,-36,1467,3706,196,603,3706,190,-153,6951
2000Q1,200,361,-2716,-6,1546,3248,-49,633,3301,9,-38,6489
2000Q2,202,110,-2901,-14,1621,3485,119,819,3814,90,-143,7202
2000Q3,208,153,-3175,-50,1507,3437,311,1160,3038,136,5,6730
2000Q4,217,264,-3100,-41,718,3833,185,793,3234,79,-83,6099
2001Q1,220,537,-3171,-54,1554,4209,95,749,4190,186,-59,8456
2001Q2,225,492,-3572,-41,1471,3898,128,710,4033,126,4,7474
2001Q3,231,351,-3636,-11,1392,3872,-17,736,3417,73,-46,6362
2001Q4,246,174,-3390,-26,1370,3673,416,758,3164,110,52,6547
2002Q1,244,274,-3594,-29,1295,3430,-150,870,3744,180,-63,6201
2002Q2,241,245,-3709,-25,1257,3819,-280,596,3652,156,40,5992
2002Q3,252,297,-3612,0,1110,4160,-190,540,4624,251,-53,7379
2002Q4,265,295,-3793,-20,1181,3867,-274,468,4441,234,106,6770
2003Q1,265,276,-3959,-36,1257,4361,-191,1183,4068,243,-128,7339
2003Q2,269,497,-4034,-37,1246,4390,-49,864,4248,282,-155,7521
2003Q3,219,644,-4163,-63,992,4396,-181,750,4547,259,20,7420
2003Q4,219,504,-3907,10,994,4117,255,989,4848,210,-56,8183
2004Q1,243,741,-3767,-10,1173,4868,127,953,4412,240,20,9000
2004Q2,250,751,-3807,4,1207,4719,242,1163,4216,244,-29,8960
2004Q3,230,648,-3855,-34,960,4698,133,946,4716,215,-95,8562
2004Q4,288,786,-4097,-2,1365,5348,127,1569,4663,201,-31,10217
2005Q1,278,707,-4155,-42,1639,5156,819,836,4459,213,-16,9894
2005Q2,281,561,-4084,-26,1955,6055,639,951,4408,211,25,10976
2005Q3,286,555,-4036,-79,2427,6496,713,959,3848,241,-47,11363
2005Q4,278,578,-3840,-64,2427,6554,766,1091,3917,235,-107,11835
2006Q1,254,358,-3741,-32,1665,6629,816,1217,4201,179,-23,11523
2006Q2,282,478,-3639,41,2045,6882,737,962,4025,193,-156,11850
2006Q3,269,324,-3211,-4,2661,8011,719,1296,5343,117,-29,15496
2006Q4,269,209,-3758,-19,2448,8939,800,1157,5241,164,-1,15449
2007Q1,325,149,-3812,-14,1235,9651,1271,1166,4535,70,-34,14542
2007Q2,354,296,-4096,6,2231,9994,1206,903,4830,-5,-129,15590
2007Q3,342,445,-3877,17,2457,10677,1142,1180,4566,-7,-101,16841
2007Q4,391,354,-4087,15,2516,9534,1009,1846,5110,29,-291,16426
2008Q1,466,756,-4710,-26,3243,8405,626,976,4895,97,-256,14472
2008Q2,470,994,-4012,-47,2789,9522,750,1390,5166,75,-247,16850
2008Q3,505,1098,-4182,-22,3211,9972,880,1479,4526,50,-287,17230
2008Q4,520,1244,-3989,-147,3333,12286,977,1954,4627,-26,-341,20438
2009Q1,455,488,-3889,59,2601,11322,1109,1528,4818,24,-487,18028
2009Q2,494,179,-3721,51,3086,10609,1379,1217,4772,-47,-406,17613
2009Q3,439,300,-3636,67,3023,10131,1123,1002,4195,21,-265,16400
2009Q4,574,631,-3685,6,2877,10446,1261,1300,4482,-67,-220,17605
2010Q1,589,345,-4078,30,2880,10222,902,1331,4857,122,-36,17164
2010Q2,618,425,-3885,7,2895,10319,1021,1951,5371,151,-559,18314
2010Q3,541,741,-4081,11,3045,10696,1558,1826,4488,156,-367,18614
2010Q4,557,708,-3391,108,3281,10575,1182,1866,5349,174,-462,19947
2011Q1,615,1117,-2889,170,2967,11116,878,2033,5545,-12,-269,21271
2011Q2,605,1039,-3361,97,3058,12006,1153,2121,6312,-36,-184,22810
2011Q3,568,1225,-3482,148,3145,13650,945,2436,5876,122,-237,24396
2011Q4,574,1199,-3387,121,3346,10873,1034,2273,6261,187,-168,22313
