time_period,ijah,mtx2,cgdt,cgdu,cgdv,cgdw,hhcc,hbok,mt5t,hboh
1997,1007,33351,5378,17566,22944,38676,1372,96343,3067,100417
1998,840,33305,6104,24142,30246,42845,1132,107528,2936,111304
1999,960,36248,7692,19548,27240,40469,1161,105118,2779,108857
2000,1032,47498,8588,25693,34281,53379,985,136143,2570,139745
2001,1087,49159,8213,27337,35550,55165,961,140835,2676,144598
2002,1121,54006,10927,23311,34238,36250,820,125314,2912,129347
2003,1116,57638,11120,22899,34019,35596,791,128044,3226,132386
2004,931,65964,11396,26187,37583,39727,705,143979,3448,148358
2005,974,83537,14087,31389,45476,66254,659,195926,3411,200311
2006,938,91669,16977,37902,54879,105686,645,252879,3217,257034
2007,984,101073,20181,46477,66658,146919,610,315260,2949,319193
2008,1046,86588,22741,46275,69016,141098,777,297479,3052,301577
2009,1176,74345,20680,35502,56182,48121,783,179431,3409,184016
2010,1097,92933,21547,28438,49985,33434,712,177064,3060,181221
2011,1121,104618,22865,30669,53534,44469,761,203382,3164,207667
2012,1124,87182,25108,25705,50813,34370,694,173059,2627,176810
2013,1094,83973,25160,22943,48103,27890,649,160615,2452,164161
2014,1083,74269,25812,19501,45313,25018,646,145246,2306,148635
2015,1295,62276,27247,20664,47911,22798,848,133833,1956,137084
2016,1375,58997,28630,20951,49581,26797,1100,136475,2431,140281
2017,1323,96070,32405,21909,54314,35072,1176,186632,2185,190140
2018,1262,102985,36387,26392,62779,48513,1303,215580,2203,219045
2019,1336,109431,34247,23760,58007,55967,1503,224908,2188,228432
2020,568,57112,30267,21904,52171,25371,1281,135935,585,137088
2021,543,134999,31557,21161,52718,17772,920,206409,14,206966
2022,1245,187547,35188,29495,64683,55773,1881,309884,0,311129
2023,1626,171551,40709,35866,76575,159149,4480,411755,0,413381
2024,1784,150751,43741,43033,86774,175280,4771,417576,0,419360
2025,2053,154152,47656,42905,90561,167816,4224,416753,0,418806
1997Q1,233,8495,1300,4323,5623,8924,369,23411,817,24461
1997Q2,220,8845,1271,4132,5403,9342,363,23953,748,24921
1997Q3,286,9522,1410,4242,5652,8989,317,24480,749,25515
1997Q4,268,6489,1397,4869,6266,11421,323,24499,753,25520
1998Q1,293,8468,1629,5209,6838,9500,275,25081,750,26124
