time_period,ijai,mtu7,hgot,cgdx,cgdz,cgeb,hbol,mt5v,hboi
1997,924,18481,9997,18140,28137,51112,97730,2382,101036
1998,850,10585,10754,24198,34952,51992,97529,2118,100497
1999,759,19656,16241,23410,39651,50277,109584,2070,112413
2000,882,24607,13069,28118,41187,67901,133695,2130,136707
2001,1021,22226,16823,28702,45525,67535,135286,2100,138407
2002,1054,19129,17001,26539,43540,49892,112561,1944,115559
2003,1057,23227,17195,27587,44782,46969,114978,1955,117990
2004,1425,26933,19406,36453,55859,51086,133878,2170,137473
2005,1584,32128,21605,47689,69294,80522,181944,2268,185796
2006,1896,51941,24616,59038,83654,122918,258513,2405,262814
2007,1718,61650,26353,74893,101246,166269,329165,2415,333298
2008,1761,60469,30397,75332,105729,151960,318158,2689,322608
2009,1435,50590,24206,59641,83847,58501,192938,2655,197028
2010,1486,45101,23460,62995,86455,44527,176083,2945,180514
2011,1294,51130,29227,59903,89130,56235,196495,2937,200726
2012,1272,52321,34475,54945,89420,46859,188600,2898,192770
2013,1420,56163,41903,56363,98266,36955,191384,2926,195730
2014,1552,53762,39057,51915,90972,32661,177395,2960,181907
2015,1385,53247,44502,46316,90818,30316,174381,3087,178853
2016,1735,57955,43420,46115,89535,34462,181952,3327,187014
2017,1633,65735,47807,50027,97834,43914,207483,3427,212543
2018,1648,83802,51366,50478,101844,57670,243316,3335,248299
2019,1793,53093,55393,47846,103239,69223,225555,3343,230691
2020,817,63606,39030,38789,77819,36916,178341,2896,182054
2021,802,85034,46615,46800,93415,27579,206028,0,206830
2022,2014,109492,53371,73682,127053,71204,307749,0,309763
2023,2279,137946,55521,77631,133152,185952,457050,0,459329
2024,2394,125542,57428,78272,135700,203129,464371,0,466765
2025,2605,94108,59832,87685,147517,193400,435025,0,437630
1997Q1,177,5039,2231,4247,6478,11943,23460,593,24230
1997Q2,233,5161,2484,4429,6913,11819,23893,609,24735
1997Q3,282,4829,2477,4758,7235,12684,24748,577,25607
1997Q4,232,3452,2805,4706,7511,14666,25629,603,26464
1998Q1,203,4621,2579,6500,9079,12271,25971,544,26718
1998Q2,201,4488,2523,6331,8854,12397,25739,542,26482
1998Q3,203,446,2881,5831,8712,13846,23004,531,23738
1998Q4,243,1030,2771,5536,8307,13478,22815,501,23559
1999Q1,183,4643,3096,5557,8653,12780,26076,511,26770
1999Q2,169,4591,4720,5714,10434,12043,27068,504,27741
1999Q3,201,5969,4556,5792,10348,11818,28135,521,28857
1999Q4,206,4453,3869,6347,10216,13636,28305,534,29045
2000Q1,233,6198,4150,6414,10564,14492,31254,535,32022
2000Q2,190,7433,2342,6669,9011,17031,33475,527,34192
2000Q3,229,6220,2682,7279,9961,17562,33743,531,34503
2000Q4,230,4756,3895,7756,11651,18816,35223,537,35990
2001Q1,315,7698,4003,7703,11706,18970,38374,551,39240
2001Q2,213,4596,4370,7219,11589,17363,33548,521,34282
2001Q3,246,5237,4333,7220,11553,16809,33599,518,34363
2001Q4,247,4695,4117,6560,10677,14393,29765,510,30522
2002Q1,270,5908,3710,6378,10088,12350,28346,503,29119
2002Q2,261,5015,4845,7049,11894,12338,29247,502,30010
2002Q3,261,5250,3932,6699,10631,12449,28330,475,29066
2002Q4,262,2956,4514,6413,10927,12755,26638,464,27364
2003Q1,257,5774,4243,6281,10524,11435,27733,480,28470
2003Q2,257,5512,4265,6523,10788,12621,28921,483,29661
2003Q3,270,6606,5193,7057,12250,11349,30205,493,30968
2003Q4,273,5335,3494,7726,11220,11564,28119,499,28891
2004Q1,318,6286,5122,8532,13654,10932,30872,501,31691
2004Q2,357,5934,4736,8788,13524,11523,30981,532,31870
2004Q3,355,7435,4998,9312,14310,13525,35270,542,36167
2004Q4,395,7278,4550,9821,14371,15106,36755,595,37745
2005Q1,351,6484,5343,10615,15958,16618,39060,562,39973
2005Q2,396,6105,5229,11660,16889,19397,42391,558,43345
2005Q3,391,9060,5507,12253,17760,21238,48058,575,49024
2005Q4,446,10479,5526,13161,18687,23269,52435,573,53454
2006Q1,407,11167,5856,13392,19248,26978,57393,588,58388
2006Q2,496,11061,6058,14230,20288,29683,61032,658,62186
2006Q3,489,15356,5975,15400,21375,31875,68606,569,69664
2006Q4,504,14357,6727,16016,22743,34382,71482,590,72576
2007Q1,422,14313,6269,18051,24320,36192,74825,586,75833
2007Q2,402,13183,7131,18368,25499,41855,80537,606,81545
2007Q3,447,16560,6526,19258,25784,43977,86321,613,87381
2007Q4,447,17594,6427,19216,25643,44245,87482,610,88539
2008Q1,401,15577,6836,19128,25964,41166,82707,633,83741
2008Q2,466,17457,8281,18264,26545,37798,81800,703,82969
2008Q3,420,13562,7785,18979,26764,37846,78172,666,79258
2008Q4,474,13873,7495,18961,26456,35150,75479,687,76640
