time_period,ijaj,mu7f,cgec,cged,cgee,cgff,hhcc,hbom,mt5x,hboj
1997,83,14870,-4619,-574,-5193,-12436,1372,-1387,685,-619
1998,-10,22720,-4650,-56,-4706,-9147,1132,9999,818,10807
1999,201,16592,-8549,-3862,-12411,-9808,1161,-4466,709,-3556
2000,150,22891,-4481,-2425,-6906,-14522,985,2448,440,3038
2001,66,26933,-8610,-1365,-9975,-12370,961,5549,576,6191
2002,67,34877,-6074,-3228,-9302,-13642,820,12753,968,13788
2003,59,34411,-6075,-4688,-10763,-11373,791,13066,1271,14396
2004,-494,39031,-8010,-10266,-18276,-11359,705,10101,1278,10885
2005,-610,51409,-7518,-16300,-23818,-14268,659,13982,1143,14515
2006,-958,39728,-7639,-21136,-28775,-17232,645,-5634,812,-5780
2007,-734,39423,-6172,-28416,-34588,-19350,610,-13905,534,-14105
2008,-715,26119,-7656,-29057,-36713,-10862,777,-20679,363,-21031
2009,-259,23755,-3526,-24139,-27665,-10380,783,-13507,754,-13012
2010,-389,47832,-1913,-34557,-36470,-11093,712,981,115,707
2011,-173,53488,-6362,-29234,-35596,-11766,761,6887,227,6941
2012,-148,34861,-9367,-29240,-38607,-12489,694,-15541,-271,-15960
2013,-326,27810,-16743,-33420,-50163,-9065,649,-30769,-474,-31569
2014,-469,20507,-13245,-32414,-45659,-7643,646,-32149,-654,-33272
2015,-90,9029,-17255,-25652,-42907,-7518,848,-40548,-1131,-41769
2016,-360,1042,-14790,-25164,-39954,-7665,1100,-45477,-896,-46733
2017,-310,30335,-15402,-28118,-43520,-8842,1176,-20851,-1242,-22403
2018,-386,19183,-14979,-24086,-39065,-9157,1303,-27736,-1132,-29254
2019,-457,56338,-21146,-24086,-45232,-13256,1503,-647,-1155,-2259
2020,-249,-6494,-8763,-16885,-25648,-11545,1281,-42406,-2311,-44966
2021,-259,49965,-15058,-25639,-40697,-9807,920,381,14,136
2022,-769,78055,-18183,-44187,-62370,-15431,1881,2135,0,1366
2023,-653,33605,-14812,-41765,-56577,-26803,4480,-45295,0,-45948
2024,-610,25209,-13687,-35239,-48926,-27849,4771,-46795,0,-47405
2025,-552,60044,-12176,-44780,-56956,-25584,4224,-18272,0,-18824
1997Q1,56,3456,-931,76,-855,-3019,369,-49,224,231
1997Q2,-13,3684,-1213,-297,-1510,-2477,363,60,139,186
1997Q3,4,4693,-1067,-516,-1583,-3695,317,-268,172,-92
1997Q4,36,3037,-1408,163,-1245,-3245,323,-1130,150,-944
1998Q1,90,3847,-950,-1291,-2241,-2771,275,-890,206,-594
1998Q2,-40,3665,-1071,314,-757,-2276,283,915,187,1062
1998Q3,-32,8350,-1441,374,-1067,-2115,291,5459,198,5625
1998Q4,-28,6858,-1188,547,-641,-1985,283,4515,227,4714
1999Q1,39,2640,-951,-974,-1925,-2333,273,-1345,217,-1089
1999Q2,79,4397,-2651,-993,-3644,-2222,280,-1189,180,-930
1999Q3,49,3686,-3363,-212,-3575,-2276,296,-1869,163,-1657
1999Q4,34,5869,-1584,-1683,-3267,-2977,312,-63,149,120
2000Q1,14,5402,-3599,817,-2782,-3234,218,-396,149,-233
2000Q2,75,3930,157,-877,-720,-3609,236,-163,102,14
2000Q3,34,6052,348,-1653,-1305,-3723,255,1279,98,1411
2000Q4,27,7507,-1387,-712,-2099,-3956,276,1728,91,1846
2001Q1,-63,7074,-1644,-584,-2228,-3508,266,1604,79,1620
2001Q2,62,7632,-2481,-279,-2760,-2875,251,2248,162,2472
2001Q3,42,6064,-2611,-589,-3200,-3166,240,-62,164,144
2001Q4,25,6163,-1874,87,-1787,-2821,204,1759,171,1955
2002Q1,-18,7466,-1357,-226,-1583,-3280,184,2787,182,2951
2002Q2,18,7707,-2241,-985,-3226,-3253,211,1439,241,1698
2002Q3,49,8321,-868,-1314,-2182,-3400,208,2947,268,3264
2002Q4,18,11383,-1608,-703,-2311,-3709,217,5580,277,5875
2003Q1,-23,9321,-1475,-366,-1841,-2818,206,4868,263,5108
2003Q2,24,8031,-1615,-819,-2434,-3023,197,2771,345,3140
2003Q3,54,7489,-2404,-1676,-4080,-2720,197,886,335,1275
2003Q4,4,9570,-581,-1827,-2408,-2812,191,4541,328,4873
2004Q1,-46,9031,-2560,-2129,-4689,-2725,178,1795,329,2078
2004Q2,-135,8970,-1836,-2391,-4227,-2588,176,2331,341,2537
2004Q3,-172,8487,-2095,-3052,-5147,-2998,172,514,331,673
2004Q4,-141,12543,-1519,-2694,-4213,-3048,179,5461,277,5597
2005Q1,-89,13005,-2156,-3351,-5507,-3038,168,4628,311,4850
2005Q2,-138,15431,-1722,-3524,-5246,-3759,162,6588,290,6740
2005Q3,-184,12099,-2051,-4423,-6474,-3810,163,1978,273,2067
2005Q4,-199,10874,-1589,-5002,-6591,-3661,166,788,269,858
2006Q1,-165,10062,-1653,-4432,-6085,-4188,165,-46,253,42
2006Q2,-268,10265,-1907,-4796,-6703,-4042,166,-314,135,-447
2006Q3,-266,7832,-1774,-5765,-7539,-4014,155,-3566,224,-3608
2006Q4,-259,11569,-2305,-6143,-8448,-4988,159,-1708,200,-1767
2007Q1,-174,9522,-1430,-6975,-8405,-4629,154,-3358,204,-3328
2007Q2,-164,11424,-2053,-6709,-8762,-4956,144,-2150,114,-2200
2007Q3,-208,8617,-1473,-7638,-9111,-5224,146,-5572,107,-5673
2007Q4,-188,9860,-1216,-7094,-8310,-4541,166,-2825,109,-2904
2008Q1,-135,10198,-1712,-7550,-9262,-1694,187,-571,87,-619
2008Q2,-199,8379,-3143,-7029,-10172,-3032,186,-4639,75,-4763
2008Q3,-165,8404,-1539,-7903,-9442,-3525,191,-4372,112,-4425
2008Q4,-216,-862,-1262,-6575,-7837,-2611,213,-11097,89,-11224
2009Q1,-25,2073,-25,-6694,-6719,-2632,210,-7068,109,-6984
2009Q2,-41,3828,-471,-6155,-6626,-3393,191,-6000,223,-5818
2009Q3,-95,9168,-1447,-4745,-6192,-2452,190,714,219,838
2009Q4,-98,8686,-1583,-6545,-8128,-1903,192,-1153,203,-1048
2010Q1,-40,11125,-943,-8282,-9225,-2064,172,8,178,146
2010Q2,-96,12095,-141,-8312,-8453,-3270,177,549,-7,446
2010Q3,-89,12314,-1447,-8641,-10088,-2817,179,-412,-27,-528
2010Q4,-164,12298,618,-9322,-8704,-2942,184,836,-29,643
2011Q1,-48,13133,-1172,-7712,-8884,-2648,187,1788,-38,1702
