time_period,gtta,cgdn,fhdm,h5u3,cgdo,fhib,ikbn
1997,6,654,660,615,10515,11130,11790
1998,7,383,390,783,9747,10530,10920
1999,5,366,371,434,9651,10085,10456
2000,0,381,381,659,10857,11516,11897
2001,8,423,431,370,12641,13011,13442
2002,13,551,564,412,12091,12503,13067
2003,10,398,408,427,13773,14200,14608
2004,203,504,707,364,13977,14341,15048
2005,162,568,730,842,18063,18905,19635
2006,192,709,901,1225,18848,20073,20974
2007,251,634,885,751,15244,15995,16880
2008,211,656,867,504,20461,20965,21832
2009,208,683,891,505,19470,19975,20866
2010,223,586,809,524,18550,19074,19883
2011,-87,491,404,564,19726,20290,20694
2012,172,458,630,566,21455,22021,22651
2013,137,514,651,215,24847,25062,25713
2014,150,546,696,236,25233,25469,26165
2015,124,485,609,543,24033,24576,25185
2016,297,614,911,309,27154,27463,28374
2017,379,650,1029,138,27223,27361,28390
2018,147,613,760,295,33327,33622,34382
2019,115,804,919,879,25609,26488,27407
2020,74,359,433,879,25027,25906,26339
2021,0,382,382,0,26881,26881,27263
2022,0,758,758,0,28916,28916,29674
2023,0,851,851,0,28438,28438,29289
2024,1189,1246,2435,0,28338,28338,30773
2025,0,1220,1220,0,30163,30163,31383
1997Q1,4,121,125,123,2630,2753,2878
1997Q2,1,194,195,350,2514,2864,3059
1997Q3,1,202,203,87,2625,2712,2915
1997Q4,0,137,137,55,2746,2801,2938
1998Q1,3,96,99,374,2416,2790,2889
1998Q2,1,97,98,49,2385,2434,2532
1998Q3,2,89,91,159,2417,2576,2667
1998Q4,1,101,102,201,2529,2730,2832
1999Q1,3,93,96,102,2302,2404,2500
1999Q2,0,86,86,205,2632,2837,2923
1999Q3,1,90,91,28,2380,2408,2499
1999Q4,1,97,98,99,2337,2436,2534
2000Q1,0,96,96,367,2607,2974,3070
2000Q2,0,86,86,118,2540,2658,2744
2000Q3,0,94,94,32,3106,3138,3232
2000Q4,0,105,105,142,2604,2746,2851
2001Q1,0,122,122,231,3144,3375,3497
2001Q2,2,95,97,44,3124,3168,3265
2001Q3,2,102,104,8,3120,3128,3232
2001Q4,4,104,108,87,3253,3340,3448
2002Q1,4,134,138,7,3074,3081,3219
2002Q2,3,138,141,98,3044,3142,3283
2002Q3,3,140,143,13,2986,2999,3142
2002Q4,3,139,142,294,2987,3281,3423
2003Q1,3,99,102,97,3422,3519,3621
2003Q2,3,97,100,18,3445,3463,3563
2003Q3,2,102,104,199,3400,3599,3703
2003Q4,2,100,102,113,3506,3619,3721
2004Q1,48,114,162,-6,3382,3376,3538
2004Q2,52,124,176,149,3739,3888,4064
2004Q3,51,127,178,131,3173,3304,3482
2004Q4,52,139,191,90,3683,3773,3964
2005Q1,47,129,176,262,4059,4321,4497
2005Q2,43,141,184,429,4277,4706,4890
2005Q3,34,145,179,21,4882,4903,5082
2005Q4,38,153,191,130,4845,4975,5166
2006Q1,45,161,206,96,4215,4311,4517
2006Q2,24,179,203,109,4441,4550,4753
2006Q3,33,193,226,657,5290,5947,6173
2006Q4,90,176,266,363,4902,5265,5531
2007Q1,30,169,199,101,3631,3732,3931
2007Q2,22,145,167,0,3733,3733,3900
2007Q3,141,166,307,246,3806,4052,4359
2007Q4,58,154,212,404,4074,4478,4690
2008Q1,37,155,192,131,5059,5190,5382
2008Q2,61,170,231,46,5122,5168,5399
2008Q3,52,155,207,-30,4930,4900,5107
2008Q4,61,176,237,357,5350,5707,5944
2009Q1,-17,163,146,119,4685,4804,4950
2009Q2,58,189,247,61,4885,4946,5193
2009Q3,-4,199,195,82,4941,5023,5218
2009Q4,171,132,303,243,4959,5202,5505
2010Q1,-106,139,33,168,4206,4374,4407
2010Q2,34,139,173,82,4568,4650,4823
2010Q3,173,159,332,46,4788,4834,5166
2010Q4,122,149,271,228,4988,5216,5487
2011Q1,-206,128,-78,286,5170,5456,5378
2011Q2,42,125,167,-22,4818,4796,4963
2011Q3,38,119,157,272,4941,5213,5370
2011Q4,39,119,158,28,4797,4825,4983
2012Q1,77,116,193,212,5307,5519,5712
2012Q2,14,117,131,214,5239,5453,5584
2012Q3,16,108,124,98,5354,5452,5576
2012Q4,65,117,182,42,5555,5597,5779
2013Q1,14,143,157,-1,5885,5884,6041
2013Q2,16,128,144,95,6457,6552,6696
2013Q3,42,121,163,51,6243,6294,6457
2013Q4,65,122,187,70,6262,6332,6519
2014Q1,22,130,152,-1,6260,6259,6411
2014Q2,16,125,141,207,6622,6829,6970
2014Q3,70,142,212,35,6348,6383,6595
2014Q4,42,149,191,-5,6003,5998,6189
2015Q1,30,135,165,103,5983,6086,6251
2015Q2,21,127,148,14,5970,5984,6132
2015Q3,60,123,183,294,6123,6417,6600
2015Q4,13,100,113,132,5957,6089,6202
2016Q1,39,112,151,89,7412,7501,7652
2016Q2,42,144,186,25,6470,6495,6681
2016Q3,40,152,192,185,5968,6153,6345
2016Q4,176,206,382,10,7304,7314,7696
2017Q1,60,145,205,48,7137,7185,7390
2017Q2,51,176,227,0,6848,6848,7075
2017Q3,31,164,195,52,6513,6565,6760
2017Q4,237,165,402,38,6725,6763,7165
2018Q1,45,160,205,129,6867,6996,7201
2018Q2,55,148,203,11,7519,7530,7733
2018Q3,3,161,164,46,8503,8549,8713
2018Q4,44,144,188,109,10438,10547,10735
2019Q1,41,182,223,2,6492,6494,6717
2019Q2,29,213,242,102,5808,5910,6152
2019Q3,16,218,234,509,6443,6952,7186
2019Q4,29,191,220,266,6866,7132,7352
2020Q1,0,153,153,2,6283,6285,6438
2020Q2,29,65,94,102,6681,6783,6877
2020Q3,16,69,85,509,6275,6784,6869
2020Q4,29,72,101,266,5788,6054,6155
2021Q1,0,82,82,0,6866,6866,6948
2021Q2,0,84,84,0,6056,6056,6140
2021Q3,0,98,98,0,7135,7135,7233
2021Q4,0,118,118,0,6824,6824,6942
2022Q1,0,141,141,0,7269,7269,7410
2022Q2,0,206,206,0,6926,6926,7132
2022Q3,0,197,197,0,7886,7886,8083
2022Q4,0,214,214,0,6835,6835,7049
2023Q1,0,223,223,0,6976,6976,7199
2023Q2,0,211,211,0,7227,7227,7438
2023Q3,0,218,218,0,6938,6938,7156
2023Q4,0,199,199,0,7297,7297,7496
2024Q1,0,245,245,0,6807,6807,7052
2024Q2,298,285,583,0,7103,7103,7686
2024Q3,891,432,1323,0,7110,7110,8433
2024Q4,0,284,284,0,7318,7318,7602
2025Q1,0,284,284,0,7403,7403,7687
2025Q2,0,264,264,0,7483,7483,7747
2025Q3,0,338,338,0,7502,7502,7840
2025Q4,0,334,334,0,7775,7775,8109
