time_period,muv7,muv8,_neg_fkkm,flmt,fzja,cgdp,flud,cgdr,cgds,fluz,ikbo
1997,6301,-446,-1733,31,0,2484,6637,0,11247,11247,17884
1998,7274,874,-1377,-1,0,2554,9324,0,10452,10452,19776
1999,8323,120,-3171,11,0,2459,7742,0,10570,10570,18312
2000,8347,236,-2084,6,0,3230,9735,0,12125,12125,21860
2001,7483,-50,-4560,24,0,3579,6476,0,13684,13684,20160
2002,7979,164,-3099,10,0,3814,8868,0,13395,13395,22263
2003,9397,115,-3560,18,0,4110,10080,0,15106,15106,25186
2004,9329,9,-3592,-3,0,4448,10191,0,15672,15672,25863
2005,10577,154,-3655,106,0,4759,11941,0,20254,20254,32195
2006,10523,165,-3570,8,0,5357,12483,0,20818,20818,33301
2007,10289,353,-3523,6,0,5714,12839,0,17548,17548,30387
2008,10883,-190,-4862,5,0,6257,12093,0,23373,23373,35466
2009,12425,-277,-5392,-14,0,7123,13865,0,22283,22283,36148
2010,12890,182,-3046,-18,0,7846,17854,0,22059,22059,39913
2011,13119,36,-3144,-17,0,8559,18553,0,23049,23049,41602
2012,13680,-98,-3110,-39,0,8446,18879,0,24772,24772,43651
2013,15875,591,-3675,-15,0,10552,23328,0,28248,28248,51576
2014,14472,1678,-4416,-3,0,9783,21514,0,28732,28732,50246
2015,15651,854,-4913,1,0,9651,21244,0,28024,28024,49268
2016,15794,-329,-5026,0,0,10571,21010,0,31372,31372,52382
2017,15475,-2011,-4302,2,0,10476,19640,0,31169,31169,50809
2018,17340,-971,-4450,-7,0,10681,22593,0,37303,37303,59896
2019,17011,-126,-4492,2,0,11744,24139,0,29884,29884,54023
2020,19296,991,-5201,3,0,10378,25467,0,29374,29374,54841
2021,0,0,0,0,5813,8780,14593,0,31305,31305,45898
2022,0,0,0,0,9319,9620,18939,0,33801,33801,52740
2023,0,0,0,1085,8216,6876,16177,0,33280,33280,49457
2024,0,0,0,0,3250,10981,14231,0,33789,33789,48020
2025,0,0,0,0,1302,11109,12411,0,35447,35447,47858
1997Q1,1659,0,-430,2,0,704,1935,0,2752,2752,4687
1997Q2,1620,0,-327,6,0,591,1890,0,2677,2677,4567
1997Q3,1608,0,-513,2,0,594,1691,0,2845,2845,4536
1997Q4,1414,-446,-463,21,0,595,1121,0,2973,2973,4094
1998Q1,2227,0,-321,2,0,677,2585,0,2619,2619,5204
1998Q2,1437,0,-288,0,0,605,1754,0,2547,2547,4301
1998Q3,1504,0,-273,-5,0,678,1904,0,2580,2580,4484
1998Q4,2106,874,-495,2,0,594,3081,0,2706,2706,5787
1999Q1,2685,0,-1084,14,0,636,2251,0,2513,2513,4764
1999Q2,1899,0,-743,1,0,660,1817,0,2857,2857,4674
1999Q3,2160,0,-883,0,0,622,1899,0,2607,2607,4506
1999Q4,1579,120,-461,-4,0,541,1775,0,2593,2593,4368
2000Q1,1720,0,-497,2,0,914,2139,0,2883,2883,5022
2000Q2,2078,0,-547,0,0,659,2190,0,2864,2864,5054
2000Q3,2204,0,-483,3,0,820,2544,0,3451,3451,5995
2000Q4,2345,236,-557,1,0,837,2862,0,2927,2927,5789
2001Q1,1822,1,-555,3,0,668,1939,0,3402,3402,5341
2001Q2,2508,0,-830,3,0,1061,2742,0,3372,3372,6114
2001Q3,1009,0,-2052,17,0,999,-27,0,3380,3380,3353
2001Q4,2144,-51,-1123,1,0,851,1822,0,3530,3530,5352
2002Q1,1740,0,-512,2,0,737,1967,0,3430,3430,5397
