time_period,fnsv,fntc,ikbp,gttb
1997,-5977,-117,-6094,-3527
1998,-8934,78,-8856,-5979
1999,-7371,-485,-7856,-4844
2000,-9354,-609,-9963,-5846
2001,-6045,-673,-6718,-2518
2002,-8304,-892,-9196,-4629
2003,-9672,-906,-10578,-5533
2004,-9484,-1331,-10815,-5174
2005,-11211,-1349,-12560,-6178
2006,-11582,-745,-12327,-5709
2007,-11954,-1553,-13507,-6123
2008,-11226,-2408,-13634,-5121
2009,-12974,-2308,-15282,-6029
2010,-17045,-2985,-20030,-9261
2011,-18149,-2759,-20908,-9517
2012,-18249,-2751,-21000,-9695
2013,-22677,-3186,-25863,-12424
2014,-20818,-3263,-24081,-11345
2015,-20635,-3448,-24083,-11200
2016,-20099,-3909,-24008,-10123
2017,-18611,-3808,-22419,-8812
2018,-21833,-3681,-25514,-11733
2019,-23220,-3396,-26616,-11526
2020,-25034,-3468,-28502,-14269
2021,-14211,-4424,-18635,-5789
2022,-18181,-4885,-23066,-9299
2023,-15326,-4842,-20168,-9297
2024,-11796,-5451,-17247,-2061
2025,-11191,-5284,-16475,-1302
1997Q1,-1810,1,-1809,-1104
1997Q2,-1695,187,-1508,-948
1997Q3,-1488,-133,-1621,-1008
1997Q4,-984,-172,-1156,-467
1998Q1,-2486,171,-2315,-1530
1998Q2,-1656,-113,-1769,-1099
1998Q3,-1813,-4,-1817,-1065
1998Q4,-2979,24,-2955,-2285
1999Q1,-2155,-109,-2264,-1510
1999Q2,-1731,-20,-1751,-952
1999Q3,-1808,-199,-2007,-1248
1999Q4,-1677,-157,-1834,-1134
2000Q1,-2043,91,-1952,-858
2000Q2,-2104,-206,-2310,-1413
2000Q3,-2450,-313,-2763,-1692
2000Q4,-2757,-181,-2938,-1883
2001Q1,-1817,-27,-1844,-1040
2001Q2,-2645,-204,-2849,-1634
2001Q3,131,-252,-121,1036
2001Q4,-1714,-190,-1904,-880
2002Q1,-1829,-349,-2178,-1219
2002Q2,-2570,-184,-2754,-1511
2002Q3,-1370,-311,-1681,-439
2002Q4,-2535,-48,-2583,-1460
2003Q1,-1969,-205,-2174,-1217
2003Q2,-3008,-302,-3310,-1909
2003Q3,-2712,-147,-2859,-1455
2003Q4,-1983,-252,-2235,-952
2004Q1,-1968,-422,-2390,-1251
2004Q2,-2365,-265,-2630,-1368
2004Q3,-2684,-278,-2962,-1511
2004Q4,-2467,-366,-2833,-1044
2005Q1,-3066,-361,-3427,-1874
2005Q2,-2274,-87,-2361,-1239
2005Q3,-3423,-495,-3918,-1838
2005Q4,-2448,-406,-2854,-1227
2006Q1,-2856,-363,-3219,-1391
2006Q2,-2392,-348,-2740,-1246
2006Q3,-2922,148,-2774,-1061
2006Q4,-3412,-182,-3594,-2011
2007Q1,-2614,-429,-3043,-1155
2007Q2,-2528,-530,-3058,-1200
2007Q3,-2799,-327,-3126,-1336
2007Q4,-4013,-267,-4280,-2432
2008Q1,-3438,-581,-4019,-1889
2008Q2,-2990,-666,-3656,-1787
2008Q3,-2785,-757,-3542,-1373
2008Q4,-2013,-404,-2417,-72
2009Q1,-3158,-592,-3750,-1701
2009Q2,-3780,-631,-4411,-2161
2009Q3,-3192,-606,-3798,-1448
2009Q4,-2844,-479,-3323,-719
2010Q1,-3856,-700,-4556,-2006
2010Q2,-3525,-780,-4305,-1653
2010Q3,-4098,-825,-4923,-2382
2010Q4,-5566,-680,-6246,-3220
2011Q1,-4861,-533,-5394,-2580
2011Q2,-3633,-837,-4470,-2252
2011Q3,-5093,-559,-5652,-2671
2011Q4,-4562,-830,-5392,-2014
2012Q1,-4573,-615,-5188,-2405
2012Q2,-4155,-613,-4768,-2308
2012Q3,-4468,-724,-5192,-2315
2012Q4,-5053,-799,-5852,-2667
2013Q1,-5518,-888,-6406,-3506
2013Q2,-5737,-738,-6475,-3428
2013Q3,-6063,-771,-6834,-3365
2013Q4,-5359,-789,-6148,-2125
2014Q1,-4927,-900,-5827,-3030
2014Q2,-5638,-672,-6310,-2847
2014Q3,-3806,-854,-4660,-1651
2014Q4,-6447,-837,-7284,-3817
2015Q1,-4931,-858,-5789,-3014
2015Q2,-5006,-942,-5948,-2963
2015Q3,-4121,-714,-4835,-1271
2015Q4,-6577,-934,-7511,-3952
2016Q1,-4813,-974,-5787,-2611
2016Q2,-4632,-1053,-5685,-2220
2016Q3,-5633,-847,-6480,-3164
2016Q4,-5021,-1035,-6056,-2128
2017Q1,-4050,-939,-4989,-1995
2017Q2,-5968,-1004,-6972,-3557
2017Q3,-4867,-922,-5789,-2551
2017Q4,-3726,-943,-4669,-709
2018Q1,-5089,-764,-5853,-2685
2018Q2,-4758,-977,-5735,-2630
2018Q3,-6429,-957,-7386,-3773
2018Q4,-5557,-983,-6540,-2645
2019Q1,-5980,-1010,-6990,-3647
2019Q2,-5454,-981,-6435,-2710
2019Q3,-6058,-582,-6640,-3341
2019Q4,-5728,-823,-6551,-1828
2020Q1,-5129,-1102,-6231,-3108
2020Q2,-7931,-1028,-8959,-5044
2020Q3,-4527,-576,-5103,-1825
2020Q4,-7447,-762,-8209,-4292
2021Q1,-2550,-1098,-3648,6
2021Q2,-2960,-1176,-4136,-802
2021Q3,-4244,-1033,-5277,-2407
2021Q4,-4457,-1117,-5574,-2586
2022Q1,-4799,-1183,-5982,-2554
2022Q2,-4864,-1171,-6035,-2465
2022Q3,-3921,-1195,-5116,-2203
2022Q4,-4597,-1336,-5933,-2077
2023Q1,-4212,-1146,-5358,-3192
2023Q2,-4151,-1155,-5306,-2175
2023Q3,-3853,-1192,-5045,-2310
2023Q4,-3110,-1349,-4459,-1620
2024Q1,-4613,-1293,-5906,-1620
2024Q2,-2280,-1376,-3656,-773
2024Q3,-778,-1363,-2141,891
2024Q4,-4125,-1419,-5544,-559
2025Q1,-3456,-1317,-4773,-561
2025Q2,-2730,-1300,-4030,-424
2025Q3,-2764,-1351,-4115,-139
2025Q4,-2241,-1316,-3557,-178
