time_period,fhiv,fhja,fhiu,fhjd,gttx,fhjf,ebgo,gtty,fhjb,fhit,fhjl,fhld
1997,0,0,0,0,812,57,178,1047,1047,1047,68,1115
1998,0,0,0,0,357,56,43,456,456,456,89,545
1999,0,0,0,0,285,47,0,332,332,332,152,484
2000,0,0,0,0,989,82,0,1071,1071,1071,165,1236
2001,0,0,0,0,543,26,322,891,891,891,177,1068
2002,0,0,0,0,296,0,0,296,296,296,172,468
2003,0,0,0,0,622,2,0,624,624,624,218,842
2004,0,0,0,0,1062,49,0,1111,1111,1111,193,1304
2005,0,0,0,0,1402,80,0,1482,1482,1482,337,1819
2006,0,0,0,0,618,50,0,668,668,668,631,1299
2007,0,0,0,0,707,150,0,857,857,857,783,1640
2008,0,0,0,0,972,417,0,1389,1389,1389,1074,2463
2009,0,0,0,0,640,215,0,855,855,855,1515,2370
2010,0,0,0,0,758,439,0,1197,1197,1197,1289,2486
2011,0,0,0,0,603,419,0,1022,1022,1022,1277,2299
2012,0,0,0,0,438,291,0,729,729,729,1690,2419
2013,0,0,0,0,297,620,0,917,917,917,1388,2305
2014,0,0,0,0,1054,567,0,1621,1621,1621,585,2206
2015,0,0,0,0,454,461,0,915,915,915,618,1533
2016,0,0,0,0,359,400,0,759,759,759,1273,2032
2017,0,0,0,0,310,447,0,757,757,757,881,1638
2018,0,0,0,0,676,503,0,1179,1179,1179,1161,2340
2019,0,0,0,0,529,681,0,1210,1210,1210,1353,2563
2020,0,0,0,0,529,681,0,1210,1210,1210,958,2168
2021,0,0,0,0,0,0,0,0,0,0,904,904
2022,0,0,0,0,0,0,0,0,0,0,874,874
2023,0,0,0,0,0,0,0,0,0,0,1090,1090
2024,0,0,0,0,0,0,0,0,0,0,2026,2026
2025,0,0,0,0,0,0,0,0,0,0,1721,1721
1997Q1,0,0,0,0,234,10,119,363,363,363,24,387
1997Q2,0,0,0,0,51,6,20,77,77,77,15,92
1997Q3,0,0,0,0,211,2,20,233,233,233,14,247
1997Q4,0,0,0,0,316,39,19,374,374,374,15,389
1998Q1,0,0,0,0,62,4,19,85,85,85,16,101
1998Q2,0,0,0,0,50,0,8,58,58,58,8,66
1998Q3,0,0,0,0,139,12,8,159,159,159,42,201
1998Q4,0,0,0,0,106,40,8,154,154,154,23,177
1999Q1,0,0,0,0,53,0,0,53,53,53,34,87
1999Q2,0,0,0,0,173,4,0,177,177,177,25,202
1999Q3,0,0,0,0,27,1,0,28,28,28,35,63
1999Q4,0,0,0,0,32,42,0,74,74,74,58,132
2000Q1,0,0,0,0,179,55,0,234,234,234,31,265
2000Q2,0,0,0,0,480,7,0,487,487,487,41,528
2000Q3,0,0,0,0,130,1,0,131,131,131,39,170
2000Q4,0,0,0,0,200,19,0,219,219,219,54,273
2001Q1,0,0,0,0,77,8,0,85,85,85,47,132
2001Q2,0,0,0,0,223,16,249,488,488,488,33,521
2001Q3,0,0,0,0,71,0,59,130,130,130,23,153
2001Q4,0,0,0,0,172,2,14,188,188,188,74,262
2002Q1,0,0,0,0,35,0,0,35,35,35,28,63
2002Q2,0,0,0,0,26,0,0,26,26,26,33,59
2002Q3,0,0,0,0,28,0,0,28,28,28,21,49
2002Q4,0,0,0,0,207,0,0,207,207,207,90,297
2003Q1,0,0,0,0,99,2,0,101,101,101,52,153
2003Q2,0,0,0,0,43,0,0,43,43,43,49,92
2003Q3,0,0,0,0,223,0,0,223,223,223,29,252
2003Q4,0,0,0,0,257,0,0,257,257,257,88,345
2004Q1,0,0,0,0,495,22,0,517,517,517,55,572
2004Q2,0,0,0,0,382,0,0,382,382,382,53,435
2004Q3,0,0,0,0,20,7,0,27,27,27,31,58
2004Q4,0,0,0,0,165,20,0,185,185,185,54,239
2005Q1,0,0,0,0,482,3,0,485,485,485,101,586
2005Q2,0,0,0,0,363,30,0,393,393,393,116,509
2005Q3,0,0,0,0,80,1,0,81,81,81,45,126
2005Q4,0,0,0,0,477,46,0,523,523,523,75,598
2006Q1,0,0,0,0,285,8,0,293,293,293,153,446
2006Q2,0,0,0,0,81,2,0,83,83,83,179,262
2006Q3,0,0,0,0,125,8,0,133,133,133,150,283
2006Q4,0,0,0,0,127,32,0,159,159,159,149,308
2007Q1,0,0,0,0,143,10,0,153,153,153,108,261
