time_period,flwd,flwh,flwb,flwl,hmly,jcwm,flwq,flwi,flwa,flwt,flyl
1997,24,456,480,0,24,24,0,24,504,102,606
1998,146,496,642,0,27,27,0,27,669,137,806
1999,22,551,573,0,29,29,0,29,602,140,742
2000,22,625,647,0,55,55,0,55,702,141,843
2001,18,515,533,0,188,188,0,188,721,274,995
2002,15,627,642,0,197,197,0,197,839,304,1143
2003,16,472,488,0,130,130,0,130,618,289,907
2004,13,580,593,0,109,109,0,109,702,512,1214
2005,16,802,818,0,1249,1249,0,1249,2067,595,2662
2006,13,834,847,0,1356,1356,0,1356,2203,623,2826
2007,11,1009,1020,0,76,76,0,76,1096,794,1890
2008,73,1205,1278,0,0,0,0,0,1278,1114,2392
2009,49,1120,1169,0,0,0,0,0,1169,1142,2311
2010,101,2058,2159,0,0,0,0,0,2159,1236,3395
2011,146,2063,2209,0,0,0,0,0,2209,1081,3290
2012,28,1905,1933,0,0,0,0,0,1933,1329,3262
2013,186,2371,2557,0,10,10,0,10,2567,1169,3736
2014,82,3302,3384,0,40,40,0,40,3424,885,4309
2015,92,2467,2559,0,1,1,0,1,2560,827,3387
2016,12,2157,2169,0,0,0,0,0,2169,1462,3631
2017,106,2118,2224,0,0,0,7977,7977,10201,1202,11403
2018,107,3642,3749,0,0,0,0,0,3749,1307,5056
2019,212,2222,2434,0,0,0,0,0,2434,1451,3885
2020,0,3479,3479,0,0,0,0,0,3479,1705,5184
2021,0,2270,2270,0,0,0,0,0,2270,872,3142
2022,181,2911,3092,0,0,0,0,0,3092,1187,4279
2023,194,4297,4491,0,0,0,0,0,4491,1597,6088
2024,0,5606,5606,0,0,0,0,0,5606,965,6571
2025,0,5421,5421,0,0,0,0,0,5421,1132,6553
1997Q1,8,189,197,0,0,0,0,0,197,36,233
1997Q2,3,32,35,0,8,8,0,8,43,31,74
1997Q3,7,92,99,0,8,8,0,8,107,19,126
1997Q4,6,143,149,0,8,8,0,8,157,16,173
1998Q1,6,195,201,0,8,8,0,8,209,51,260
1998Q2,140,91,231,0,6,6,0,6,237,20,257
1998Q3,0,96,96,0,7,7,0,7,103,59,162
1998Q4,0,114,114,0,6,6,0,6,120,7,127
1999Q1,9,140,149,0,7,7,0,7,156,33,189
1999Q2,4,118,122,0,7,7,0,7,129,56,185
1999Q3,6,119,125,0,8,8,0,8,133,13,146
1999Q4,3,174,177,0,7,7,0,7,184,38,222
2000Q1,8,152,160,0,14,14,0,14,174,14,188
2000Q2,3,69,72,0,14,14,0,14,86,8,94
2000Q3,8,122,130,0,13,13,0,13,143,9,152
2000Q4,3,282,285,0,14,14,0,14,299,110,409
2001Q1,6,136,142,0,13,13,0,13,155,62,217
2001Q2,3,113,116,0,58,58,0,58,174,70,244
2001Q3,6,101,107,0,59,59,0,59,166,65,231
2001Q4,3,165,168,0,58,58,0,58,226,77,303
2002Q1,6,90,96,0,11,11,0,11,107,65,172
2002Q2,2,229,231,0,62,62,0,62,293,75,368
2002Q3,5,134,139,0,62,62,0,62,201,89,290
2002Q4,2,174,176,0,62,62,0,62,238,75,313
2003Q1,6,108,114,0,62,62,0,62,176,80,256
2003Q2,3,130,133,0,23,23,0,23,156,76,232
2003Q3,5,74,79,0,22,22,0,22,101,87,188
2003Q4,2,160,162,0,23,23,0,23,185,46,231
2004Q1,4,155,159,0,22,22,0,22,181,108,289
2004Q2,2,87,89,0,29,29,0,29,118,128,246
2004Q3,5,136,141,0,29,29,0,29,170,128,298
2004Q4,2,202,204,0,29,29,0,29,233,148,381
2005Q1,5,117,122,0,29,29,0,29,151,161,312
2005Q2,2,259,261,0,26,26,0,26,287,195,482
2005Q3,7,203,210,0,26,26,0,26,236,117,353
2005Q4,2,223,225,0,1168,1168,0,1168,1393,122,1515
2006Q1,6,89,95,0,26,26,0,26,121,149,270
2006Q2,1,507,508,0,1178,1178,0,1178,1686,163,1849
2006Q3,5,150,155,0,76,76,0,76,231,144,375
2006Q4,1,88,89,0,76,76,0,76,165,167,332
2007Q1,5,161,166,0,76,76,0,76,242,183,425
2007Q2,1,596,597,0,0,0,0,0,597,205,802
2007Q3,4,120,124,0,0,0,0,0,124,178,302
2007Q4,1,132,133,0,0,0,0,0,133,228,361
2008Q1,54,259,313,0,0,0,0,0,313,304,617
2008Q2,1,482,483,0,0,0,0,0,483,281,764
2008Q3,3,142,145,0,0,0,0,0,145,245,390
2008Q4,15,322,337,0,0,0,0,0,337,284,621
2009Q1,44,171,215,0,0,0,0,0,215,228,443
2009Q2,1,480,481,0,0,0,0,0,481,319,800
2009Q3,1,79,80,0,0,0,0,0,80,348,428
2009Q4,3,390,393,0,0,0,0,0,393,247,640
2010Q1,46,222,268,0,0,0,0,0,268,287,555
2010Q2,1,302,303,0,0,0,0,0,303,282,585
2010Q3,11,643,654,0,0,0,0,0,654,370,1024
2010Q4,43,891,934,0,0,0,0,0,934,297,1231
2011Q1,73,252,325,0,0,0,0,0,325,326,651
2011Q2,4,235,239,0,0,0,0,0,239,229,468
2011Q3,4,512,516,0,0,0,0,0,516,285,801
2011Q4,65,1064,1129,0,0,0,0,0,1129,241,1370
2012Q1,18,332,350,0,0,0,0,0,350,282,632
2012Q2,0,472,472,0,0,0,0,0,472,254,726
2012Q3,0,210,210,0,0,0,0,0,210,469,679
2012Q4,10,891,901,0,0,0,0,0,901,324,1225
2013Q1,93,313,406,0,0,0,0,0,406,285,691
2013Q2,0,383,383,0,0,0,0,0,383,162,545
2013Q3,0,360,360,0,10,10,0,10,370,422,792
2013Q4,93,1315,1408,0,0,0,0,0,1408,300,1708
2014Q1,82,164,246,0,40,40,0,40,286,106,392
2014Q2,0,837,837,0,0,0,0,0,837,159,996
2014Q3,0,228,228,0,0,0,0,0,228,486,714
2014Q4,0,2073,2073,0,0,0,0,0,2073,134,2207
2015Q1,12,283,295,0,1,1,0,1,296,119,415
2015Q2,80,905,985,0,0,0,0,0,985,151,1136
2015Q3,0,362,362,0,0,0,0,0,362,417,779
2015Q4,0,917,917,0,0,0,0,0,917,140,1057
2016Q1,12,198,210,0,0,0,0,0,210,142,352
2016Q2,0,441,441,0,0,0,0,0,441,154,595
2016Q3,0,331,331,0,0,0,0,0,331,957,1288
2016Q4,0,1187,1187,0,0,0,0,0,1187,209,1396
2017Q1,17,410,427,0,0,0,0,0,427,153,580
2017Q2,89,656,745,0,0,0,0,0,745,205,950
2017Q3,0,271,271,0,0,0,7977,7977,8248,639,8887
2017Q4,0,781,781,0,0,0,0,0,781,205,986
2018Q1,107,393,500,0,0,0,0,0,500,137,637
2018Q2,0,1063,1063,0,0,0,0,0,1063,160,1223
2018Q3,0,253,253,0,0,0,0,0,253,700,953
2018Q4,0,1933,1933,0,0,0,0,0,1933,310,2243
2019Q1,97,301,398,0,0,0,0,0,398,207,605
2019Q2,0,416,416,0,0,0,0,0,416,168,584
2019Q3,0,320,320,0,0,0,0,0,320,790,1110
2019Q4,115,1185,1300,0,0,0,0,0,1300,286,1586
2020Q1,0,456,456,0,0,0,0,0,456,285,741
