time_period,fntm,fntn,fntl,fntq,fntr,fnto,fntk,fnts,fnvq
1997,-24,-456,-480,-24,1047,1023,543,-34,509
1998,-146,-496,-642,-27,456,429,-213,-48,-261
1999,-22,-551,-573,-29,332,303,-270,12,-258
2000,-22,-625,-647,-55,1071,1016,369,24,393
2001,-18,-515,-533,-188,891,703,170,-97,73
2002,-15,-627,-642,-197,296,99,-543,-132,-675
2003,-16,-472,-488,-130,624,494,6,-71,-65
2004,-13,-580,-593,-109,1111,1002,409,-319,90
2005,-16,-802,-818,-1249,1482,233,-585,-258,-843
2006,-13,-834,-847,-1356,668,-688,-1535,8,-1527
2007,-11,-1009,-1020,-76,857,781,-239,-11,-250
2008,-73,-1205,-1278,0,1389,1389,111,-40,71
2009,-49,-1120,-1169,0,855,855,-314,373,59
2010,-101,-2058,-2159,0,1197,1197,-962,53,-909
2011,-146,-2063,-2209,0,1022,1022,-1187,196,-991
2012,-28,-1905,-1933,0,729,729,-1204,361,-843
2013,-186,-2371,-2557,-10,917,907,-1650,219,-1431
2014,-82,-3302,-3384,-40,1621,1581,-1803,-300,-2103
2015,-92,-2467,-2559,-1,915,914,-1645,-209,-1854
2016,-12,-2157,-2169,0,759,759,-1410,-189,-1599
2017,-106,-2118,-2224,0,-7220,-7220,-9444,-321,-9765
2018,-107,-3642,-3749,0,1179,1179,-2570,-146,-2716
2019,-212,-2222,-2434,0,1210,1210,-1224,-98,-1322
2020,0,-3479,-3479,0,1210,1210,-2269,-747,-3016
2021,0,-2270,-2270,0,0,0,-2270,32,-2238
2022,-181,-2911,-3092,0,0,0,-3092,-313,-3405
2023,-194,-4297,-4491,0,0,0,-4491,-507,-4998
2024,0,-5606,-5606,0,0,0,-5606,1061,-4545
2025,0,-5421,-5421,0,0,0,-5421,589,-4832
1997Q1,-8,-189,-197,0,363,363,166,-12,154
1997Q2,-3,-32,-35,-8,77,69,34,-16,18
1997Q3,-7,-92,-99,-8,233,225,126,-5,121
1997Q4,-6,-143,-149,-8,374,366,217,-1,216
1998Q1,-6,-195,-201,-8,85,77,-124,-35,-159
1998Q2,-140,-91,-231,-6,58,52,-179,-12,-191
1998Q3,0,-96,-96,-7,159,152,56,-17,39
1998Q4,0,-114,-114,-6,154,148,34,16,50
1999Q1,-9,-140,-149,-7,53,46,-103,1,-102
1999Q2,-4,-118,-122,-7,177,170,48,-31,17
1999Q3,-6,-119,-125,-8,28,20,-105,22,-83
1999Q4,-3,-174,-177,-7,74,67,-110,20,-90
2000Q1,-8,-152,-160,-14,234,220,60,17,77
2000Q2,-3,-69,-72,-14,487,473,401,33,434
2000Q3,-8,-122,-130,-13,131,118,-12,30,18
2000Q4,-3,-282,-285,-14,219,205,-80,-56,-136
2001Q1,-6,-136,-142,-13,85,72,-70,-15,-85
2001Q2,-3,-113,-116,-58,488,430,314,-37,277
2001Q3,-6,-101,-107,-59,130,71,-36,-42,-78
2001Q4,-3,-165,-168,-58,188,130,-38,-3,-41
2002Q1,-6,-90,-96,-11,35,24,-72,-37,-109
2002Q2,-2,-229,-231,-62,26,-36,-267,-42,-309
2002Q3,-5,-134,-139,-62,28,-34,-173,-68,-241
2002Q4,-2,-174,-176,-62,207,145,-31,15,-16
2003Q1,-6,-108,-114,-62,101,39,-75,-28,-103
2003Q2,-3,-130,-133,-23,43,20,-113,-27,-140
2003Q3,-5,-74,-79,-22,223,201,122,-58,64
2003Q4,-2,-160,-162,-23,257,234,72,42,114
2004Q1,-4,-155,-159,-22,517,495,336,-53,283
2004Q2,-2,-87,-89,-29,382,353,264,-75,189
2004Q3,-5,-136,-141,-29,27,-2,-143,-97,-240
2004Q4,-2,-202,-204,-29,185,156,-48,-94,-142
2005Q1,-5,-117,-122,-29,485,456,334,-60,274
2005Q2,-2,-259,-261,-26,393,367,106,-79,27
2005Q3,-7,-203,-210,-26,81,55,-155,-72,-227
2005Q4,-2,-223,-225,-1168,523,-645,-870,-47,-917
2006Q1,-6,-89,-95,-26,293,267,172,4,176
2006Q2,-1,-507,-508,-1178,83,-1095,-1603,16,-1587
2006Q3,-5,-150,-155,-76,133,57,-98,6,-92
2006Q4,-1,-88,-89,-76,159,83,-6,-18,-24
2007Q1,-5,-161,-166,-76,153,77,-89,-75,-164
2007Q2,-1,-596,-597,0,51,51,-546,-65,-611
2007Q3,-4,-120,-124,0,91,91,-33,61,28
2007Q4,-1,-132,-133,0,562,562,429,68,497
2008Q1,-54,-259,-313,0,590,590,277,-17,260
2008Q2,-1,-482,-483,0,444,444,-39,7,-32
2008Q3,-3,-142,-145,0,98,98,-47,-35,-82
2008Q4,-15,-322,-337,0,257,257,-80,5,-75
2009Q1,-44,-171,-215,0,158,158,-57,163,106
