time_period,_neg_hjym,_neg_hdny,_neg_n2rn,_neg_n2sv,_neg_hbvi,_neg_xbmw,_neg_hhzc,_neg_zpnn,_neg_xbmm,_neg_ltcv,_neg_hbnr
1997,20729,16019,8444,45192,-9205,26864,17659,-1156,180026,-2380,239341
1998,48620,13977,33114,95711,-2269,54732,52463,3043,-22609,-164,128444
1999,101311,20700,28349,150360,775,12932,13707,-2685,30340,-639,191083
2000,146612,24348,14659,185619,20341,46394,66735,-1553,246942,3915,501658
2001,16438,25867,11342,53647,17400,110481,127881,-8417,88265,-3085,258291
2002,28225,31130,22030,81385,18494,-29798,-11304,-1001,53640,-459,122261
2003,18661,19910,12590,51161,6033,19100,25133,5401,272287,-1559,352423
2004,21569,29804,19185,70558,39089,88890,127979,8166,368501,196,575400
2005,21213,41961,24604,87778,80898,57744,138642,-5974,502554,656,723656
2006,25814,46221,4942,76977,40441,190336,230777,-20826,384874,-426,671376
2007,66185,63434,54445,184064,32642,81994,114636,27793,682174,1191,1009858
2008,42455,39760,117871,200086,-64029,-200981,-265010,126329,-588026,-1338,-527959
2009,3057,10986,-46819,-32776,29471,47936,77407,-31944,-320004,5763,-301554
2010,23454,27569,-15255,35768,4927,-15942,-11015,-50819,246315,6070,226319
2011,27432,29564,-7038,49958,-62159,-52413,-114572,7540,114563,4948,62437
2012,-1222,20517,-11633,7662,76413,36444,112857,-37572,-235353,7642,-144764
2013,7340,9835,11437,28612,1226,-55043,-53817,39519,-205719,4961,-186444
2014,-74263,-13463,17207,-70519,19854,45162,65016,13964,9112,7113,24686
2015,-14231,-1410,-23660,-39301,-17968,702,-17266,-87173,-128953,21079,-251614
2016,9021,-7549,22790,24262,-45241,-82950,-128191,11514,172731,6511,86827
2017,77706,29242,26580,133528,61439,25227,86666,15006,224759,6799,466758
2018,-43747,25559,-3380,-21568,-177950,33999,-143951,7739,258207,18566,118993
2019,7654,-22540,-1350,-16236,-9458,88711,79253,1937,-269551,-872,-205469
2020,-25019,-17045,55462,13398,4917,82717,87634,25818,376959,-2582,501227
2021,21191,59565,16351,97107,-51674,-1810,-53484,-27223,310983,17701,345084
2022,-8596,78938,45901,116243,-114992,43713,-71279,-48378,104169,-1075,99680
2023,25890,38860,-40966,23784,81035,175923,256958,1020,-23365,-3710,254687
2024,878,-17930,-39287,-56339,-31547,118673,87126,-10586,305827,-2311,323717
2025,10000,57091,-1477,65614,-18520,124737,106217,-9827,420619,9749,592372
1997Q1,4079,5217,4213,13509,3309,17464,20773,-490,72343,-1458,104677
1997Q2,2788,4460,797,8045,158,-2437,-2279,70,26534,225,32595
1997Q3,8394,5509,4054,17957,-8082,6467,-1615,-232,19823,336,36269
1997Q4,5468,833,-620,5681,-4590,5370,780,-504,61326,-1483,65800
1998Q1,4012,4206,4677,12895,26011,9873,35884,-626,6880,-998,54035
1998Q2,-2268,3417,11673,12822,-32914,33016,102,595,13886,309,27714
1998Q3,10964,5034,10023,26021,-2261,7846,5585,1531,34743,313,68193
1998Q4,35912,1320,6741,43973,6895,3997,10892,1543,-78118,212,-21498
1999Q1,5901,4322,2266,12489,22282,-8669,13613,-1519,72608,-837,96354
1999Q2,76839,4482,11141,92462,-9764,11957,2193,441,21491,202,116789
1999Q3,3690,7449,12359,23498,-17783,30902,13119,536,-48819,-759,-12425
1999Q4,14881,4447,2583,21911,6040,-21258,-15218,-2143,-14940,755,-9635
2000Q1,113162,8115,5692,126969,-14685,23826,9141,491,123643,-2465,257779
2000Q2,23966,3519,5756,33241,37398,6550,43948,-925,10436,546,87246
2000Q3,-4323,7297,9181,12155,17043,1787,18830,-525,61461,1530,93451
2000Q4,13807,5417,-5970,13254,-19415,14231,-5184,-594,51402,4304,63182
2001Q1,4043,6020,16966,27029,17088,40063,57151,-2332,164953,-2599,244202
2001Q2,8959,6555,750,16264,4615,24849,29464,1474,-54928,37,-7689
2001Q3,2012,8322,197,10531,-4978,29740,24762,-5842,-19236,-498,9717
2001Q4,1424,4970,-6571,-177,675,15829,16504,-1717,-2524,-25,12061
2002Q1,1796,8169,14371,24336,6897,-22539,-15642,-341,-5096,-528,2729
2002Q2,8436,9751,5145,23332,21926,16533,38459,-1967,-37903,22,21943
2002Q3,12617,10647,15739,39003,12874,-42227,-29353,1856,44847,682,57035
2002Q4,5376,2563,-13225,-5286,-23203,18435,-4768,-549,51792,-635,40554
2003Q1,12690,9179,7437,29306,-354,21326,20972,7677,88638,-1626,144967
2003Q2,1827,-1419,4713,5121,21660,605,22265,-2301,72479,-647,96917
2003Q3,3586,7928,6348,17862,13178,-22055,-8877,1348,63675,1303,75311
2003Q4,558,4222,-5908,-1128,-28451,19224,-9227,-1323,47495,-589,35228
2004Q1,4351,3857,-1316,6892,-3166,39978,36812,6269,217758,-525,267206
2004Q2,5179,7108,14072,26359,31628,-24974,6654,2417,35943,-595,70778
2004Q3,10560,9161,4941,24662,30575,23257,53832,8432,59835,-54,146707
2004Q4,1479,9678,1488,12645,-19948,50629,30681,-8952,54965,1370,90709
2005Q1,3473,10527,9642,23642,26797,7133,33930,4483,232653,-533,294175
2005Q2,2396,14271,4280,20947,16426,38921,55347,7026,97703,527,181550
2005Q3,7623,8686,6181,22490,51118,-12436,38682,-12274,94011,376,143285
2005Q4,7721,8477,4501,20699,-13443,24126,10683,-5209,78187,286,104646
2006Q1,5417,11977,4783,22177,22318,45922,68240,2532,265700,-465,358184
2006Q2,2344,12561,-8998,5907,6932,51409,58341,8443,12590,-210,85071
2006Q3,5645,13601,6386,25632,18427,8132,26559,-6038,106597,385,153135
2006Q4,12408,8082,2771,23261,-7236,84873,77637,-25763,-13,-136,74986
2007Q1,3180,16344,9982,29506,24177,45979,70156,-1365,327710,-824,425183
2007Q2,24218,14405,2319,40942,8879,60348,69227,19522,146262,67,276020
