time_period,hjyr,cyfv,n2r7,n2sa,xblw,xblx,hhzf,xbmn,hbns
1997,11599,5748,11037,28384,8028,29590,37618,178898,244900
1998,27231,-2277,35884,60838,48036,918,48954,26525,136317
1999,46164,5363,28750,80277,47823,84295,132118,11639,224034
2000,58368,8337,41294,107999,106004,79629,185633,231953,525585
2001,20269,-1721,20332,38880,-30351,40198,9847,231386,280113
2002,10838,3502,44280,58620,-275,62229,61954,40324,160898
2003,4193,6786,11020,21999,33564,103615,137179,231110,390288
2004,23465,7581,16581,47627,20621,120259,140880,402729,591236
2005,82457,5073,52150,139680,-7740,190604,182864,432350,754894
2006,54088,19847,39060,112995,-31261,197253,165992,455312,734299
2007,78213,24456,1908,104577,-7520,214494,206974,768678,1080229
2008,51053,6965,84393,142411,55291,114470,169761,-770254,-458082
2009,34925,6878,-35586,6217,19805,158347,178152,-441736,-257367
2010,43023,4839,-5552,42310,-34631,83395,48764,195481,286555
2011,22826,-2368,-3821,16637,-1497,44140,42643,35155,94435
2012,30612,-885,-69,29658,3172,-72230,-69058,-60996,-100396
2013,22168,14791,-1189,35770,27859,68111,95970,-249376,-117636
2014,13894,4997,17536,36427,19938,34330,54268,21479,112174
2015,25520,6902,-2336,30086,61145,47598,108743,-285603,-146774
2016,171535,10949,61230,243714,-91441,75694,-15747,-28870,199097
2017,42927,11844,43001,97772,85663,72741,158404,289752,545928
2018,52990,9333,-80236,-17913,608,123265,123873,105952,211912
2019,35923,-12125,-6972,16826,-20922,71326,50404,-201122,-133892
2020,25899,-2263,99176,122812,38560,18741,57301,391310,571423
2021,44644,-22285,51923,74282,-1828,140621,138793,166057,379132
2022,51665,24405,-1236,74834,-28531,-6790,-35321,120378,159891
2023,63824,10478,-62572,11730,-26284,102551,76267,251884,339881
2024,-2513,-8251,586,-10178,-3626,124723,121097,306845,417764
2025,27833,17539,12987,58359,34741,108508,143249,477127,678735
1997Q1,3844,2528,6979,13351,1323,7836,9159,74834,97344
1997Q2,3657,1530,2588,7775,2489,5571,8060,25220,41055
1997Q3,2215,1419,-745,2889,708,11177,11885,30473,45247
1997Q4,1883,271,2215,4369,3508,5006,8514,48371,61254
1998Q1,2502,1513,11209,15224,10386,9488,19874,22178,57276
1998Q2,5151,1614,7173,13938,1465,-11282,-9817,29172,33293
1998Q3,8470,-1848,10253,16875,1085,1937,3022,51921,71818
1998Q4,11108,-3556,7249,14801,35100,775,35875,-76746,-26070
1999Q1,8801,-669,8156,16288,-6039,22714,16675,71528,104491
1999Q2,3189,450,9110,12749,59626,45672,105298,-1034,117013
1999Q3,10844,3670,11368,25882,-6807,14656,7849,-29016,4715
1999Q4,23330,1912,116,25358,1043,1253,2296,-29839,-2185
2000Q1,6934,3535,17959,28428,77229,22922,100151,124683,253262
2000Q2,8687,2719,10265,21671,12629,5531,18160,49703,89534
2000Q3,37035,2848,9760,49643,2757,16980,19737,27564,96944
2000Q4,5712,-765,3310,8257,13389,34196,47585,30003,85845
2001Q1,8381,2590,9728,20699,-13579,25890,12311,215169,248179
2001Q2,6178,206,7337,13721,-2328,-1701,-4029,-10669,-977
2001Q3,2570,1400,1186,5156,-4940,10553,5613,12675,23444
2001Q4,3140,-5917,2081,-696,-9504,5456,-4048,14211,9467
2002Q1,-724,1572,-586,262,5374,6271,11645,7154,19061
2002Q2,3261,1160,9718,14139,199,22237,22436,1238,37813
2002Q3,6046,1573,23736,31355,-4122,12011,7889,16046,55290
2002Q4,2255,-803,11412,12864,-1726,21710,19984,15886,48734
2003Q1,458,2500,8639,11597,16297,7247,23544,101022,136163
2003Q2,874,1406,-7360,-5080,4019,17633,21652,102471,119043
2003Q3,1287,2603,3922,7812,7515,53526,61041,10873,79726
2003Q4,1574,277,5819,7670,5733,25209,30942,16744,55356
2004Q1,1328,2839,-9351,-5184,4310,66256,70566,202014,267396
2004Q2,7063,1039,13874,21976,6158,31204,37362,24127,83465
2004Q3,3617,3323,4788,11728,5328,19682,25010,113340,150078
2004Q4,11457,380,7270,19107,4825,3117,7942,63248,90297
2005Q1,8372,1170,5765,15307,5066,56109,61175,209379,285861
2005Q2,2666,1404,26878,30948,2652,51731,54383,114390,199721
2005Q3,64829,2691,15019,82539,-19444,18504,-940,80884,162483
2005Q4,6590,-192,4488,10886,3986,64260,68246,27697,106829
2006Q1,25304,3873,22119,51296,-15813,57101,41288,273606,366190
2006Q2,13590,5150,13543,32283,-18605,20399,1794,78782,112859
2006Q3,12303,8572,16105,36980,8704,63972,72676,54197,163853
2006Q4,2891,2252,-12707,-7564,-5547,55781,50234,48727,91397
2007Q1,12082,7545,10557,30184,-748,41624,40876,365659,436719
2007Q2,22394,5686,-11972,16108,-9750,93191,83441,182906,282455
2007Q3,14893,5444,6679,27016,-18796,62193,43397,127352,197765
2007Q4,28844,5781,-3356,31269,21774,17486,39260,92761,163290
2008Q1,27444,2923,9222,39589,10928,40135,51063,200858,291510
2008Q2,11441,4964,1860,18265,18009,32786,50795,-351566,-282506
2008Q3,1707,71,17955,19733,7799,18389,26188,-48160,-2239
2008Q4,10461,-993,55356,64824,18555,23160,41715,-571386,-464847
2009Q1,7415,2309,-10765,-1041,20340,55571,75911,-107789,-32919
2009Q2,4602,-609,-48529,-44536,8694,32279,40973,-121782,-125345
2009Q3,6006,4577,24517,35100,-14021,47156,33135,-122427,-54192
2009Q4,16902,601,-809,16694,4792,23341,28133,-89738,-44911
2010Q1,13207,5336,-7513,11030,-10123,69939,59816,41571,112417
2010Q2,2238,1001,-9197,-5958,-5094,-26982,-32076,98573,60539
2010Q3,13369,879,7261,21509,-11994,76911,64917,120314,206740
2010Q4,14209,-2377,3897,15729,-7420,-36473,-43893,-64977,-93141
2011Q1,16110,-2974,-21028,-7892,-11130,35040,23910,102657,118675
2011Q2,226,-844,10288,9670,1983,24957,26940,80,36690
2011Q3,-1231,1531,11137,11437,1283,-22272,-20989,50691,41139
2011Q4,7721,-81,-4218,3422,6367,6415,12782,-118273,-102069
2012Q1,12691,649,-762,12578,672,15559,16231,46340,75149
2012Q2,5191,946,2582,8719,1696,-27828,-26132,-60709,-78122
2012Q3,8175,3754,836,12765,-1595,-65645,-67240,41917,-12558
2012Q4,4555,-6234,-2725,-4404,2399,5684,8083,-88544,-84865
2013Q1,4756,3217,-25078,-17105,371,27630,28001,25601,36497
2013Q2,3259,3970,49750,56979,9653,-444,9209,-17013,49175
2013Q3,4451,6284,-11686,-951,11356,-8572,2784,-198488,-196655
2013Q4,9702,1320,-14175,-3153,6479,49497,55976,-59476,-6653
2014Q1,4920,2707,66175,73802,-20544,-3352,-23896,64983,114889
2014Q2,1184,-5264,-19255,-23335,18407,12205,30612,8137,15414
2014Q3,1904,4513,-21083,-14666,9301,18684,27985,77589,90908
2014Q4,5886,3041,-8301,626,12774,6793,19567,-129230,-109037
2015Q1,3271,7213,24036,34520,17970,3746,21716,-95262,-39026
2015Q2,7110,670,-28213,-20433,31944,21715,53659,-155229,-122003
2015Q3,9823,-453,-8293,1077,-711,17818,17107,-6058,12126
2015Q4,5316,-528,10134,14922,11942,4319,16261,-29054,2129
2016Q1,45631,1181,15876,62688,-35507,-10565,-46072,-25280,-8664
2016Q2,7575,5299,19540,32414,12619,31763,44382,106804,183600
2016Q3,29409,6430,20680,56519,-11103,40190,29087,-5884,79722
2016Q4,88920,-1961,5134,92093,-57450,14306,-43144,-104510,-55561
2017Q1,12741,1303,15713,29757,26277,10569,36846,118788,185391
2017Q2,10354,2848,7376,20578,14642,15415,30057,23377,74012
2017Q3,15852,3455,20385,39692,28372,11400,39772,79719,159183
2017Q4,3980,4238,-473,7745,16372,35357,51729,67868,127342
2018Q1,14307,5293,-17644,1956,-15482,27760,12278,163440,177674
2018Q2,2012,4431,-31467,-25024,10839,38121,48960,-117579,-93643
2018Q3,111,6992,-27558,-20455,19394,30382,49776,-106740,-77419
2018Q4,36560,-7383,-3567,25610,-14143,27002,12859,166831,205300
2019Q1,2533,-5373,-12199,-15039,-5838,-37339,-43177,20194,-38022
2019Q2,14079,-6772,14165,21472,-10430,22589,12159,-66764,-33133
2019Q3,7655,2879,18380,28914,1501,46801,48302,-10762,66454
2019Q4,11656,-2859,-27318,-18521,-6155,39275,33120,-143790,-129191
2020Q1,7949,-3332,52526,57143,430,-7258,-6828,509025,559340
2020Q2,2436,-1331,26109,27214,7266,24980,32246,-293061,-233601
2020Q3,6424,1569,7351,15344,9831,-884,8947,17362,41653
2020Q4,9090,831,13190,23111,21033,1903,22936,157984,204031
2021Q1,9110,-5296,6081,9895,-5961,45511,39550,79529,128974
2021Q2,13073,-658,17076,29491,-11627,48436,36809,-53761,12539
2021Q3,11462,-9724,15567,17305,11718,6665,18383,129421,165109
2021Q4,10999,-6607,13199,17591,4042,40009,44051,10868,72510
2022Q1,9439,9998,-4546,14891,-38519,-19500,-58019,255187,212059
2022Q2,19264,4947,4516,28727,1735,14939,16674,47361,92762
2022Q3,20400,12876,3884,37160,10972,-37866,-26894,50590,60856
2022Q4,2562,-3416,-5090,-5944,-2719,35637,32918,-232760,-205786
2023Q1,29211,4703,-15309,18605,-21572,-11538,-33110,80393,65888
2023Q2,9680,6150,-13338,2492,-1034,59604,58570,18057,79119
2023Q3,3750,5228,-21293,-12315,1157,36404,37561,217608,242854
2023Q4,21183,-5603,-12632,2948,-4835,18081,13246,-64174,-47980
2024Q1,1338,6967,-1959,6346,-2239,27760,25521,279420,311287
2024Q2,2860,-754,-8939,-6833,4158,29424,33582,46861,73610
2024Q3,-2711,-6800,12600,3089,-5089,15980,10891,73713,87693
2024Q4,-4000,-7664,-1116,-12780,-456,51559,51103,-93149,-54826
2025Q1,12447,4839,1427,18713,3946,30292,34238,180264,233215
2025Q2,-4107,1636,-6615,-9086,-3703,21137,17434,118810,127158
2025Q3,1352,460,21503,23315,20558,36294,56852,213248,293415
2025Q4,18141,10604,-3328,25417,13940,20785,34725,-35195,24947
