time_period,_neg_hbwn,_neg_hbwt,_neg_mu7l,_neg_mu7m,_neg_hbwv,_neg_hbwx,_neg_hhzd,_neg_zpnn,_neg_hhyr,_neg_ltcv,_neg_hbnt
1997,9130,10271,-2593,16808,-17233,-2726,-19959,-1156,1128,-2380,-5559
1998,21389,16254,-2770,34873,-50305,53814,3509,3043,-49134,-164,-7873
1999,55147,15337,-401,70083,-47048,-71363,-118411,-2685,18701,-639,-32951
2000,88244,16011,-26635,77620,-85663,-33235,-118898,-1553,14989,3915,-23927
2001,-3831,27588,-8990,14767,47751,70283,118034,-8417,-143121,-3085,-21822
2002,17387,27628,-22250,22765,18769,-92027,-73258,-1001,13316,-459,-38637
2003,14468,13124,1570,29162,-27531,-84515,-112046,5401,41177,-1559,-37865
2004,-1896,22223,2604,22931,18468,-31369,-12901,8166,-34228,196,-15836
2005,-61244,36888,-27546,-51902,88638,-132860,-44222,-5974,70204,656,-31238
2006,-28274,26374,-34118,-36018,71702,-6917,64785,-20826,-70438,-426,-62923
2007,-12028,38978,52537,79487,40162,-132500,-92338,27793,-86504,1191,-70371
2008,-8598,32795,33478,57675,-119320,-315451,-434771,126329,182228,-1338,-69877
2009,-31868,4108,-11233,-38993,9666,-110411,-100745,-31944,121732,5763,-44187
2010,-19569,22730,-9703,-6542,39558,-99337,-59779,-50819,50834,6070,-60236
2011,4606,31932,-3217,33321,-60662,-96553,-157215,7540,79408,4948,-31998
2012,-31834,21402,-11564,-21996,73241,108674,181915,-37572,-174357,7642,-44368
2013,-14828,-4956,12626,-7158,-26633,-123154,-149787,39519,43657,4961,-68808
2014,-88157,-18460,-329,-106946,-84,10832,10748,13964,-12367,7113,-87488
2015,-39751,-8312,-21324,-69387,-79113,-46896,-126009,-87173,156650,21079,-104840
2016,-162514,-18498,-38440,-219452,46200,-158644,-112444,11514,201601,6511,-112270
2017,34779,17398,-16421,35756,-24224,-47514,-71738,15006,-64993,6799,-79170
2018,-96737,16226,76856,-3655,-178558,-89266,-267824,7739,152255,18566,-92919
2019,-28269,-10415,5622,-33062,11464,17385,28849,1937,-68429,-872,-71577
2020,-50918,-14782,-43714,-109414,-33643,63976,30333,25818,-14351,-2582,-70196
2021,-23453,81850,-35572,22825,-49846,-142431,-192277,-27223,144926,17701,-34048
2022,-60261,54533,47137,41409,-86461,50503,-35958,-48378,-16209,-1075,-60211
2023,-37934,28382,21606,12054,107319,73372,180691,1020,-275249,-3710,-85194
2024,3391,-9679,-39873,-46161,-27921,-6050,-33971,-10586,-1018,-2311,-94047
2025,-17833,39552,-14464,7255,-53261,16229,-37032,-9827,-56508,9749,-86363
1997Q1,235,2689,-2766,158,1986,9628,11614,-490,-2491,-1458,7333
1997Q2,-869,2930,-1791,270,-2331,-8008,-10339,70,1314,225,-8460
1997Q3,6179,4090,4799,15068,-8790,-4710,-13500,-232,-10650,336,-8978
1997Q4,3585,562,-2835,1312,-8098,364,-7734,-504,12955,-1483,4546
1998Q1,1510,2693,-6532,-2329,15625,385,16010,-626,-15298,-998,-3241
1998Q2,-7419,1803,4500,-1116,-34379,44298,9919,595,-15286,309,-5579
1998Q3,2494,6882,-230,9146,-3346,5909,2563,1531,-17178,313,-3625
1998Q4,24804,4876,-508,29172,-28205,3222,-24983,1543,-1372,212,4572
1999Q1,-2900,4991,-5890,-3799,28321,-31383,-3062,-1519,1080,-837,-8137
1999Q2,73650,4032,2031,79713,-69390,-33715,-103105,441,22525,202,-224
1999Q3,-7154,3779,991,-2384,-10976,16246,5270,536,-19803,-759,-17140
1999Q4,-8449,2535,2467,-3447,4997,-22511,-17514,-2143,14899,755,-7450
2000Q1,106228,4580,-12267,98541,-91914,904,-91010,491,-1040,-2465,4517
2000Q2,15279,800,-4509,11570,24769,1019,25788,-925,-39267,546,-2288
2000Q3,-41358,4449,-579,-37488,14286,-15193,-907,-525,33897,1530,-3493
2000Q4,8095,6182,-9280,4997,-32804,-19965,-52769,-594,21399,4304,-22663
2001Q1,-4338,3430,7238,6330,30667,14173,44840,-2332,-50216,-2599,-3977
2001Q2,2781,6349,-6587,2543,6943,26550,33493,1474,-44259,37,-6712
2001Q3,-558,6922,-989,5375,-38,19187,19149,-5842,-31911,-498,-13727
2001Q4,-1716,10887,-8652,519,10179,10373,20552,-1717,-16735,-25,2594
2002Q1,2520,6597,14957,24074,1523,-28810,-27287,-341,-12250,-528,-16332
2002Q2,5175,8591,-4573,9193,21727,-5704,16023,-1967,-39141,22,-15870
2002Q3,6571,9074,-7997,7648,16996,-54238,-37242,1856,28801,682,1745
2002Q4,3121,3366,-24637,-18150,-21477,-3275,-24752,-549,35906,-635,-8180
2003Q1,12232,6679,-1202,17709,-16651,14079,-2572,7677,-12384,-1626,8804
2003Q2,953,-2825,12073,10201,17641,-17028,613,-2301,-29992,-647,-22126
2003Q3,2299,5325,2426,10050,5663,-75581,-69918,1348,52802,1303,-4415
2003Q4,-1016,3945,-11727,-8798,-34184,-5985,-40169,-1323,30751,-589,-20128
