time_period,cgmo,n2tt,n2v3,hepx,hhzx,hhzz,jx96,hlxv,lteb,hbqa
1997,229,82.5,311.5,271.7,320.8,592.5,0,1191.1,22.8,2117.9
1998,291.9,120.4,412.3,296.6,386.3,682.9,0,1193.6,23.3,2312.2
1999,421,139.8,560.8,417.8,385.9,803.7,0,1187.5,22.2,2574.2
2000,596.7,167.9,764.7,413.6,448.6,862.1,0,1510.6,28.8,3166.2
2001,592.5,180.9,773.4,403.5,556.3,959.9,0,1566,25.6,3324.9
2002,632.3,196.8,829,358.4,529.5,887.8,0,1594.4,25.5,3336.7
2003,681.4,190.7,872,422,558.5,980.5,0,1879.6,23.8,3756
2004,677.2,196.9,874.1,516.3,627.9,1144.3,715.6,2218.9,23.2,4976
2005,739.8,214.3,954,723,692.2,1415.2,825.5,2783.7,24.7,6003.1
2006,773.4,218.8,992.3,838.4,851.5,1689.9,862.2,2995.1,22.9,6562.4
2007,887.8,260.8,1148.6,934.4,965.3,1899.7,1391.7,3784.5,26.7,8251.2
2008,1069.9,368.7,1438.6,721,984,1705,4060.9,4300.5,36.3,11541.4
2009,994.1,267.8,1261.9,877,982,1859.1,2206.6,3571.5,40.1,8939.2
2010,1074.2,268.8,1343,989.8,988,1977.8,2992.2,3874.9,49.7,10237.6
2011,1113.1,250.4,1363.5,895,958.7,1853.8,3681.8,4157.1,56.8,11112.8
2012,1097.2,314.3,1411.5,1066.1,996.3,2062.4,3144.8,3816.3,61.7,10496.6
2013,1102.6,334.9,1437.4,1209.5,921.4,2130.9,2547.8,3574.1,61.4,9751.6
2014,1081.1,306.5,1387.7,1303.5,991.9,2295.4,3005.8,3571,67.7,10327.5
2015,1146.6,257.1,1403.7,1320.3,992.6,2312.9,2508,3468,87.5,9780.2
2016,1326.9,306.2,1633.1,1528.7,1036.5,2565.2,2738.2,4200,110,11246.4
2017,1399.4,353.7,1753.2,1791.3,1029.9,2821.2,2117.6,4309.9,111.6,11113.5
2018,1405.9,347.6,1753.5,1594.6,1024.5,2619.1,2172.7,4691.1,135.3,11371.7
2019,1571.7,355,1926.7,1835.2,1074.8,2909.9,2304.6,4288.7,131.6,11561.5
2020,1683.1,433.3,2116.5,2016,1177.7,3193.7,2995.2,4672.5,131.8,13109.6
2021,1690.1,437.4,2127.5,2242.1,1173.7,3415.9,2364.6,4900.4,143.4,12951.7
2022,1854.7,481.1,2335.8,1894.7,1106.3,3001,3261.9,5458.8,146.7,14204.3
2023,1867.4,440.1,2307.5,2081.5,1231.7,3313.2,2692.9,5153.5,139.6,13606.8
2024,1862,414.2,2276.2,2255.7,1307.8,3563.5,3149.2,5404.1,139.5,14532.6
2025,1819.2,339.5,2158.6,2617.2,1373.5,3990.7,2774,5696.4,159.1,14778.8
1997Q1,212.6,79.6,292.2,258.1,304.5,562.6,0,1016.3,25.5,1896.5
1997Q2,215.1,79.7,294.8,286.3,303.3,589.6,0,1040.2,24.9,1949.4
1997Q3,225.2,83.2,308.4,294.4,316.2,610.6,0,1121.9,25.6,2066.4
1997Q4,229,82.5,311.5,271.7,320.8,592.5,0,1191.1,22.8,2117.9
1998Q1,228.7,85.8,314.5,318,325.6,643.6,0,1168.3,21.3,2147.6
1998Q2,229.3,99,328.3,286.2,360.4,646.6,0,1192.6,21.8,2189.3
1998Q3,246,111,357,236.2,371.8,608,0,1239,22.4,2226.4
1998Q4,291.9,120.4,412.3,296.6,386.3,682.9,0,1193.6,23.3,2312.2
1999Q1,303.8,118.2,422,341.9,371.8,713.7,0,1255.3,22.1,2413.1
1999Q2,386.8,127.8,514.6,363.6,379.3,742.9,0,1275.7,22.1,2555.4
1999Q3,402.6,139.8,542.4,349.8,404.2,753.9,0,1202.8,21.4,2520.5
1999Q4,421,139.8,560.8,417.8,385.9,803.7,0,1187.5,22.2,2574.2
2000Q1,541.3,142.8,684.1,382.7,405.6,788.3,0,1304.8,21.5,2798.8
2000Q2,561.5,166.5,728,431.4,429.6,861,0,1403.4,23.1,3015.4
2000Q3,573,175.8,748.8,431.7,432.5,864.2,0,1450.6,24.5,3088.1
2000Q4,596.7,167.9,764.7,413.6,448.6,862.1,0,1510.6,28.8,3166.2
2001Q1,610.3,186.6,796.9,402.6,492.2,894.8,0,1697,26.5,3415.2
2001Q2,603.5,186.7,790.3,428.5,518.9,947.5,0,1629.1,26.6,3393.4
2001Q3,600.4,187.2,787.6,361.1,545.9,907,0,1595.4,26.2,3316.1
2001Q4,592.5,180.9,773.4,403.5,556.3,959.9,0,1566,25.6,3324.9
2002Q1,596.7,194.5,791.2,433.9,537.4,971.3,0,1574.7,25.5,3362.8
2002Q2,615.5,199.2,814.7,425.8,549.2,975,0,1532.3,25.6,3347.6
2002Q3,629.9,211.7,841.6,359.5,507.3,866.9,0,1542.3,25.9,3276.6
2002Q4,632.3,196.8,829,358.4,529.5,887.8,0,1594.4,25.5,3336.7
2003Q1,668.3,201.9,870.3,332.6,561.8,894.4,0,1773,24.6,3562.4
