time_period,hbuy,n2td,n2ug,hlxx,hlxy,hlxw,jx97,hlyd,hbqb
1997,126.2,103.6,229.9,345.9,277.2,623.1,0,1291.6,2144.6
1998,151.3,140.8,292.1,475.1,292.6,767.7,0,1358.5,2418.3
1999,183.6,164.4,348,694.2,328.2,1022.4,0,1360.4,2730.8
2000,230.6,198.4,429.1,778.8,409.8,1188.6,0,1632.9,3250.6
2001,249.6,231,480.6,644.1,446.8,1090.9,0,1836.6,3408.1
2002,217.7,270.1,487.8,491.7,506.3,998,0,1850.2,3336
2003,235.2,259.8,495,614.5,584.3,1198.8,0,2078.3,3772.1
2004,256.7,270.3,527,685.8,688,1373.8,719.9,2466.2,5086.8
2005,357.4,334.6,692,766.1,843.8,1609.9,835.5,2982.6,6120.1
2006,420.1,354.3,774.4,870.3,959.9,1830.2,899,3225.6,6729.2
2007,478.7,309.4,788.1,969.4,1162.4,2131.8,1406.3,4119.1,8445.4
2008,530.6,413.8,944.3,667.3,1413.4,2080.7,3929.8,4475.1,11429.9
2009,520.5,360.7,881.2,899.8,1560.6,2460.5,2143.1,3707.3,9192.1
2010,580.7,367.5,948.2,961.1,1562.7,2523.8,2943.2,3946.7,10361.8
2011,622.5,371.6,994.1,935.6,1612.6,2548.2,3610.1,4106.8,11259.2
2012,749.8,501.1,1250.9,1103.5,1584,2687.5,3100.4,3892.6,10931.4
2013,775.8,489.5,1265.3,1257.8,1413.2,2670.9,2459,3623,10018.3
2014,861.8,462,1323.7,1291.4,1520.6,2812,2931.8,3613.3,10680.8
2015,890.2,463,1353.2,1321.8,1568.1,2889.9,2520.4,3317.1,10080.7
2016,1037.2,508.6,1545.7,1345.1,1695.4,3040.4,2748.9,3734.3,11069.4
2017,1224.4,552.3,1776.6,1572.2,1732.8,3305,2125.2,3956.5,11163.3
2018,1394.5,478.7,1873.2,1379.6,1782.2,3161.8,2184.7,4194.7,11414.4
2019,1450,465.6,1915.6,1541.6,1935.3,3476.9,2330.6,4068.3,11791.4
2020,1710.6,571.8,2282.4,1485.1,2031.4,3516.5,3028.6,4458.9,13286.4
2021,1825.9,623,2448.9,1739.8,2037.8,3777.6,2435.5,4614.7,13276.7
2022,1998.8,631.7,2630.5,1589.4,1655.8,3245.3,3340.5,5054.8,14271
2023,2009.1,576.2,2585.3,1625,1799,3424,2780.1,5084.7,13874.1
2024,1915.8,631.8,2547.6,1704.4,1882.5,3586.9,3239.7,5330.7,14704.9
2025,1805.9,531.8,2337.6,2067.9,2025.1,4093,2880,5668,14978.6
1997Q1,118.3,98.6,216.9,258.8,256.6,515.3,0,1171.1,1903.3
1997Q2,122.2,101.4,223.6,288.7,267.5,556.1,0,1173.3,1953
1997Q3,124.6,100.7,225.3,329.9,283.5,613.4,0,1254.3,2093
1997Q4,126.2,103.6,229.9,345.9,277.2,623.1,0,1291.6,2144.6
1998Q1,119.9,109.3,229.2,408,287,695,0,1281.7,2205.8
1998Q2,128.9,118.3,247.2,415.5,279.4,694.9,0,1318,2260.2
1998Q3,140.8,130.8,271.6,402.9,285.1,688,0,1385.4,2345
1998Q4,151.3,140.8,292.1,475.1,292.6,767.7,0,1358.5,2418.3
1999Q1,148.9,141.2,290.1,519.5,309.9,829.3,0,1423.6,2543
1999Q2,150.4,151.2,301.6,618.8,320.7,939.5,0,1425.9,2667
1999Q3,161.7,164.1,325.8,598,319.5,917.6,0,1382.5,2625.9
1999Q4,183.6,164.4,348,694.2,328.2,1022.4,0,1360.4,2730.8
2000Q1,187.4,179.2,366.6,750.4,339.3,1089.7,0,1480.8,2937.1
2000Q2,192.6,188.4,381,760.3,356.3,1116.6,0,1590.9,3088.5
2000Q3,226.4,197.2,423.6,781.3,374.6,1156,0,1605.7,3185.3
2000Q4,230.6,198.4,429.1,778.8,409.8,1188.6,0,1632.9,3250.6
2001Q1,241.7,211.5,453.2,712,435.3,1147.3,0,1867.3,3467.7
2001Q2,248.3,221.3,469.6,697.8,427.8,1125.6,0,1853.6,3448.9
2001Q3,252.2,225.7,477.8,604.8,432.5,1037.3,0,1847.2,3362.4
2001Q4,249.6,231,480.6,644.1,446.8,1090.9,0,1836.6,3408.1
2002Q1,239.3,229.4,468.7,643.4,456.2,1099.6,0,1863.1,3431.5
2002Q2,232.4,238.6,471,575.5,474.1,1049.6,0,1853.8,3374.4
2002Q3,227.8,260.1,487.9,468.5,490.5,958.9,0,1826.7,3273.6
2002Q4,217.7,270.1,487.8,491.7,506.3,998,0,1850.2,3336
2003Q1,222.4,263.1,485.5,470.3,530.7,1001,0,2013.5,3500
2003Q2,226.6,273.8,500.4,536.5,540.8,1077.4,0,2081.7,3659.5
2003Q3,231.9,262.9,494.8,563.4,589.8,1153.1,0,2106.8,3754.8
2003Q4,235.2,259.8,495,614.5,584.3,1198.8,0,2078.3,3772.1
2004Q1,232.3,249.9,482.2,623.3,631.2,1254.5,634.2,2227.8,4598.8
2004Q2,240.2,260.8,501,637.4,651,1288.4,517.5,2267.5,4574.5
2004Q3,246.1,263.6,509.7,652,685.3,1337.3,577.8,2411.7,4836.6
2004Q4,256.7,270.3,527,685.8,688,1373.8,719.9,2466.2,5086.8
2005Q1,262,271.5,533.5,709.4,727.2,1436.6,637.1,2661.4,5268.6
2005Q2,272.1,300.9,573.1,722.5,773.8,1496.3,800.1,2812.6,5682.1
2005Q3,343.6,319.9,663.5,736.7,806.8,1543.5,761.3,2924.3,5892.7
2005Q4,357.4,334.6,692,766.1,843.8,1609.9,835.5,2982.6,6120.1
2006Q1,383.6,338,721.6,861,873.7,1734.7,786.7,3264,6507
2006Q2,393.2,352.1,745.3,818.3,860.9,1679.2,851,3241.5,6517.1
2006Q3,415.5,368.2,783.7,833.2,913.3,1746.5,928.3,3251.5,6710
2006Q4,420.1,354.3,774.4,870.3,959.9,1830.2,899,3225.6,6729.2
2007Q1,368.9,318.4,687.3,928.7,987.2,1915.8,837.2,3599.4,7039.7
2007Q2,429.3,306.3,735.6,963.3,1040.8,2004.1,964,3730.3,7434.1
2007Q3,457.8,312.9,770.6,943.4,1110.2,2053.6,1153.3,3910.1,7887.6
2007Q4,478.7,309.4,788.1,969.4,1162.4,2131.8,1406.3,4119.1,8445.4
2008Q1,490.6,337.9,828.5,875.5,1213.5,2089,2028.8,4493.8,9440.1
2008Q2,505.3,339.7,845,844.3,1219.7,2064,2006.3,4110.2,9025.6
