time_period,hbsh,mu7n,mu7o,cgne,cgnf,cgnh,jx98,cgng,lteb,hbqc
1997,102.8,-21.1,81.6,-74.3,43.7,-30.6,0,-100.5,22.8,-26.6
1998,140.6,-20.4,120.2,-178.4,93.7,-84.8,0,-164.9,23.3,-106.1
1999,237.4,-24.6,212.8,-276.5,57.7,-218.8,0,-172.9,22.2,-156.6
2000,366.1,-30.5,335.6,-365.2,38.8,-326.4,0,-122.3,28.8,-84.4
2001,342.9,-50.1,292.8,-240.6,109.5,-131.1,0,-270.6,25.6,-83.2
2002,414.6,-73.4,341.2,-133.3,23.1,-110.2,0,-255.8,25.5,0.7
2003,446.1,-69.1,377,-192.5,-25.7,-218.2,0,-198.7,23.8,-16.2
2004,420.6,-73.5,347.1,-169.4,-60.1,-229.5,-4.4,-247.3,23.2,-110.8
2005,382.4,-120.4,262,-43.1,-151.6,-194.7,-10,-199,24.7,-116.9
2006,353.3,-135.5,217.9,-31.9,-108.4,-140.3,-36.8,-230.5,22.9,-166.8
2007,409,-48.6,360.5,-35,-197.1,-232.1,-14.6,-334.6,26.7,-194.2
2008,539.3,-45.1,494.2,53.7,-429.4,-375.6,131.1,-174.6,36.3,111.4
2009,473.6,-92.8,380.7,-22.8,-578.6,-601.4,63.5,-135.8,40.1,-252.8
2010,493.5,-98.7,394.8,28.7,-574.7,-546,49,-71.7,49.7,-124.2
2011,490.6,-121.2,369.4,-40.6,-653.9,-694.5,71.6,50.3,56.8,-146.4
2012,347.4,-186.8,160.6,-37.4,-587.7,-625.1,44.4,-76.3,61.7,-434.8
2013,326.8,-154.7,172.2,-48.3,-491.7,-540,88.8,-48.9,61.4,-266.6
2014,219.4,-155.4,63.9,12.1,-528.7,-516.6,74,-42.4,67.7,-353.3
2015,256.4,-205.9,50.5,-1.5,-575.4,-577,-12.5,150.9,87.5,-300.5
2016,289.7,-202.4,87.3,183.6,-658.9,-475.3,-10.8,465.7,110,177
2017,175.1,-198.5,-23.5,219.1,-702.9,-483.8,-7.6,353.4,111.6,-49.8
2018,11.4,-131.1,-119.7,215,-757.7,-542.7,-12,496.4,135.3,-42.7
2019,121.8,-110.6,11.1,293.6,-860.5,-566.9,-26.1,220.4,131.6,-230
2020,-27.5,-138.5,-165.9,530.9,-853.7,-322.8,-33.4,213.6,131.8,-176.8
2021,-135.8,-185.6,-321.4,502.3,-864,-361.7,-71,285.8,143.4,-325
2022,-144.1,-150.6,-294.7,305.3,-549.5,-244.2,-78.5,404,146.7,-66.7
2023,-141.7,-136,-277.8,456.5,-567.3,-110.8,-87.2,68.8,139.6,-267.3
2024,-53.7,-217.7,-271.4,551.3,-574.7,-23.4,-90.5,73.5,139.5,-172.4
2025,13.3,-192.3,-179,549.3,-651.6,-102.3,-106,28.4,159.1,-199.8
1997Q1,94.3,-19,75.3,-0.7,47.9,47.2,0,-154.8,25.5,-6.8
1997Q2,92.9,-21.7,71.2,-2.4,35.8,33.4,0,-133.2,24.9,-3.6
1997Q3,100.6,-17.5,83,-35.5,32.7,-2.8,0,-132.4,25.6,-26.6
1997Q4,102.8,-21.1,81.6,-74.3,43.7,-30.6,0,-100.5,22.8,-26.6
1998Q1,108.8,-23.4,85.4,-90,38.6,-51.4,0,-113.4,21.3,-58.2
1998Q2,100.4,-19.3,81.1,-129.2,80.9,-48.3,0,-125.4,21.8,-70.8
1998Q3,105.2,-19.8,85.4,-166.7,86.7,-80.1,0,-146.4,22.4,-118.7
1998Q4,140.6,-20.4,120.2,-178.4,93.7,-84.8,0,-164.9,23.3,-106.1
1999Q1,154.9,-23,131.9,-177.5,62,-115.6,0,-168.3,22.1,-129.8
1999Q2,236.4,-23.4,213,-255.2,58.5,-196.7,0,-150.1,22.1,-111.6
1999Q3,240.9,-24.4,216.6,-248.3,84.6,-163.6,0,-179.8,21.4,-105.4
1999Q4,237.4,-24.6,212.8,-276.5,57.7,-218.8,0,-172.9,22.2,-156.6
2000Q1,353.9,-36.3,317.5,-367.7,66.2,-301.4,0,-175.9,21.5,-138.3
2000Q2,368.9,-21.9,347,-328.9,73.2,-255.7,0,-187.5,23.1,-73.1
2000Q3,346.6,-21.4,325.2,-349.7,57.9,-291.8,0,-155,24.5,-97.1
2000Q4,366.1,-30.5,335.6,-365.2,38.8,-326.4,0,-122.3,28.8,-84.4
2001Q1,368.6,-24.9,343.7,-309.4,56.9,-252.5,0,-170.2,26.5,-52.6
2001Q2,355.2,-34.6,320.6,-269.2,91.1,-178.1,0,-224.5,26.6,-55.4
2001Q3,348.3,-38.5,309.7,-243.7,113.4,-130.3,0,-251.9,26.2,-46.3
2001Q4,342.9,-50.1,292.8,-240.6,109.5,-131.1,0,-270.6,25.6,-83.2
2002Q1,357.4,-34.9,322.5,-209.5,81.2,-128.3,0,-288.4,25.5,-68.7
2002Q2,383.1,-39.4,343.7,-149.8,75.1,-74.7,0,-321.5,25.6,-26.8
2002Q3,402.1,-48.5,353.6,-108.9,16.9,-92,0,-284.4,25.9,3
2002Q4,414.6,-73.4,341.2,-133.3,23.1,-110.2,0,-255.8,25.5,0.7
2003Q1,446,-61.2,384.8,-137.7,31.1,-106.6,0,-240.4,24.6,62.4
