time_period,boki,ikbd,ikbj,ijaj,hbom,mt5x,hboj,fnsv,fntc,ikbp,hbop
1997,0,0,0,0,0,0,0,0,0,0,0
1998,0,0,0,0,0,0,0,0,0,0,0
1999,0,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0,0,0,0
2020,0,0,0,0,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0,0,0,0,0
2022,0,0,0,0,0,0,0,0,0,0,0
2023,0,0,0,0,0,0,0,0,0,0,0
2024,881,-306,575,0,-27,0,-27,0,-123,-123,425
1997Q1,0,0,0,0,0,0,0,0,0,0,0
1997Q2,0,0,0,0,0,0,0,0,0,0,0
1997Q3,0,0,0,0,0,0,0,0,0,0,0
1997Q4,0,0,0,0,0,0,0,0,0,0,0
1998Q1,0,0,0,0,0,0,0,0,0,0,0
1998Q2,0,0,0,0,0,0,0,0,0,0,0
1998Q3,0,0,0,0,0,0,0,0,0,0,0
1998Q4,0,0,0,0,0,0,0,0,0,0,0
1999Q1,0,0,0,0,0,0,0,0,0,0,0
1999Q2,0,0,0,0,0,0,0,0,0,0,0
1999Q3,0,0,0,0,0,0,0,0,0,0,0
1999Q4,0,0,0,0,0,0,0,0,0,0,0
2000Q1,0,0,0,0,0,0,0,0,0,0,0
2000Q2,0,0,0,0,0,0,0,0,0,0,0
2000Q3,0,0,0,0,0,0,0,0,0,0,0
2000Q4,0,0,0,0,0,0,0,0,0,0,0
2001Q1,0,0,0,0,0,0,0,0,0,0,0
2001Q2,0,0,0,0,0,0,0,0,0,0,0
2001Q3,0,0,0,0,0,0,0,0,0,0,0
2001Q4,0,0,0,0,0,0,0,0,0,0,0
2002Q1,0,0,0,0,0,0,0,0,0,0,0
2002Q2,0,0,0,0,0,0,0,0,0,0,0
2002Q3,0,0,0,0,0,0,0,0,0,0,0
2002Q4,0,0,0,0,0,0,0,0,0,0,0
2003Q1,0,0,0,0,0,0,0,0,0,0,0
2003Q2,0,0,0,0,0,0,0,0,0,0,0
2003Q3,0,0,0,0,0,0,0,0,0,0,0
2003Q4,0,0,0,0,0,0,0,0,0,0,0
2004Q1,0,0,0,0,0,0,0,0,0,0,0
2004Q2,0,0,0,0,0,0,0,0,0,0,0
2004Q3,0,0,0,0,0,0,0,0,0,0,0
2004Q4,0,0,0,0,0,0,0,0,0,0,0
2005Q1,0,0,0,0,0,0,0,0,0,0,0
2005Q2,0,0,0,0,0,0,0,0,0,0,0
2005Q3,0,0,0,0,0,0,0,0,0,0,0
2005Q4,0,0,0,0,0,0,0,0,0,0,0
2006Q1,0,0,0,0,0,0,0,0,0,0,0
2006Q2,0,0,0,0,0,0,0,0,0,0,0
2006Q3,0,0,0,0,0,0,0,0,0,0,0
2006Q4,0,0,0,0,0,0,0,0,0,0,0
2007Q1,0,0,0,0,0,0,0,0,0,0,0
2007Q2,0,0,0,0,0,0,0,0,0,0,0
2007Q3,0,0,0,0,0,0,0,0,0,0,0
2007Q4,0,0,0,0,0,0,0,0,0,0,0
2008Q1,0,0,0,0,0,0,0,0,0,0,0
2008Q2,0,0,0,0,0,0,0,0,0,0,0
2008Q3,0,0,0,0,0,0,0,0,0,0,0
2008Q4,0,0,0,0,0,0,0,0,0,0,0
2009Q1,0,0,0,0,0,0,0,0,0,0,0
2009Q2,0,0,0,0,0,0,0,0,0,0,0
2009Q3,0,0,0,0,0,0,0,0,0,0,0
2009Q4,0,0,0,0,0,0,0,0,0,0,0
2010Q1,0,0,0,0,0,0,0,0,0,0,0
2010Q2,0,0,0,0,0,0,0,0,0,0,0
2010Q3,0,0,0,0,0,0,0,0,0,0,0
2010Q4,0,0,0,0,0,0,0,0,0,0,0
2011Q1,0,0,0,0,0,0,0,0,0,0,0
2011Q2,0,0,0,0,0,0,0,0,0,0,0
2011Q3,0,0,0,0,0,0,0,0,0,0,0
2011Q4,0,0,0,0,0,0,0,0,0,0,0
2012Q1,0,0,0,0,0,0,0,0,0,0,0
2012Q2,0,0,0,0,0,0,0,0,0,0,0
2012Q3,0,0,0,0,0,0,0,0,0,0,0
2012Q4,0,0,0,0,0,0,0,0,0,0,0
2013Q1,0,0,0,0,0,0,0,0,0,0,0
2013Q2,0,0,0,0,0,0,0,0,0,0,0
2013Q3,0,0,0,0,0,0,0,0,0,0,0
2013Q4,0,0,0,0,0,0,0,0,0,0,0
2014Q1,0,0,0,0,0,0,0,0,0,0,0
2014Q2,0,0,0,0,0,0,0,0,0,0,0
2014Q3,0,0,0,0,0,0,0,0,0,0,0
2014Q4,0,0,0,0,0,0,0,0,0,0,0
2015Q1,0,0,0,0,0,0,0,0,0,0,0
2015Q2,0,0,0,0,0,0,0,0,0,0,0
2015Q3,0,0,0,0,0,0,0,0,0,0,0
2015Q4,0,0,0,0,0,0,0,0,0,0,0
2016Q1,0,0,0,0,0,0,0,0,0,0,0
2016Q2,0,0,0,0,0,0,0,0,0,0,0
2016Q3,0,0,0,0,0,0,0,0,0,0,0
2016Q4,0,0,0,0,0,0,0,0,0,0,0
2017Q1,0,0,0,0,0,0,0,0,0,0,0
2017Q2,0,0,0,0,0,0,0,0,0,0,0
2017Q3,0,0,0,0,0,0,0,0,0,0,0
2017Q4,0,0,0,0,0,0,0,0,0,0,0
2018Q1,0,0,0,0,0,0,0,0,0,0,0
2018Q2,0,0,0,0,0,0,0,0,0,0,0
2018Q3,0,0,0,0,0,0,0,0,0,0,0
2018Q4,0,0,0,0,0,0,0,0,0,0,0
2019Q1,0,0,0,0,0,0,0,0,0,0,0
2019Q2,0,0,0,0,0,0,0,0,0,0,0
2019Q3,0,0,0,0,0,0,0,0,0,0,0
2019Q4,0,0,0,0,0,0,0,0,0,0,0
2020Q1,0,0,0,0,0,0,0,0,0,0,0
2020Q2,0,0,0,0,0,0,0,0,0,0,0
2020Q3,0,0,0,0,0,0,0,0,0,0,0
2020Q4,0,0,0,0,0,0,0,0,0,0,0
2021Q1,0,0,0,0,0,0,0,0,0,0,0
2021Q2,0,0,0,0,0,0,0,0,0,0,0
