time,gbp_usd,gbp_eur,sterling_eri_jan2005_100,eurostat_reer_ic42_cpi_2015_100
2006Q1,1.752594,1.456973,98.769927,105.174347
2006Q2,1.830307,1.454008,100.329203,106.549313
2006Q3,1.874936,1.471341,102.316786,108.942870
2006Q4,1.914679,1.485422,103.682598,111.009217
2007Q1,1.954506,1.491547,104.734855,111.644020
2007Q2,1.986851,1.473238,104.257746,110.553810
2007Q3,2.021203,1.470523,104.409400,110.302230
2007Q4,2.045602,1.412875,101.685914,106.839890
2008Q1,1.978013,1.321165,95.944484,99.994233
2008Q2,1.970811,1.261533,93.065633,96.884197
2008Q3,1.893403,1.258634,91.708554,95.879423
2008Q4,1.574217,1.195684,84.195239,89.475413
2009Q1,1.434176,1.101032,77.844905,83.395017
2009Q2,1.553274,1.138920,81.411231,86.901287
2009Q3,1.640638,1.147522,82.924335,88.802497
2009Q4,1.634262,1.105827,80.366514,85.900660
2010Q1,1.558351,1.126911,79.522654,85.025723
2010Q2,1.490923,1.174664,79.940611,85.576750
2010Q3,1.551003,1.199520,81.754555,87.942837
2010Q4,1.581102,1.163930,80.338019,86.455637
2011Q1,1.603437,1.171049,80.830010,87.008607
2011Q2,1.628583,1.132937,79.410747,85.257553
2011Q3,1.609108,1.140152,79.237857,85.558913
2011Q4,1.571987,1.166011,80.293494,87.077663
2012Q1,1.571345,1.198520,81.187069,87.636717
2012Q2,1.583377,1.234437,83.223330,89.779877
2012Q3,1.579838,1.263261,84.088353,90.965973
2012Q4,1.605789,1.238450,83.644437,90.697980
2013Q1,1.551852,1.175077,80.395844,86.869113
2013Q2,1.535765,1.175606,80.521769,87.202943
2013Q3,1.550418,1.170760,81.208351,88.038667
2013Q4,1.618488,1.189011,83.518420,90.806277
2014Q1,1.655137,1.207956,85.579479,92.959427
2014Q2,1.683226,1.227830,86.926482,94.125560
2014Q3,1.669952,1.259912,88.046003,95.597343
2014Q4,1.583758,1.267081,87.298480,95.736220
2015Q1,1.513873,1.346294,89.410183,97.902560
2015Q2,1.534048,1.386315,91.277398,99.065537
2015Q3,1.548822,1.393723,92.880782,101.814523
2015Q4,1.517316,1.386148,92.171936,101.283920
2016Q1,1.430732,1.298074,87.000174,95.891160
2016Q2,1.434165,1.270157,85.525444,93.800517
2016Q3,1.312742,1.176277,78.854865,86.508340
2016Q4,1.241510,1.151544,76.596946,84.217273
2017Q1,1.239325,1.162719,77.048017,84.607757
2017Q2,1.280669,1.162061,77.955226,85.991797
2017Q3,1.308897,1.114430,76.575108,84.895370
2017Q4,1.326651,1.126908,77.698641,86.597000
2018Q1,1.391868,1.132371,79.037225,87.720647
2018Q2,1.360247,1.141681,79.103579,87.968143
2018Q3,1.303619,1.120734,77.825405,86.924433
2018Q4,1.286977,1.127789,77.877352,87.056563
2019Q1,1.302614,1.147203,78.757992,87.747173
2019Q2,1.285175,1.143638,78.410446,87.331897
2019Q3,1.233045,1.108937,75.797265,84.569710
2019Q4,1.286844,1.162328,79.390072,88.415813
2020Q1,1.279241,1.160994,79.208819,88.219030
2020Q2,1.241751,1.126751,77.398149,86.872180
2020Q3,1.291446,1.104942,77.427469,87.193197
2020Q4,1.320437,1.107745,77.932106,87.662137
2021Q1,1.379081,1.144968,80.507138,89.629623
2021Q2,1.398662,1.159816,81.777707,91.141453
2021Q3,1.377912,1.169089,81.777666,91.121230
2021Q4,1.348083,1.178897,81.604062,91.256647
2022Q1,1.341197,1.195433,82.334108,91.279990
2022Q2,1.254227,1.178508,80.128163,88.808397
2022Q3,1.177497,1.168830,78.193150,86.515100
2022Q4,1.173811,1.150359,78.098516,87.626290
2023Q1,1.215170,1.132452,78.177650,87.942400
2023Q2,1.252452,1.150735,80.515928,92.053583
2023Q3,1.265973,1.163297,82.201114,93.977447
2023Q4,1.240546,1.153681,81.162871,92.951573
2024Q1,1.267952,1.168219,82.578902,94.079550
2024Q2,1.261739,1.172123,82.947861,94.962840
2024Q3,1.300017,1.183542,84.298431,96.377467
2024Q4,1.282411,1.201419,84.630461,97.824803
2025Q1,1.259822,1.196521,84.055614,96.890793
2025Q2,1.335802,1.177626,85.451548,98.992557
2025Q3,1.348348,1.153845,84.998045,98.202597
2025Q4,1.329695,1.142552,84.140069,97.252550
