row_kind,time,DI_MU7M,PI_HHZD,FD_ZPNN,OI_HHYR,RA_LTCV,FA_total_HBNT,abs_sum_5,share_signed_DI,share_signed_PI_FA,share_signed_FD,share_signed_OI,share_signed_RA,share_abs_DI,share_abs_PI_FA,share_abs_FD,share_abs_OI,share_abs_RA
quarterly,2006Q1,-29119.0,26952.0,2532.0,-7906.0,-465.0,-8006.0,66974.0,3.637147,-3.366475,-0.316263,0.987509,0.058081,0.434781,0.402425,0.037806,0.118046,0.006943
quarterly,2006Q2,-26376.0,56547.0,8443.0,-66192.0,-210.0,-27788.0,157768.0,0.949187,-2.034943,-0.303836,2.382035,0.007557,0.167182,0.358419,0.053515,0.419553,0.001331
quarterly,2006Q3,-11348.0,-46117.0,-6038.0,52400.0,385.0,-10718.0,116288.0,1.05878,4.302762,0.563351,-4.888972,-0.035921,0.097585,0.396576,0.051923,0.450605,0.003311
quarterly,2006Q4,30825.0,27403.0,-25763.0,-48740.0,-136.0,-16411.0,132867.0,-1.878313,-1.669795,1.569862,2.969959,0.008287,0.231999,0.206244,0.193901,0.366833,0.001024
quarterly,2007Q1,-678.0,29280.0,-1365.0,-37949.0,-824.0,-11536.0,70096.0,0.058773,-2.538141,0.118325,3.289615,0.071429,0.009672,0.417713,0.019473,0.541386,0.011755
quarterly,2007Q2,24834.0,-14214.0,19522.0,-36644.0,67.0,-6435.0,95281.0,-3.859207,2.208858,-3.033722,5.694483,-0.010412,0.26064,0.14918,0.204889,0.384589,0.000703
quarterly,2007Q3,11926.0,-42516.0,7608.0,-488.0,-558.0,-24028.0,63096.0,-0.496338,1.769436,-0.316631,0.02031,0.023223,0.189014,0.67383,0.120578,0.007734,0.008844
quarterly,2007Q4,43405.0,-64888.0,2028.0,-11423.0,2506.0,-28372.0,124250.0,-1.529853,2.287044,-0.071479,0.402615,-0.088327,0.349336,0.522237,0.016322,0.091936,0.020169
quarterly,2008Q1,-8003.0,-97402.0,64442.0,23740.0,-931.0,-18154.0,194518.0,0.440839,5.365319,-3.549741,-1.307701,0.051283,0.041143,0.500735,0.331291,0.122045,0.004786
quarterly,2008Q2,19401.0,-90342.0,18285.0,42505.0,108.0,-10043.0,170641.0,-1.931793,8.995519,-1.820671,-4.232301,-0.010754,0.113695,0.529427,0.107155,0.24909,0.000633
quarterly,2008Q3,24564.0,-53823.0,-14141.0,34550.0,-2132.0,-10982.0,129210.0,-2.236751,4.90102,1.287653,-3.146057,0.194136,0.190109,0.416554,0.109442,0.267394,0.0165
quarterly,2008Q4,21713.0,-193204.0,57743.0,81433.0,1617.0,-30698.0,355710.0,-0.70731,6.2937,-1.881002,-2.652714,-0.052674,0.061041,0.54315,0.162332,0.228931,0.004546
quarterly,2009Q1,-1119.0,-12605.0,9545.0,-3956.0,-1877.0,-10012.0,29102.0,0.111766,1.258989,-0.953356,0.395126,0.187475,0.038451,0.433132,0.327984,0.135936,0.064497
quarterly,2009Q2,-7441.0,-33067.0,-7376.0,39847.0,1304.0,-6733.0,89035.0,1.105154,4.911184,1.0955,-5.918164,-0.193673,0.083574,0.371393,0.082844,0.447543,0.014646
quarterly,2009Q3,-17728.0,-31386.0,-10393.0,29619.0,6787.0,-23101.0,95913.0,0.767413,1.358642,0.449894,-1.282152,-0.293797,0.184834,0.327234,0.108359,0.308811,0.070762
