# 항등식: CA + KA + FA + NEO == 0 (광의, 회계 항등) / Table_A 표시 부호 사용. -HBNT 의 음 부호는 ONS 표시값 그대로 합산
# 단위: GBP million / 변수: CA=HBOP(Table_A_sub1), KA=FNVQ(Table_A_sub1), FA=-HBNT(Table_A_sub3 부호 반전 표시), NEO=HHDH(Table_A_sub3)
time,CA_HBOP,KA_FNVQ,FA_minusHBNT,NEO_HHDH,residual,residual_sign
2006Q1,-12536.0,176.0,-8006.0,3234.0,-17132.0,-
2006Q2,-10272.0,-1587.0,-27788.0,-15110.0,-54757.0,-
2006Q3,-12321.0,-92.0,-10718.0,2754.0,-20377.0,-
2006Q4,-10752.0,-24.0,-16411.0,-6393.0,-33580.0,-
2007Q1,-15014.0,-164.0,-11536.0,2972.0,-23742.0,-
2007Q2,-10775.0,-611.0,-6435.0,5279.0,-12542.0,-
2007Q3,-17168.0,28.0,-24028.0,-6047.0,-47215.0,-
2007Q4,-14656.0,497.0,-28372.0,-14712.0,-57243.0,-
2008Q1,-14195.0,260.0,-18154.0,-5215.0,-37304.0,-
2008Q2,-16647.0,-32.0,-10043.0,6589.0,-20133.0,-
2008Q3,-14467.0,-82.0,-10982.0,4423.0,-21108.0,-
2008Q4,-16236.0,-75.0,-30698.0,-14200.0,-61209.0,-
2009Q1,-15562.0,106.0,-10012.0,4923.0,-20545.0,-
2009Q2,-14828.0,-153.0,-6733.0,7720.0,-13994.0,-
2009Q3,-8802.0,114.0,-23101.0,-12026.0,-43815.0,-
2009Q4,-8423.0,-8.0,-4341.0,2752.0,-10020.0,-
2010Q1,-9721.0,289.0,-22726.0,-12945.0,-45103.0,-
2010Q2,-9100.0,-141.0,6361.0,14255.0,11375.0,+
2010Q3,-13268.0,-650.0,-17204.0,-1588.0,-32710.0,-
2010Q4,-12416.0,-407.0,-26667.0,-14544.0,-54034.0,-
2011Q1,-3302.0,-313.0,7532.0,11858.0,15775.0,+
2011Q2,-5168.0,26.0,-15533.0,-11931.0,-32606.0,-
2011Q3,-11255.0,54.0,-6025.0,7444.0,-9782.0,-
2011Q4,-7505.0,-758.0,-17972.0,-11148.0,-37383.0,-
2012Q1,-7661.0,-1.0,-8524.0,490.0,-15696.0,-
2012Q2,-16199.0,-212.0,230.0,15206.0,-975.0,-
2012Q3,-12880.0,116.0,-21556.0,-5533.0,-39853.0,-
2012Q4,-16917.0,-746.0,-14518.0,-31.0,-32212.0,-
2013Q1,-19326.0,-275.0,-10900.0,9847.0,-20654.0,-
2013Q2,-17657.0,118.0,-2031.0,13478.0,-6092.0,-
2013Q3,-19933.0,-171.0,-38289.0,-13628.0,-72021.0,-
2013Q4,-23851.0,-1103.0,-17588.0,3693.0,-38849.0,-
2014Q1,-18200.0,-205.0,-32512.0,-13714.0,-64631.0,-
