# §4.2.2 잔차 통계량 + |잔차|/GDP 비율 / 분모 GDP는 HBOP/(AA6H/100) 역산 / AA6H = Table_B_sub4 'CA % of GDP'
# 부호 규약: CA + KA + FA + NEO == 0 (FA = -HBNT, ONS 표시 부호 그대로)

# [SECTION 1] 요약 메트릭 (단위: GBP million / % of GDP)
metric,value
n_quarters,80
mean_residual,-35777.275000
sd_residual,23662.572704
mean_abs_residual,36881.875000
mean_abs_resid_over_GDP_pct,7.359785
max_abs_resid_over_GDP_pct,19.376984
min_abs_resid_over_GDP_pct,0.065321
median_abs_resid_over_GDP_pct,6.909066

# [SECTION 2] 분기별 |잔차|/GDP 비율 (80 행)
time,residual,abs_residual,CA_HBOP,AA6H_pct_GDP,GDP_estimated,abs_residual_over_GDP_pct
2006Q1,-17132.0000,17132.0000,-12536.0000,-3.5,358171.4286,4.783184
2006Q2,-54757.0000,54757.0000,-10272.0000,-2.8,366857.1429,14.925974
2006Q3,-20377.0000,20377.0000,-12321.0000,-3.3,373363.6364,5.457682
2006Q4,-33580.0000,33580.0000,-10752.0000,-2.9,370758.6207,9.057106
2007Q1,-23742.0000,23742.0000,-15014.0000,-4.0,375350.0000,6.325296
2007Q2,-12542.0000,12542.0000,-10775.0000,-2.8,384821.4286,3.259174
2007Q3,-47215.0000,47215.0000,-17168.0000,-4.4,390181.8182,12.100769
2007Q4,-57243.0000,57243.0000,-14656.0000,-3.7,396108.1081,14.451358
2008Q1,-37304.0000,37304.0000,-14195.0000,-3.6,394305.5556,9.460683
2008Q2,-20133.0000,20133.0000,-16647.0000,-4.1,406024.3902,4.958569
2008Q3,-21108.0000,21108.0000,-14467.0000,-3.6,401861.1111,5.252561
2008Q4,-61209.0000,61209.0000,-16236.0000,-4.1,396000.0000,15.456818
2009Q1,-20545.0000,20545.0000,-15562.0000,-4.0,389050.0000,5.280812
2009Q2,-13994.0000,13994.0000,-14828.0000,-3.8,390210.5263,3.586269
2009Q3,-43815.0000,43815.0000,-8802.0000,-2.3,382695.6522,11.449046
2009Q4,-10020.0000,10020.0000,-8423.0000,-2.2,382863.6364,2.617120
2010Q1,-45103.0000,45103.0000,-9721.0000,-2.4,405041.6667,11.135398
2010Q2,11375.0000,11375.0000,-9100.0000,-2.3,395652.1739,2.875000
2010Q3,-32710.0000,32710.0000,-13268.0000,-3.3,402060.6061,8.135589
2010Q4,-54034.0000,54034.0000,-12416.0000,-3.0,413866.6667,13.055896
2011Q1,15775.0000,15775.0000,-3302.0000,-0.8,412750.0000,3.821926
2011Q2,-32606.0000,32606.0000,-5168.0000,-1.2,430666.6667,7.571053
2011Q3,-9782.0000,9782.0000,-11255.0000,-2.7,416851.8519,2.346637
2011Q4,-37383.0000,37383.0000,-7505.0000,-1.8,416944.4444,8.965943
2012Q1,-15696.0000,15696.0000,-7661.0000,-1.8,425611.1111,3.687874
2012Q2,-975.0000,975.0000,-16199.0000,-3.8,426289.4737,0.228718
2012Q3,-39853.0000,39853.0000,-12880.0000,-3.0,429333.3333,9.282531
2012Q4,-32212.0000,32212.0000,-16917.0000,-3.9,433769.2308,7.426068
2013Q1,-20654.0000,20654.0000,-19326.0000,-4.4,439227.2727,4.702349
2013Q2,-6092.0000,6092.0000,-17657.0000,-4.0,441425.0000,1.380076
2013Q3,-72021.0000,72021.0000,-19933.0000,-4.4,453022.7273,15.897878
2013Q4,-38849.0000,38849.0000,-23851.0000,-5.2,458673.0769,8.469867
2014Q1,-64631.0000,64631.0000,-18200.0000,-4.0,455000.0000,14.204615
2014Q2,-9780.0000,9780.0000,-18256.0000,-3.9,468102.5641,2.089286
2014Q3,-23461.0000,23461.0000,-22073.0000,-4.7,469638.2979,4.995547
2014Q4,-77104.0000,77104.0000,-31769.0000,-6.7,474164.1791,16.261034
2015Q1,-28642.0000,28642.0000,-25776.0000,-5.4,477333.3333,6.000419
2015Q2,-52573.0000,52573.0000,-14221.0000,-3.0,474033.3333,11.090570
2015Q3,-64773.0000,64773.0000,-20413.0000,-4.2,486023.8095,13.327125
2015Q4,-63692.0000,63692.0000,-31796.0000,-6.5,489169.2308,13.020443
2016Q1,-47195.0000,47195.0000,-27970.0000,-5.7,490701.7544,9.617858
2016Q2,-18609.0000,18609.0000,-25159.0000,-5.1,493313.7255,3.772245
2016Q3,-97502.0000,97502.0000,-32707.0000,-6.5,503184.6154,19.376984
2016Q4,-61234.0000,61234.0000,-19315.0000,-3.8,508289.4737,12.047072
2017Q1,-58119.0000,58119.0000,-15445.0000,-3.0,514833.3333,11.288896
2017Q2,-27302.0000,27302.0000,-22652.0000,-4.3,526790.6977,5.182704
2017Q3,-45709.0000,45709.0000,-17213.0000,-3.3,521606.0606,8.763127
2017Q4,-27210.0000,27210.0000,-15565.0000,-2.9,536724.1379,5.069643
2018Q1,-19456.0000,19456.0000,-20949.0000,-3.9,537153.8462,3.622054
2018Q2,-62538.0000,62538.0000,-16834.0000,-3.1,543032.2581,11.516443
2018Q3,-26529.0000,26529.0000,-18810.0000,-3.5,537428.5714,4.936284
2018Q4,-77315.0000,77315.0000,-24249.0000,-4.4,551113.6364,14.028867
2019Q1,-69096.0000,69096.0000,-32956.0000,-5.9,558576.2712,12.370021
2019Q2,-44552.0000,44552.0000,-13056.0000,-2.3,567652.1739,7.848468
2019Q3,-25133.0000,25133.0000,-12872.0000,-2.3,559652.1739,4.490825
2019Q4,-4373.0000,4373.0000,3022.0000,0.5,604400.0000,0.723527
2020Q1,-38288.0000,38288.0000,-12605.0000,-2.3,548043.4783,6.986307
2020Q2,-316.0000,316.0000,-8224.0000,-1.7,483764.7059,0.065321
2020Q3,-20669.0000,20669.0000,-9335.0000,-1.7,549117.6471,3.764039
2020Q4,-81119.0000,81119.0000,-27636.0000,-5.1,541882.3529,14.969855
2021Q1,-15766.0000,15766.0000,-3355.0000,-0.6,559166.6667,2.819553
2021Q2,-1569.0000,1569.0000,5008.0000,0.9,556444.4444,0.281969
2021Q3,-32740.0000,32740.0000,-15561.0000,-2.6,598500.0000,5.470343
2021Q4,-18021.0000,18021.0000,-3652.0000,-0.6,608666.6667,2.960734
2022Q1,-69452.0000,69452.0000,-36480.0000,-5.9,618305.0847,11.232643
2022Q2,-45644.0000,45644.0000,-15794.0000,-2.5,631760.0000,7.224896
2022Q3,-22360.0000,22360.0000,-2431.0000,-0.4,607750.0000,3.679144
2022Q4,17034.0000,17034.0000,5258.0000,0.8,657250.0000,2.591708
2023Q1,-46749.0000,46749.0000,-19791.0000,-2.9,682448.2759,6.850189
2023Q2,-49916.0000,49916.0000,-34682.0000,-5.0,693640.0000,7.196240
2023Q3,-20593.0000,20593.0000,-15739.0000,-2.3,684304.3478,3.009334
2023Q4,-53130.0000,53130.0000,-28045.0000,-4.1,684024.3902,7.767267
2024Q1,-12941.0000,12941.0000,-20844.0000,-3.0,694800.0000,1.862550
2024Q2,-57841.0000,57841.0000,-23332.0000,-3.3,707030.3030,8.180837
2024Q3,-50954.0000,50954.0000,-13894.0000,-1.9,731263.1579,6.967943
2024Q4,-66358.0000,66358.0000,-27596.0000,-3.7,745837.8378,8.897108
2025Q1,-46057.0000,46057.0000,-21410.0000,-2.9,738275.8621,6.238454
2025Q2,-54084.0000,54084.0000,-23214.0000,-3.1,748838.7097,7.222383
2025Q3,-47474.0000,47474.0000,-10689.0000,-1.4,763500.0000,6.217944
2025Q4,-25111.0000,25111.0000,-18392.0000,-2.4,766333.3333,3.276773
