# §4.2.3 충격 분기 잔차 정상 분포 대비 위치 / 정상 분포 = 80 분기 잔차 평균·SD
# 정상분포: mean = -35777.2750 GBP million, SD = 23662.5727 GBP million (n = 80)
# 부호 규약: CA + KA + FA + NEO == 0 (FA = -HBNT, ONS 표시 부호 그대로)
shock_group,time,residual,z_score,empirical_percentile_pct,theoretical_normal_cdf_pct,abs_residual_over_GDP_pct,sd_band
GFC (글로벌 금융위기),2008Q4,-61209.0000,-1.074766,16.8750,14.1240,15.456818,outside_1sd
GFC (글로벌 금융위기),2009Q1,-20545.0000,0.643729,71.8750,74.0124,5.280812,inside_1sd
GFC (글로벌 금융위기),2009Q2,-13994.0000,0.920579,83.1250,82.1365,3.586269,inside_1sd
GFC (글로벌 금융위기),2009Q3,-43815.0000,-0.339681,41.8750,36.7048,11.449046,inside_1sd
GFC (글로벌 금융위기),2009Q4,-10020.0000,1.088524,86.8750,86.1818,2.617120,outside_1sd
GFC (글로벌 금융위기),2010Q1,-45103.0000,-0.394113,39.3750,34.6749,11.135398,inside_1sd
Brexit 직후,2016Q3,-97502.0000,-2.608538,0.6250,0.4546,19.376984,outside_2sd
Brexit 직후,2016Q4,-61234.0000,-1.075822,15.6250,14.1003,12.047072,outside_1sd
팬데믹 (COVID-19),2020Q1,-38288.0000,-0.106105,45.6250,45.7749,6.986307,inside_1sd
팬데믹 (COVID-19),2020Q2,-316.0000,1.498623,95.6250,93.3014,0.065321,outside_1sd
팬데믹 (COVID-19),2020Q3,-20669.0000,0.638488,68.1250,73.8422,3.764039,inside_1sd
팬데믹 (COVID-19),2020Q4,-81119.0000,-1.916179,1.8750,2.7671,14.969855,outside_1sd
Mini-budget,2022Q3,-22360.0000,0.567025,65.6250,71.4651,3.679144,inside_1sd
Mini-budget,2022Q4,17034.0000,2.231848,99.3750,98.7188,2.591708,outside_2sd
귀금속 연관,2024Q4,-66358.0000,-1.292367,9.3750,9.8115,8.897108,outside_1sd
귀금속 연관,2025Q1,-46057.0000,-0.434430,35.6250,33.1988,6.238454,inside_1sd
귀금속 연관,2025Q2,-54084.0000,-0.773657,23.1250,21.9567,7.222383,inside_1sd
귀금속 연관,2025Q3,-47474.0000,-0.494313,30.6250,31.0542,6.217944,inside_1sd
귀금속 연관,2025Q4,-25111.0000,0.450766,61.8750,67.3921,3.276773,inside_1sd
