cdid,item_name_kr,stat_code,time,data_value,unit
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2006Q1,-20882.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2006Q2,-18935.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2006Q3,-21435.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2006Q4,-20840.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2007Q1,-23185.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2007Q2,-21107.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2007Q3,-25210.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2007Q4,-23898.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2008Q1,-24029.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2008Q2,-25078.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2008Q3,-23730.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2008Q4,-23033.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2009Q1,-22856.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2009Q2,-22212.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2009Q3,-22242.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2009Q4,-21657.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2010Q1,-22475.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2010Q2,-23555.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2010Q3,-26431.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2010Q4,-26760.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2011Q1,-20881.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2011Q2,-28317.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2011Q3,-29550.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2011Q4,-25305.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2012Q1,-24837.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2012Q2,-30807.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2012Q3,-28483.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2012Q4,-28051.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2013Q1,-27979.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2013Q2,-31820.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2013Q3,-29994.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2013Q4,-32780.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2014Q1,-29782.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2014Q2,-28558.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2014Q3,-32374.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2014Q4,-36957.0,GBP million
BOKI,상품무역(G),UK_BoP_Table_A_sub1,2015Q1,-34099.0,GBP million
