cdid,item_name_kr,category,n,mean,median,stdev,max,min,autocorr_lag1,autocorr_lag4,autocorr_lag8
BOKI,상품무역(G),CA,80,-33621.4125,-31418.5,11850.6802,-11364.0,-65496.0,0.754203,0.553351,0.385927
IKBD,서비스무역(S),CA,80,27896.7,24883.5,10524.4601,53531.0,11523.0,0.922672,0.744379,0.581286
HBOJ,1차소득(PI),CA,80,-5314.25,-4866.5,5438.6862,8711.0,-21654.0,0.522173,0.035565,-0.075556
IKBP,2차소득(SI),CA,80,-5167.0625,-5291.5,1374.2625,-2141.0,-8959.0,0.535238,0.46226,0.314928
HBOP,경상수지 합계(CA),CA,80,-16206.025,-15652.0,8553.0296,5258.0,-36480.0,0.341497,0.193738,-0.019582
-MU7M,직접투자(DI),FA,80,-5112.525,-4608.0,29015.761,43405.0,-139683.0,0.004688,0.095036,0.160658
-HHZD,증권투자(PI_FA),FA,80,-17182.0875,-20686.0,53964.2948,128918.0,-193204.0,0.165795,-0.036591,-0.058299
-ZPNN,파생금융상품(FD),FA,80,-577.1125,-1818.0,23920.6825,64442.0,-100913.0,-0.105166,-0.118391,-0.057654
-HHYR,기타투자(OI),FA,80,3660.85,-1569.0,54604.2942,120642.0,-156109.0,0.099059,-0.114053,-0.104546
-LTCV,준비자산(RA),FA,80,1322.2375,797.0,4068.7494,20555.0,-6270.0,-0.163683,-0.005841,0.123245
-HBNT,금융계정 합계(FA),FA,80,-17888.6375,-17270.5,12037.3634,10367.0,-52062.0,-0.043486,0.074877,0.022268
FNVQ,자본수지(KA),AUX,80,-602.675,-360.0,1055.3681,497.0,-8435.0,0.090475,0.168195,0.059309
HHDH,순오차누락(NEO),AUX,80,-1079.9375,-1492.0,9093.371,15760.0,-15110.0,-0.236747,-0.12966,0.011408
