time,ca_hbop_gbp_million,is_shock_quarter
2006Q1,-12536.0,0
2006Q2,-10272.0,0
2006Q3,-12321.0,0
2006Q4,-10752.0,0
2007Q1,-15014.0,0
2007Q2,-10775.0,0
2007Q3,-17168.0,0
2007Q4,-14656.0,0
2008Q1,-14195.0,0
2008Q2,-16647.0,0
2008Q3,-14467.0,0
2008Q4,-16236.0,1
2009Q1,-15562.0,0
2009Q2,-14828.0,0
2009Q3,-8802.0,0
2009Q4,-8423.0,0
2010Q1,-9721.0,0
2010Q2,-9100.0,0
2010Q3,-13268.0,0
2010Q4,-12416.0,0
2011Q1,-3302.0,0
2011Q2,-5168.0,0
2011Q3,-11255.0,0
2011Q4,-7505.0,0
2012Q1,-7661.0,0
2012Q2,-16199.0,0
2012Q3,-12880.0,0
2012Q4,-16917.0,0
2013Q1,-19326.0,0
2013Q2,-17657.0,0
2013Q3,-19933.0,0
2013Q4,-23851.0,0
2014Q1,-18200.0,0
2014Q2,-18256.0,0
2014Q3,-22073.0,0
2014Q4,-31769.0,0
2015Q1,-25776.0,0
2015Q2,-14221.0,0
2015Q3,-20413.0,0
2015Q4,-31796.0,0
2016Q1,-27970.0,0
2016Q2,-25159.0,0
2016Q3,-32707.0,1
2016Q4,-19315.0,0
2017Q1,-15445.0,0
2017Q2,-22652.0,0
2017Q3,-17213.0,0
2017Q4,-15565.0,0
2018Q1,-20949.0,0
2018Q2,-16834.0,0
2018Q3,-18810.0,0
2018Q4,-24249.0,0
2019Q1,-32956.0,0
2019Q2,-13056.0,0
2019Q3,-12872.0,0
2019Q4,3022.0,0
2020Q1,-12605.0,0
2020Q2,-8224.0,1
2020Q3,-9335.0,0
2020Q4,-27636.0,0
2021Q1,-3355.0,0
2021Q2,5008.0,0
2021Q3,-15561.0,0
2021Q4,-3652.0,0
2022Q1,-36480.0,0
2022Q2,-15794.0,0
2022Q3,-2431.0,1
2022Q4,5258.0,0
2023Q1,-19791.0,0
2023Q2,-34682.0,0
2023Q3,-15739.0,0
2023Q4,-28045.0,0
2024Q1,-20844.0,0
2024Q2,-23332.0,0
2024Q3,-13894.0,0
2024Q4,-27596.0,0
2025Q1,-21410.0,0
2025Q2,-23214.0,0
2025Q3,-10689.0,0
2025Q4,-18392.0,1
