time,fa_di_minus_mu7m_gbp_million,fa_pi_minus_hhzd_gbp_million,fa_fd_minus_zpnn_gbp_million,fa_oi_minus_hhyr_gbp_million,fa_ra_minus_ltcv_gbp_million,fa_total_minus_hbnt_gbp_million
2006Q1,-29119.0,26952.0,2532.0,-7906.0,-465.0,-8006.0
2006Q2,-26376.0,56547.0,8443.0,-66192.0,-210.0,-27788.0
2006Q3,-11348.0,-46117.0,-6038.0,52400.0,385.0,-10718.0
2006Q4,30825.0,27403.0,-25763.0,-48740.0,-136.0,-16411.0
2007Q1,-678.0,29280.0,-1365.0,-37949.0,-824.0,-11536.0
2007Q2,24834.0,-14214.0,19522.0,-36644.0,67.0,-6435.0
2007Q3,11926.0,-42516.0,7608.0,-488.0,-558.0,-24028.0
2007Q4,43405.0,-64888.0,2028.0,-11423.0,2506.0,-28372.0
2008Q1,-8003.0,-97402.0,64442.0,23740.0,-931.0,-18154.0
2008Q2,19401.0,-90342.0,18285.0,42505.0,108.0,-10043.0
2008Q3,24564.0,-53823.0,-14141.0,34550.0,-2132.0,-10982.0
2008Q4,21713.0,-193204.0,57743.0,81433.0,1617.0,-30698.0
2009Q1,-1119.0,-12605.0,9545.0,-3956.0,-1877.0,-10012.0
2009Q2,-7441.0,-33067.0,-7376.0,39847.0,1304.0,-6733.0
2009Q3,-17728.0,-31386.0,-10393.0,29619.0,6787.0,-23101.0
2009Q4,-12705.0,-23687.0,-23720.0,56222.0,-451.0,-4341.0
2010Q1,-13213.0,-97499.0,-24042.0,110705.0,1323.0,-22726.0
2010Q2,25295.0,-4151.0,-14995.0,-2650.0,2862.0,6361.0
2010Q3,-6753.0,32920.0,-8577.0,-35470.0,676.0,-17204.0
2010Q4,-11871.0,8951.0,-3205.0,-21751.0,1209.0,-26667.0
2011Q1,18964.0,-58411.0,44652.0,27.0,2300.0,7532.0
2011Q2,13094.0,10761.0,944.0,-42782.0,2450.0,-15533.0
2011Q3,6028.0,-82361.0,-15197.0,86464.0,-959.0,-6025.0
2011Q4,-4765.0,-27204.0,-22859.0,35699.0,1157.0,-17972.0
2012Q1,-8921.0,56317.0,-24979.0,-31553.0,612.0,-8524.0
2012Q2,-1363.0,-16487.0,-19653.0,35003.0,2730.0,230.0
2012Q3,-1647.0,128918.0,4789.0,-156109.0,2493.0,-21556.0
2012Q4,-10065.0,13167.0,2271.0,-21698.0,1807.0,-14518.0
2013Q1,6356.0,-26700.0,39669.0,-33053.0,2828.0,-10900.0
2013Q2,-39087.0,-44304.0,61224.0,19262.0,874.0,-2031.0
2013Q3,-9084.0,-24998.0,-72732.0,67759.0,766.0,-38289.0
2013Q4,34657.0,-53785.0,11358.0,-10311.0,493.0,-17588.0
2014Q1,-139683.0,71133.0,27643.0,5686.0,2709.0,-32512.0
2014Q2,23696.0,-3051.0,-13607.0,-11774.0,825.0,-3911.0
2014Q3,42439.0,-34227.0,-27769.0,5443.0,-665.0,-14779.0
2014Q4,-33398.0,-23107.0,27697.0,-11722.0,4244.0,-36286.0
2015Q1,-55251.0,8224.0,-100913.0,120642.0,12638.0,-14660.0
