time,residual_gbp_million,z_score,abs_z_gt2
2006Q1,-17132.0,0.787965,0
2006Q2,-54757.0,-0.802099,0
2006Q3,-20377.0,0.650828,0
2006Q4,-33580.0,0.092859,0
2007Q1,-23742.0,0.508621,0
2007Q2,-12542.0,0.981942,0
2007Q3,-47215.0,-0.483368,0
2007Q4,-57243.0,-0.907159,0
2008Q1,-37304.0,-0.064521,0
2008Q2,-20133.0,0.66114,0
2008Q3,-21108.0,0.619936,0
2008Q4,-61209.0,-1.074766,0
2009Q1,-20545.0,0.643729,0
2009Q2,-13994.0,0.920579,0
2009Q3,-43815.0,-0.339681,0
2009Q4,-10020.0,1.088524,0
2010Q1,-45103.0,-0.394113,0
2010Q2,11375.0,1.992694,0
2010Q3,-32710.0,0.129626,0
2010Q4,-54034.0,-0.771544,0
2011Q1,15775.0,2.178642,1
2011Q2,-32606.0,0.134021,0
2011Q3,-9782.0,1.098582,0
2011Q4,-37383.0,-0.067859,0
2012Q1,-15696.0,0.848651,0
2012Q2,-975.0,1.470773,0
2012Q3,-39853.0,-0.172244,0
2012Q4,-32212.0,0.150671,0
2013Q1,-20654.0,0.639122,0
2013Q2,-6092.0,1.254524,0
2013Q3,-72021.0,-1.53169,0
2013Q4,-38849.0,-0.129814,0
2014Q1,-64631.0,-1.219382,0
2014Q2,-9780.0,1.098666,0
2014Q3,-23461.0,0.520496,0
2014Q4,-77104.0,-1.746502,0
2015Q1,-28642.0,0.301543,0
2015Q2,-52573.0,-0.709801,0
2015Q3,-64773.0,-1.225383,0
2015Q4,-63692.0,-1.179699,0
2016Q1,-47195.0,-0.482523,0
2016Q2,-18609.0,0.725546,0
2016Q3,-97502.0,-2.608538,1
2016Q4,-61234.0,-1.075822,0
2017Q1,-58119.0,-0.94418,0
2017Q2,-27302.0,0.358172,0
2017Q3,-45709.0,-0.419723,0
2017Q4,-27210.0,0.36206,0
2018Q1,-19456.0,0.689751,0
2018Q2,-62538.0,-1.13093,0
2018Q3,-26529.0,0.39084,0
2018Q4,-77315.0,-1.755419,0
2019Q1,-69096.0,-1.408077,0
2019Q2,-44552.0,-0.370827,0
2019Q3,-25133.0,0.449836,0
2019Q4,-4373.0,1.327171,0
2020Q1,-38288.0,-0.106105,0
2020Q2,-316.0,1.498623,0
2020Q3,-20669.0,0.638488,0
2020Q4,-81119.0,-1.916179,0
2021Q1,-15766.0,0.845693,0
2021Q2,-1569.0,1.44567,0
2021Q3,-32740.0,0.128358,0
2021Q4,-18021.0,0.750395,0
2022Q1,-69452.0,-1.423122,0
2022Q2,-45644.0,-0.416976,0
2022Q3,-22360.0,0.567025,0
2022Q4,17034.0,2.231848,1
2023Q1,-46749.0,-0.463674,0
2023Q2,-49916.0,-0.597514,0
2023Q3,-20593.0,0.6417,0
2023Q4,-53130.0,-0.733341,0
2024Q1,-12941.0,0.96508,0
2024Q2,-57841.0,-0.932431,0
2024Q3,-50954.0,-0.641381,0
2024Q4,-66358.0,-1.292367,0
2025Q1,-46057.0,-0.43443,0
2025Q2,-54084.0,-0.773657,0
2025Q3,-47474.0,-0.494313,0
2025Q4,-25111.0,0.450766,0
